#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -2.4531183225e-25   -1.5505063177e-23
   0.2500000000    1.2476406599e-23    7.8937982304e-24
   0.5000000000    5.1167752784e-24   -1.6183792993e-23
   0.7500000000    1.2953185516e-23    4.5109170451e-24
   1.0000000000    1.7487540405e-23    9.8688675565e-24
   1.2500000000    1.1803418737e-23    7.8113117538e-24
   1.5000000000    1.3745582573e-23   -6.6952073960e-24
   1.7500000000    1.1459458317e-23   -3.6143977794e-24
   2.0000000000    1.4763960655e-23    2.0434510929e-24
   2.2500000000    1.4134267273e-23   -2.4206884020e-23
   2.5000000000    8.1680833578e-24   -1.3387571901e-24
   2.7500000000   -1.5958291935e-24   -7.4997208486e-24
   3.0000000000    1.9790618863e-24   -1.1773278486e-23
   3.2500000000   -4.0139414704e-24   -1.2221183418e-23
   3.5000000000    1.2367761651e-23   -4.6403020198e-25
   3.7500000000    8.2439253543e-24   -1.2419345689e-23
   4.0000000000    1.3548293666e-23    9.6858245128e-24
   4.2500000000    1.9108632032e-24   -3.3893873532e-24
   4.5000000000    1.7248522606e-23   -8.7631548336e-24
   4.7500000000    1.0306425974e-23   -1.3352942509e-23
   5.0000000000    1.2388587390e-23   -1.0573638590e-23
   5.2500000000    1.3729866700e-23    1.2128081131e-23
   5.5000000000    1.5889080020e-23    1.2957251438e-26
   5.7500000000    1.4287075763e-24    1.7005623031e-23
   6.0000000000   -1.9679972219e-24   -3.1747017340e-24
   6.2500000000    5.8709104803e-24   -7.3543172870e-24
   6.5000000000    1.8385033496e-23   -1.7764969429e-23
   6.7500000000    1.1588739635e-23   -1.5095451500e-24
   7.0000000000    6.5119428374e-24   -5.6319645992e-24
   7.2500000000    1.6118738888e-23   -4.1371687297e-25
   7.5000000000    1.2068076492e-23   -6.5867953196e-24
   7.7500000000    5.2486984131e-24   -5.8868728603e-24
   8.0000000000    2.0541905658e-24    2.8778591414e-24
   8.2500000000    4.1384409491e-24    7.6919827577e-24
   8.5000000000    1.0126735673e-23   -1.4153447934e-23
   8.7500000000    1.2492626930e-24   -1.3458097470e-24
   9.0000000000    1.1012301494e-24   -5.7596858126e-24
   9.2500000000    9.8397317567e-25   -4.5342317077e-24
   9.5000000000    1.9095734282e-24    8.1115046658e-24
   9.7500000000    1.1362012834e-23    1.1241695194e-25
  10.0000000000    1.5790363169e-23   -2.3938640615e-24
  10.2500000000   -3.8502657984e-24   -6.3951818930e-24
  10.5000000000    6.7908966488e-24    2.2213271234e-25
  10.7500000000    7.5982973412e-24   -6.8556392287e-24
  11.0000000000   -3.7869943217e-25    6.0024835867e-24
  11.2500000000    3.0377580016e-24   -9.7275258999e-24
  11.5000000000   -2.5899898258e-24   -5.7393278349e-24
  11.7500000000    7.1373223855e-24    1.8686013573e-23
  12.0000000000    8.3845941790e-24    7.9705284479e-24
  12.2500000000    7.4076433225e-24   -1.1927013229e-23
  12.5000000000    2.4556017103e-24   -3.8468741599e-24
  12.7500000000   -3.2853709381e-24   -5.7149184534e-24
  13.0000000000    5.4720748454e-24    1.0190282459e-23
  13.2500000000    3.0979524583e-24   -5.1100460652e-24
  13.5000000000    7.8547816926e-24    8.9671555928e-24
  13.7500000000    1.7797237600e-24   -1.3388696982e-23
  14.0000000000   -9.2767127707e-25   -1.8492815412e-24
  14.2500000000   -1.0268695066e-24    4.2038773521e-24
  14.5000000000   -1.0412322311e-24   -1.1567604820e-23
  14.7500000000    7.6788006371e-24   -4.9746882297e-24
  15.0000000000    2.5111140031e-24   -1.2288658210e-24
  15.2500000000   -2.1952053379e-24    6.4792220921e-24
  15.5000000000    7.4891089918e-24    1.3444331367e-23
  15.7500000000    5.1979174815e-24    1.0112288891e-23
  16.0000000000   -7.3020757555e-25   -3.9664793668e-24
  16.2500000000    1.1513121293e-23    1.0300140030e-24
  16.5000000000   -1.4573764251e-24    1.2405952284e-23
  16.7500000000    1.3520007444e-25   -9.8256275835e-24
  17.0000000000   -4.2361679614e-24   -8.5012579541e-25
  17.2500000000    4.3298012416e-24   -1.0499863481e-23
  17.5000000000    1.1018367156e-24   -1.1674145108e-23
  17.7500000000    4.5597505323e-25   -9.9462884537e-25
  18.0000000000    8.6183603428e-24    4.1630658841e-24
  18.2500000000    1.2914516973e-24   -8.1410653373e-24
  18.5000000000   -1.8726080300e-24    7.3644379985e-24
  18.7500000000   -3.8583313132e-24   -7.5121807977e-24
  19.0000000000    4.8648664064e-24   -2.3264823428e-24
  19.2500000000   -4.7271260125e-24   -1.2331536266e-24
