#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    9.8773369040e-23   -8.7975261372e-23
   0.2500000000    1.1714619671e-22    5.0391555376e-23
   0.5000000000    9.7762424304e-23    3.6850433358e-24
   0.7500000000    1.2135959832e-22   -3.9782187566e-23
   1.0000000000    1.1132893958e-22   -5.1726664740e-23
   1.2500000000    7.9298638897e-23   -1.7638072962e-22
   1.5000000000    8.3978048788e-23   -5.2294795002e-23
   1.7500000000    1.3422816697e-23   -7.9674997443e-23
   2.0000000000    7.6302593423e-23   -4.0030997274e-24
   2.2500000000    6.7173495467e-23    1.8512247561e-23
   2.5000000000    1.1667162078e-22   -1.4230016408e-22
   2.7500000000    1.0716663654e-22   -5.2249434006e-23
   3.0000000000    7.9889176362e-23   -9.9072114626e-24
   3.2500000000    1.0594972106e-22   -4.9575534063e-23
   3.5000000000    3.2083870704e-23   -3.4801585415e-23
   3.7500000000    1.5610872777e-22   -3.3123921352e-23
   4.0000000000    1.0962688135e-22    1.2589874018e-23
   4.2500000000    1.2485893957e-22    5.5871404819e-23
   4.5000000000    5.2443174173e-23   -4.7382966860e-23
   4.7500000000    8.7525606618e-23   -2.0376601260e-23
   5.0000000000    1.1400683307e-22    2.3375670732e-23
   5.2500000000    8.3379596026e-23   -5.5257037445e-23
   5.5000000000    1.0068044427e-22   -5.9941418546e-24
   5.7500000000    3.7757021235e-23    4.3869939423e-23
   6.0000000000    9.7281603652e-23    2.8114917973e-24
   6.2500000000    1.7639650105e-23   -3.5061675655e-23
   6.5000000000    1.1502688694e-22    7.7630155388e-23
   6.7500000000    8.4273755250e-23   -1.2390841435e-23
   7.0000000000    3.6004823984e-23   -4.7139667665e-23
   7.2500000000    8.4177471773e-23   -2.7818337819e-23
   7.5000000000    5.1520989608e-23   -2.0655817385e-23
   7.7500000000    8.6522271297e-23   -1.8242273038e-23
   8.0000000000    2.7005707723e-23   -1.3620321853e-23
   8.2500000000    7.6143134589e-23   -7.4531203306e-23
   8.5000000000    5.4424547976e-23    5.5129258675e-23
   8.7500000000    7.0123818167e-23   -6.9332364563e-23
   9.0000000000    9.0957059616e-23   -1.9379952570e-23
   9.2500000000    6.7270834997e-23   -9.4167088425e-24
   9.5000000000    7.3120678048e-23   -8.5934744793e-24
   9.7500000000    7.0364963530e-23    3.2187888885e-23
  10.0000000000    5.3421217052e-23   -2.1247522715e-23
  10.2500000000    9.5598222773e-23    6.7055516174e-23
  10.5000000000    8.7702454437e-23   -1.7521078916e-23
  10.7500000000    3.4907031104e-23   -1.1123555802e-23
  11.0000000000    4.3315620977e-23   -2.2763677207e-23
  11.2500000000    3.7000396829e-23    9.4517740540e-24
  11.5000000000    3.0018232505e-23   -7.6253792107e-23
  11.7500000000    1.0962930186e-22    3.2584204719e-23
  12.0000000000    8.7601114699e-23   -8.5894953131e-23
  12.2500000000    3.7802831131e-23    4.2676988090e-24
  12.5000000000    5.9308449271e-23   -1.6405249868e-23
  12.7500000000    5.6861652539e-23    4.1751737448e-23
  13.0000000000    6.8847018551e-23    1.1144114598e-23
  13.2500000000    1.1404897808e-22    3.6694734185e-23
  13.5000000000    1.0998227984e-22   -6.7039512875e-23
  13.7500000000    1.1666994425e-22   -8.5411234286e-24
  14.0000000000    2.0077357661e-23    1.7713089884e-23
  14.2500000000    8.3627523792e-23    3.0075430469e-23
  14.5000000000    9.6921704897e-23   -6.5326120335e-23
  14.7500000000    7.9042983151e-23    1.1130693957e-23
  15.0000000000    4.2725396788e-23   -3.9882147479e-23
  15.2500000000    6.8798234068e-23    2.1749575285e-23
  15.5000000000    6.3013868487e-23   -9.8200305044e-24
  15.7500000000    1.0434699018e-22   -8.4283770411e-24
  16.0000000000    5.4981843983e-23   -6.3987439056e-23
  16.2500000000    1.7213992952e-23   -4.3268997080e-23
  16.5000000000    7.6074954325e-23   -4.2384320658e-23
  16.7500000000    7.5853869141e-23   -4.4668146025e-23
  17.0000000000   -1.3658768740e-23   -3.1678184415e-23
  17.2500000000    9.2762316847e-23   -5.1019652032e-24
  17.5000000000    7.4011869952e-23    2.4511531809e-23
  17.7500000000    2.2997301616e-23   -2.9015018863e-23
  18.0000000000    6.7584013580e-23   -2.5650961789e-23
  18.2500000000    5.7931345471e-23   -4.9553169164e-23
  18.5000000000    1.0278273409e-22    3.3520447054e-24
  18.7500000000    2.8161993703e-23   -1.3583227738e-22
  19.0000000000    8.3332646520e-23   -1.8912081658e-23
  19.2500000000    8.7986178565e-23    7.5235209656e-24
  19.5000000000    5.8992095157e-23   -7.4026667026e-24
  19.7500000000    1.1881717483e-22    1.9329994158e-23
  20.0000000000    7.6989218005e-23   -2.8799430617e-23
  20.2500000000    9.8441283734e-23    4.5110567573e-23
  20.5000000000    8.5156349059e-23    1.1374310652e-23
  20.7500000000    6.6290066143e-23   -7.8299515020e-24
