#          time             L^2_Ham             L^2_Mom
   0.0000000000    3.5281630315e-06    3.4645619953e-06
   0.5000000000    1.1933280438e-06    3.4271362109e-06
   1.0000000000    1.0392174290e-06    3.3991251254e-06
   1.5000000000    9.0127634406e-07    3.3756043250e-06
   2.0000000000    7.7041702995e-07    3.3703954191e-06
   2.5000000000    6.6292019005e-07    3.3832889444e-06
   3.0000000000    5.9146678684e-07    3.4092677841e-06
   3.5000000000    5.5106586307e-07    3.4416622108e-06
   4.0000000000    5.2812037020e-07    3.4749317515e-06
   4.5000000000    5.1401542928e-07    3.5053522915e-06
   5.0000000000    4.9766548219e-07    3.5321303715e-06
   5.5000000000    4.7719202600e-07    3.5555909402e-06
   6.0000000000    4.5418164716e-07    3.5769271916e-06
   6.5000000000    4.3022072487e-07    3.5971346728e-06
   7.0000000000    4.0671370868e-07    3.6172669595e-06
   7.5000000000    3.8466825120e-07    3.6382082303e-06
   8.0000000000    3.6479504229e-07    3.6601683736e-06
   8.5000000000    3.4724319380e-07    3.6839629618e-06
   9.0000000000    3.3176728054e-07    3.7093917609e-06
   9.5000000000    3.1819580181e-07    3.7369604464e-06
  10.0000000000    3.0615319732e-07    3.7660599141e-06
  10.5000000000    2.9600942192e-07    3.8005262940e-06
  11.0000000000    2.8731409587e-07    3.8315795619e-06
  11.5000000000    2.8083283074e-07    3.8657370107e-06
  12.0000000000    2.7288471287e-07    3.9020688341e-06
  12.5000000000    2.6758484561e-07    3.9416598480e-06
  13.0000000000    2.6721367554e-07    3.9807802357e-06
  13.5000000000    2.6031503616e-07    4.0275581687e-06
  14.0000000000    2.5785450085e-07    4.0656026700e-06
  14.5000000000    2.6212014085e-07    4.1107129766e-06
  15.0000000000    2.6206765327e-07    4.1558234624e-06
  15.5000000000    2.6070969373e-07    4.2084728726e-06
  16.0000000000    2.6093017523e-07    4.2553635886e-06
  16.5000000000    2.7249620674e-07    4.3032224784e-06
  17.0000000000    2.9370922910e-07    4.3551348377e-06
  17.5000000000    2.9347781841e-07    4.4075331135e-06
  18.0000000000    2.8769292303e-07    4.4814029161e-06
  18.5000000000    2.8264284648e-07    4.5222903156e-06
  19.0000000000    2.8108759268e-07    4.5709579335e-06
  19.5000000000    2.8365311086e-07    4.6266058994e-06
  20.0000000000    2.7505672464e-07    4.6832153786e-06
  20.5000000000    2.6592653988e-07    4.7394607548e-06
  21.0000000000    2.6565825440e-07    4.8021709984e-06
  21.5000000000    2.6913352515e-07    4.8591736453e-06
  22.0000000000    2.7675077518e-07    4.9199798135e-06
  22.5000000000    2.8530996091e-07    4.9817432502e-06
  23.0000000000    2.8864538187e-07    5.0430875928e-06
  23.5000000000    2.9028770472e-07    5.1064235769e-06
  24.0000000000    2.9231920335e-07    5.1730253630e-06
  24.5000000000    2.9697919623e-07    5.2366974158e-06
  25.0000000000    3.0383228218e-07    5.2994978627e-06
  25.5000000000    3.0986759753e-07    5.3647129624e-06
  26.0000000000    3.0003354438e-07    5.4317429752e-06
  26.5000000000    3.0009512238e-07    5.4976020646e-06
