#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.1959615309e-22    8.0078629245e-23
   0.2500000000    1.2941545028e-23    1.4503834805e-23
   0.5000000000    7.5066275908e-23    3.7079073108e-23
   0.7500000000    3.6067693187e-23    1.2331647638e-22
   1.0000000000    6.2314323363e-23    3.2400906430e-23
   1.2500000000    6.6019882518e-23    4.4768713676e-23
   1.5000000000    1.0760460371e-22    3.5255424532e-23
   1.7500000000    7.4571849780e-23   -4.5181216695e-23
   2.0000000000    2.1295334785e-23    1.9132542249e-23
   2.2500000000    9.0700153199e-23   -6.1250003796e-23
   2.5000000000    8.4914457835e-23    7.0136635243e-23
   2.7500000000    3.2673528809e-23    1.5649471686e-23
   3.0000000000    8.7647727770e-23    7.3553786844e-23
   3.2500000000    1.1726600296e-22   -6.0562549350e-23
   3.5000000000    5.8737070631e-23   -2.8452207949e-23
   3.7500000000    6.3085306651e-23   -1.0114679598e-23
   4.0000000000    8.6729973298e-23   -6.6552049031e-24
   4.2500000000    8.1887332568e-23    6.7056501534e-23
   4.5000000000    6.1949572691e-23    7.6869537957e-23
   4.7500000000    7.1049257133e-23    2.4386049440e-23
   5.0000000000    5.8062087264e-23    2.9505922904e-23
   5.2500000000    6.3879933126e-23   -3.9508200194e-23
   5.5000000000    8.2794675001e-23    4.7277403480e-23
   5.7500000000    7.9142099886e-23    2.2866193954e-23
   6.0000000000    7.4102561338e-23    3.6472745681e-23
   6.2500000000    7.3290599405e-23    5.9969537816e-24
   6.5000000000    3.9904228844e-23    3.0155300233e-23
   6.7500000000    5.6735342419e-23   -8.7127778359e-23
   7.0000000000    9.7101331209e-23    8.0412197350e-23
   7.2500000000    7.3028880558e-23    5.5603029733e-24
   7.5000000000    4.8055953163e-23    2.6328930576e-23
   7.7500000000    5.6002579184e-23    1.1639206898e-23
   8.0000000000    6.0374119893e-23    5.4548523982e-23
   8.2500000000    7.3960745933e-23   -1.7082466369e-23
   8.5000000000    1.0197625207e-22   -2.2039907208e-23
   8.7500000000    7.0684648984e-23    9.9494678577e-24
   9.0000000000    5.2082315931e-23    7.2732038286e-23
   9.2500000000    5.0516257274e-23    1.8743806190e-23
   9.5000000000    5.6320317926e-23    8.4789157689e-23
