#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    3.3046137598e-23    2.8982959399e-23
   0.2500000000    3.2903240198e-23    2.6978030792e-23
   0.5000000000    3.8267396373e-23   -1.6636918831e-23
   0.7500000000    5.4866953842e-23    4.0784951122e-24
   1.0000000000    3.1488692342e-23   -1.2821871278e-23
   1.2500000000    2.5809636250e-23   -1.8748256481e-23
   1.5000000000    8.7941704663e-24   -6.0984846248e-23
   1.7500000000    2.8501077598e-23    4.0100682561e-23
   2.0000000000    3.5718621687e-23    5.6270438767e-23
   2.2500000000   -4.7053005836e-24    1.2108884755e-23
   2.5000000000    6.0315668918e-23   -1.1514921878e-23
   2.7500000000    5.2149130903e-23    5.2252667282e-23
   3.0000000000    1.0654680597e-22   -4.0903986092e-23
   3.2500000000    4.0173057664e-23    4.2687101915e-23
   3.5000000000    2.2271602043e-23   -2.7739194416e-23
   3.7500000000    3.3369052045e-23    2.8091936138e-23
   4.0000000000    5.3256611086e-23    4.8540349889e-24
   4.2500000000    4.6023308253e-23    8.5033878177e-24
   4.5000000000    6.0362744005e-23    3.2005990357e-23
   4.7500000000    5.1022658184e-23   -1.8009850697e-23
   5.0000000000    3.8040894320e-23    4.1849209009e-23
   5.2500000000    6.6776542190e-23   -8.0653373391e-23
   5.5000000000    5.2113701124e-23    2.1099294037e-23
   5.7500000000    3.5864859370e-23   -6.1829985087e-23
   6.0000000000    5.8550391759e-23    2.8984546545e-23
   6.2500000000    3.6290964048e-23   -1.5278766126e-23
   6.5000000000    5.5053595077e-23   -4.8424049978e-23
   6.7500000000    2.7554453421e-23    7.9324076819e-23
   7.0000000000    6.5923255307e-23   -1.8066577408e-23
   7.2500000000    4.6006678257e-23    1.4822637027e-23
   7.5000000000    7.6496040586e-23    5.0871070593e-23
   7.7500000000    4.8843487299e-23   -1.9941443039e-23
   8.0000000000    5.2735123018e-23    2.9793963111e-23
   8.2500000000    6.4342974269e-23   -4.6322258894e-23
   8.5000000000    6.5284835313e-23    1.7472173598e-23
   8.7500000000    5.3099010782e-23   -2.4782824418e-23
   9.0000000000    3.5883544227e-23    2.8060869003e-23
   9.2500000000    5.1797500917e-23   -2.0866435778e-23
   9.5000000000    9.6391652925e-23   -8.4500993272e-25
   9.7500000000    8.2347663444e-23    4.0074549461e-23
  10.0000000000    5.6142529092e-23    5.1779925370e-23
  10.2500000000   -5.2198202145e-24   -3.4818819044e-24
  10.5000000000    3.7822456980e-23    4.9711704381e-23
  10.7500000000    6.1315110345e-23    7.1041168225e-23
  11.0000000000    7.4200690668e-23   -7.6443553302e-24
  11.2500000000    1.8163830924e-23   -3.5928640244e-23
  11.5000000000    9.0490867397e-24   -1.3817840956e-23
  11.7500000000    6.8872695147e-23   -7.1292290401e-24
  12.0000000000    3.0760911035e-23   -1.8471964267e-23
  12.2500000000    2.4192705884e-23   -4.7559298693e-24
  12.5000000000    4.3601356313e-23    2.4138875525e-23
  12.7500000000    4.2839973804e-23    2.4572803081e-23
  13.0000000000    3.6648830554e-23   -3.7184725134e-23
  13.2500000000   -1.1500927857e-24   -2.7454781505e-23
  13.5000000000    3.3361539973e-23   -9.0722858751e-24
  13.7500000000    2.3956456363e-23    5.2753283253e-23
  14.0000000000    1.2696958102e-23    1.0409348043e-23
  14.2500000000    1.3400336280e-23    2.4798922374e-23
  14.5000000000    2.0727707769e-23   -2.9705519313e-23
  14.7500000000    4.8090652216e-23   -4.0267437101e-23
  15.0000000000    2.0361809932e-23    1.5728268931e-23
  15.2500000000    2.3953542335e-23   -5.3958007832e-23
  15.5000000000    6.4645235454e-24    5.4586208626e-24
  15.7500000000   -4.2693285615e-25   -8.1085004700e-24
  16.0000000000    1.9729977877e-23   -1.4639645818e-23
  16.2500000000    6.5291484148e-24    5.3352212747e-25
  16.5000000000    5.2010421599e-23   -3.3934485885e-23
  16.7500000000    2.1770462528e-23   -2.2201516700e-23
  17.0000000000    1.6578215703e-23    8.0859351595e-24
  17.2500000000   -1.5894044637e-23    3.7890373746e-23
  17.5000000000    5.1386676945e-23    2.4271000478e-23
  17.7500000000    5.6596823808e-23    2.0425651681e-23
  18.0000000000    3.6250321173e-23    6.9125519684e-25
  18.2500000000    3.3112799853e-23    2.3465315198e-23
  18.5000000000    5.3528590695e-23    2.3670155137e-23
  18.7500000000    3.7600135483e-23   -6.8185103080e-24
  19.0000000000    2.6072857316e-23    9.8909445910e-24
  19.2500000000    1.8250205768e-23   -4.5507379875e-23
  19.5000000000    8.8750623038e-24    2.9148674287e-23
  19.7500000000    2.9772496433e-23    4.0642355497e-24
  20.0000000000    3.8291871215e-23   -3.5309326873e-23
  20.2500000000    3.6839900520e-23    1.8362024515e-23
  20.5000000000    3.6021895105e-23    8.9737524794e-24
  20.7500000000    4.3775090809e-23   -5.3316984650e-23
  21.0000000000    1.1735406575e-23   -2.4099547484e-24
  21.2500000000    2.9469128793e-23    1.3700271791e-23
  21.5000000000    2.0413194994e-23    7.3221581574e-25
  21.7500000000    1.9306462426e-23    3.1378607578e-23
  22.0000000000   -1.9609018794e-25    3.4404376072e-23
  22.2500000000    4.3363688069e-23   -2.5966641714e-23
  22.5000000000   -2.4476057610e-23    2.9173890919e-23
  22.7500000000    5.2629931890e-24   -3.1487569505e-23
  23.0000000000    1.9979630272e-23    1.3028041361e-23
  23.2500000000    3.6575294271e-23    2.5386217606e-23
  23.5000000000   -4.3210068333e-25   -3.5019917506e-23
  23.7500000000    3.1879298581e-23    2.7765562355e-23
  24.0000000000    4.5392123389e-25   -1.1848219161e-24
  24.2500000000    4.4605146346e-23   -4.0806436012e-23
  24.5000000000    3.6557106510e-24   -1.7296463391e-23
  24.7500000000    9.2921106038e-26    4.6069963903e-23
  25.0000000000    5.4961618458e-24    3.4931292597e-23
  25.2500000000   -3.7255441176e-24   -4.3020942837e-23
  25.5000000000    1.7246369219e-23   -5.7856137567e-24
  25.7500000000    2.0451386768e-23    2.7506570442e-24
  26.0000000000    3.7001090390e-23   -1.0224422353e-23
  26.2500000000    4.1213464616e-23    7.3906409375e-25
  26.5000000000    2.8278573758e-23   -2.5738197039e-23
  26.7500000000    1.7057768686e-23    9.4081765472e-24
  27.0000000000    4.4208534670e-23   -1.3044623424e-23
  27.2500000000   -6.6244456298e-24   -2.4438242495e-23
  27.5000000000   -1.4548476170e-24    5.0486735206e-24
  27.7500000000    2.1124594878e-23    1.9888197373e-23
  28.0000000000    2.4588123369e-23    1.2762612456e-23
  28.2500000000    2.7528229416e-23   -3.6558055936e-24
  28.5000000000    7.6529888492e-24   -3.0771534023e-23
  28.7500000000    2.8103072142e-23   -2.5748552411e-24
  29.0000000000   -1.3718972771e-23   -2.3248856784e-23
  29.2500000000   -3.7599876152e-25   -2.7497073758e-23
  29.5000000000   -7.5611808859e-24   -1.9495419838e-24
  29.7500000000    9.2037489810e-24    3.9517781704e-23
  30.0000000000    3.2207407690e-23    1.1734460862e-23
  30.2500000000    4.4729263217e-23    1.5351279864e-23
  30.5000000000   -1.4277554879e-24   -5.4167749482e-23
  30.7500000000    1.6683877460e-23    2.1218028523e-23
  31.0000000000    9.8416070209e-24   -2.6040832389e-23
  31.2500000000    4.4799214331e-23   -7.3345839649e-24
  31.5000000000    1.3339007388e-23    2.3472287149e-23
  31.7500000000    3.5426916596e-23    2.4495463963e-23
  32.0000000000    5.8508884045e-24    1.6675651672e-23
  32.2500000000    3.6061847513e-23    3.6364452614e-23
  32.5000000000    1.8823481586e-23    5.9622487830e-24
  32.7500000000    3.5500753639e-23   -1.4598633844e-23
  33.0000000000    2.7961550606e-23   -1.4216668796e-23
  33.2500000000    4.7063657329e-24    9.0817171564e-24
  33.5000000000    7.7864983566e-24   -1.0366909664e-24
  33.7500000000    1.0607225324e-23   -2.1700317119e-23
  34.0000000000    4.7025352147e-23    1.7618268117e-24
  34.2500000000    1.0822864330e-24   -2.0090673464e-23
  34.5000000000    3.4313518918e-23    3.9102249467e-23
  34.7500000000    2.6437121518e-23   -2.0660761219e-23
  35.0000000000    8.8014551606e-24   -3.4482544131e-23
  35.2500000000    3.0889306057e-23    1.1596895441e-23
  35.5000000000    4.4159043660e-23    1.8373629300e-23
  35.7500000000    1.4936605117e-23   -1.6960727169e-24
  36.0000000000    2.7687750165e-23    2.1146083547e-23
  36.2500000000    2.4184927287e-23   -8.6939918418e-24
  36.5000000000    2.8514986538e-23   -1.5908986077e-23
  36.7500000000    1.1474580830e-23   -1.6489569678e-23
  37.0000000000   -3.2842256672e-24    1.6229752364e-23
  37.2500000000    2.0575789298e-23   -7.8113640704e-24
  37.5000000000    2.6936853315e-23    3.9285332541e-23
  37.7500000000    1.7896149850e-23    9.9682911020e-24
  38.0000000000    4.1796010628e-24   -1.6774218539e-23
  38.2500000000    9.9542085936e-24   -8.0432093780e-24
  38.5000000000    7.5630400538e-24   -3.7034209311e-23
  38.7500000000    2.2593122894e-23    1.4223825915e-23
  39.0000000000    1.7782481053e-23   -6.9830374035e-24
  39.2500000000    2.3092425275e-23    1.3097344605e-23
  39.5000000000    2.5492798482e-23    2.6973049196e-23
  39.7500000000    2.0687869009e-23   -1.5468226044e-23
  40.0000000000    1.9892503245e-23   -3.9643224549e-23
  40.2500000000    3.1097131395e-23    1.4985475976e-23
  40.5000000000    1.8062163306e-23   -2.9531755258e-23
  40.7500000000    1.0993175425e-23   -5.6360645584e-24
  41.0000000000    4.7170773285e-23   -3.5065145968e-23
  41.2500000000    3.8319273625e-24   -3.1332696787e-23
  41.5000000000    1.4038311661e-23   -5.3107370794e-23
  41.7500000000    4.3203083545e-23    1.2435391432e-23
  42.0000000000    4.3476882757e-23    1.7882954981e-24
  42.2500000000    2.4134354204e-23   -1.4817985488e-23
  42.5000000000    2.0143939978e-23    4.7761271603e-24
  42.7500000000    2.5672044365e-23   -1.3905884398e-24
  43.0000000000    3.7670817429e-23    3.3888744426e-23
  43.2500000000    2.2472485780e-23   -1.2436102642e-23
  43.5000000000    1.8679414530e-23    6.3644116790e-23
  43.7500000000    2.8348255153e-23    1.7197513909e-23
  44.0000000000    2.2337643213e-23    4.8142447189e-23
  44.2500000000    1.1239729668e-23   -7.0084722296e-24
  44.5000000000    8.7398633420e-24    8.5187340658e-24
  44.7500000000    3.7199960887e-23   -4.7691644599e-24
  45.0000000000    2.6485950432e-24   -1.1097182778e-23
  45.2500000000    8.3224451213e-24    9.5264590763e-24
  45.5000000000   -9.8674214743e-24    1.3587415901e-23
  45.7500000000    1.9635684551e-23   -1.1286251589e-23
  46.0000000000    1.4529860439e-23    3.5738293543e-23
  46.2500000000    1.4831927120e-23   -2.6153636809e-24
  46.5000000000    1.7514894510e-23    1.2469123570e-23
  46.7500000000   -6.9077239537e-24   -1.2392471723e-23
  47.0000000000    3.9908453234e-24   -3.4693625005e-23
  47.2500000000    6.8287201964e-24    3.0476207635e-24
  47.5000000000    3.6462971637e-23    3.2272062011e-24
  47.7500000000    3.0496474048e-23    1.0482298285e-23
  48.0000000000    1.9433875142e-23   -2.4967067351e-23
  48.2500000000    2.3721265849e-23    2.2112060409e-23
  48.5000000000    1.0533577047e-23   -1.0583235502e-24
  48.7500000000    1.9297019131e-23    9.7061348521e-24
  49.0000000000    3.3230904730e-23   -4.8770915584e-25
  49.2500000000    3.5998475110e-23    1.3715660821e-24
  49.5000000000    1.4010489424e-23    2.4223534402e-24
  49.7500000000    3.6174747398e-23    3.8082597007e-24
  50.0000000000    4.5105937081e-23    1.3653256370e-24
  50.2500000000    7.5236486523e-24   -1.3647014737e-23
  50.5000000000    3.6461074998e-23   -6.9659292946e-25
  50.7500000000    2.0244980145e-23    1.5106735182e-23
  51.0000000000    1.6489112675e-23    4.7875770221e-23
  51.2500000000    3.5099749608e-23   -6.8620037182e-24
  51.5000000000    2.5910330456e-23    2.1876830644e-23
  51.7500000000    2.8849199887e-23    3.4950168061e-23
  52.0000000000    3.3061254641e-23    4.4518659356e-24
  52.2500000000    2.2289134261e-23    2.4344740321e-24
  52.5000000000    3.0332548710e-23   -3.0219338868e-23
  52.7500000000    1.7465947093e-23   -6.9851612389e-25
  53.0000000000    4.6042518889e-23   -8.9747055078e-24
  53.2500000000    2.5300375505e-23    7.4817449236e-24
  53.5000000000    2.6243929789e-23    7.0393808111e-24
  53.7500000000    6.8658310252e-25    7.9831983259e-24
  54.0000000000    1.3660300270e-23    7.0806727440e-24
  54.2500000000    3.4427755314e-23   -7.8705237005e-25
  54.5000000000    2.8377680019e-23   -5.6359403279e-24
  54.7500000000    2.5362321618e-23    1.5975711996e-23
  55.0000000000    1.1889738442e-23    1.7087489039e-24
  55.2500000000    4.3608238390e-24    2.0447977794e-24
  55.5000000000    1.4351850233e-23    2.3074450415e-23
  55.7500000000    2.1605864056e-23   -1.0328760286e-24
  56.0000000000    1.8045675491e-23    2.9558461747e-23
  56.2500000000    5.5732941732e-24   -5.2450967576e-24
  56.5000000000    2.2134038707e-23    4.5767344789e-24
  56.7500000000    1.1535116708e-23    2.6145569724e-24
  57.0000000000    1.9335924758e-23    2.4409790634e-23
  57.2500000000   -3.3532296338e-24   -1.2701221657e-23
  57.5000000000    1.0005504171e-23    2.2728712404e-23
  57.7500000000    9.0074138210e-24   -3.4363221290e-23
  58.0000000000    3.3192975838e-23   -9.0479394811e-24
  58.2500000000    3.2447901843e-23    7.1319929629e-24
  58.5000000000    3.3414864335e-23    1.8108620703e-24
  58.7500000000    3.2352167262e-23    2.2172385638e-23
  59.0000000000    3.4018615059e-23    1.4262160416e-23
  59.2500000000    1.2978116013e-23    3.6617765533e-23
  59.5000000000    9.7957479900e-24   -1.0772722843e-23
  59.7500000000    1.3209298537e-23   -1.6872479938e-23
  60.0000000000    2.2391412707e-23    1.4231249874e-23
  60.2500000000    9.5230545288e-24    5.1555021467e-24
  60.5000000000    9.8592857761e-24    6.1019305743e-24
  60.7500000000    2.3629634275e-23    1.4535017369e-23
  61.0000000000    3.9660353438e-24   -1.6723969631e-23
  61.2500000000    1.8684389177e-23   -4.4140885538e-25
  61.5000000000    4.0649725792e-23    1.5469106221e-23
  61.7500000000    1.4728313964e-23    7.4299669643e-25
  62.0000000000    2.4701812946e-23   -1.7804783193e-23
  62.2500000000    7.0153681643e-24   -2.7513498208e-23
  62.5000000000    2.3911203623e-23   -6.1474017826e-24
  62.7500000000    3.7598734956e-23    8.3462408476e-25
  63.0000000000    2.2815175505e-23    3.1332568247e-24
  63.2500000000    2.2970474983e-23    1.7881082548e-23
  63.5000000000    6.8895984737e-24    8.5957345992e-24
  63.7500000000   -7.1407215589e-25   -1.5834293878e-23
  64.0000000000    3.0625833276e-23    3.9340693006e-24
  64.2500000000    1.1709201895e-23   -1.6890596956e-23
  64.5000000000    1.0644001966e-23    2.2022699587e-23
  64.7500000000    8.6597926772e-24   -1.6626986384e-23
  65.0000000000    2.8322762518e-23    1.3075794305e-23
  65.2500000000    3.0722967928e-24   -3.5996819093e-24
  65.5000000000    2.7101460363e-24    4.3892405107e-24
  65.7500000000    1.4868722527e-23   -2.9096813093e-24
  66.0000000000    1.6217409980e-23    2.7429067202e-23
  66.2500000000    8.9836476524e-24    1.1572414135e-23
  66.5000000000    2.2151503190e-23    2.0275110277e-23
  66.7500000000    8.0858257346e-25    1.4533063259e-23
  67.0000000000    9.3122376212e-24   -8.0093029961e-24
  67.2500000000    1.6209408264e-23    5.2755498994e-24
  67.5000000000    5.7451611311e-24   -2.0821946181e-23
  67.7500000000    1.7018857322e-23   -2.5968190152e-23
  68.0000000000    1.3128275005e-23   -5.2276671463e-24
  68.2500000000    4.9579325049e-24   -5.8394462569e-24
  68.5000000000    1.1141401717e-23   -8.0435199013e-24
  68.7500000000    1.1490323511e-23   -5.9111670285e-25
  69.0000000000    2.4566263840e-24   -1.0942347125e-23
  69.2500000000    1.6555997857e-23    2.1142646721e-23
  69.5000000000    9.4381147977e-24    1.4825463487e-24
  69.7500000000    1.2560460479e-24    1.3381022025e-23
  70.0000000000    1.1620245652e-23    6.7148509597e-24
  70.2500000000    6.8444060067e-24   -5.5948946094e-24
  70.5000000000    9.5239781156e-24    1.9927272639e-23
  70.7500000000    1.3853184425e-24    1.5971490924e-23
  71.0000000000    1.7547352935e-23    2.0288041460e-24
  71.2500000000    1.6565122879e-23    9.8594862938e-24
