#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -1.5139788035e-06    0.0000000000e+00
   0.2500000000   -1.5037980682e-06    0.0000000000e+00
   0.5000000000   -1.4938042832e-06    0.0000000000e+00
   0.7500000000   -1.4839889241e-06    0.0000000000e+00
   1.0000000000   -1.4743437387e-06    0.0000000000e+00
   1.2500000000   -1.4648609325e-06    0.0000000000e+00
   1.5000000000   -1.4555330364e-06    0.0000000000e+00
   1.7500000000   -1.4463529707e-06    0.0000000000e+00
   2.0000000000   -1.4373139988e-06    0.0000000000e+00
   2.2500000000   -1.4284097417e-06    0.0000000000e+00
   2.5000000000   -1.4196341463e-06    0.0000000000e+00
   2.7500000000   -1.4109814240e-06    0.0000000000e+00
   3.0000000000   -1.4024460543e-06    0.0000000000e+00
   3.2500000000   -1.3940227988e-06    0.0000000000e+00
   3.5000000000   -1.3857067416e-06    0.0000000000e+00
   3.7500000000   -1.3774931411e-06    0.0000000000e+00
   4.0000000000   -1.3693776187e-06    0.0000000000e+00
   4.2500000000   -1.3613559204e-06    0.0000000000e+00
   4.5000000000   -1.3534240255e-06    0.0000000000e+00
   4.7500000000   -1.3455781479e-06    0.0000000000e+00
   5.0000000000   -1.3378146813e-06    0.0000000000e+00
   5.2500000000   -1.3301301676e-06    0.0000000000e+00
   5.5000000000   -1.3225212851e-06    0.0000000000e+00
   5.7500000000   -1.3149848858e-06    0.0000000000e+00
   6.0000000000   -1.3075178552e-06    0.0000000000e+00
   6.2500000000   -1.3001173243e-06    0.0000000000e+00
   6.5000000000   -1.2927804842e-06    0.0000000000e+00
   6.7500000000   -1.2855047431e-06    0.0000000000e+00
   7.0000000000   -1.2782875622e-06    0.0000000000e+00
   7.2500000000   -1.2711266453e-06    0.0000000000e+00
   7.5000000000   -1.2640197072e-06    0.0000000000e+00
   7.7500000000   -1.2569646015e-06    0.0000000000e+00
   8.0000000000   -1.2499592577e-06    0.0000000000e+00
   8.2500000000   -1.2430018058e-06    0.0000000000e+00
   8.5000000000   -1.2360905193e-06    0.0000000000e+00
   8.7500000000   -1.2292241181e-06    0.0000000000e+00
   9.0000000000   -1.2224016750e-06    0.0000000000e+00
   9.2500000000   -1.2156224176e-06    0.0000000000e+00
   9.5000000000   -1.2088854188e-06    0.0000000000e+00
   9.7500000000   -1.2021890310e-06    0.0000000000e+00
  10.0000000000   -1.1955303848e-06    0.0000000000e+00
  10.2500000000   -1.1889053672e-06    0.0000000000e+00
  10.5000000000   -1.1823090463e-06    0.0000000000e+00
  10.7500000000   -1.1757370105e-06    0.0000000000e+00
  11.0000000000   -1.1691869620e-06    0.0000000000e+00
  11.2500000000   -1.1626603156e-06    0.0000000000e+00
  11.5000000000   -1.1561633601e-06    0.0000000000e+00
  11.7500000000   -1.1497061614e-06    0.0000000000e+00
  12.0000000000   -1.1433001276e-06    0.0000000000e+00
  12.2500000000   -1.1369535731e-06    0.0000000000e+00
  12.5000000000   -1.1306673651e-06    0.0000000000e+00
  12.7500000000   -1.1244315398e-06    0.0000000000e+00
  13.0000000000   -1.1182255069e-06    0.0000000000e+00
  13.2500000000   -1.1120217429e-06    0.0000000000e+00
  13.5000000000   -1.1057930837e-06    0.0000000000e+00
  13.7500000000   -1.0995216776e-06    0.0000000000e+00
  14.0000000000   -1.0932060778e-06    0.0000000000e+00
  14.2500000000   -1.0868641854e-06    0.0000000000e+00
  14.5000000000   -1.0805301559e-06    0.0000000000e+00
  14.7500000000   -1.0742455655e-06    0.0000000000e+00
  15.0000000000   -1.0680472724e-06    0.0000000000e+00
  15.2500000000   -1.0619561906e-06    0.0000000000e+00
  15.5000000000   -1.0559703414e-06    0.0000000000e+00
  15.7500000000   -1.0500651663e-06    0.0000000000e+00
  16.0000000000   -1.0442002417e-06    0.0000000000e+00
  16.2500000000   -1.0383306812e-06    0.0000000000e+00
  16.5000000000   -1.0324183106e-06    0.0000000000e+00
  16.7500000000   -1.0264394070e-06    0.0000000000e+00
  17.0000000000   -1.0203867224e-06    0.0000000000e+00
  17.2500000000   -1.0142665757e-06    0.0000000000e+00
  17.5000000000   -1.0080940806e-06    0.0000000000e+00
  17.7500000000   -1.0018907062e-06    0.0000000000e+00
  18.0000000000   -9.9568682623e-07    0.0000000000e+00
  18.2500000000   -9.8952955168e-07    0.0000000000e+00
  18.5000000000   -9.8349282845e-07    0.0000000000e+00
  18.7500000000   -9.7768395708e-07    0.0000000000e+00
  19.0000000000   -9.7224077287e-07    0.0000000000e+00
  19.2500000000   -9.6731496221e-07    0.0000000000e+00
  19.5000000000   -9.6304163068e-07    0.0000000000e+00
  19.7500000000   -9.5950023658e-07    0.0000000000e+00
  20.0000000000   -9.5667474031e-07    0.0000000000e+00
  20.2500000000   -9.5442527351e-07    0.0000000000e+00
  20.5000000000   -9.5247954486e-07    0.0000000000e+00
  20.7500000000   -9.5045148876e-07    0.0000000000e+00
  21.0000000000   -9.4788680965e-07    0.0000000000e+00
  21.2500000000   -9.4433040203e-07    0.0000000000e+00
  21.5000000000   -9.3940413718e-07    0.0000000000e+00
  21.7500000000   -9.3288092499e-07    0.0000000000e+00
  22.0000000000   -9.2474022624e-07    0.0000000000e+00
  22.2500000000   -9.1519190082e-07    0.0000000000e+00
  22.5000000000   -9.0466168185e-07    0.0000000000e+00
  22.7500000000   -8.9373713091e-07    0.0000000000e+00
  23.0000000000   -8.8308187643e-07    0.0000000000e+00
  23.2500000000   -8.7333180884e-07    0.0000000000e+00
  23.5000000000   -8.6499204554e-07    0.0000000000e+00
  23.7500000000   -8.5835350536e-07    0.0000000000e+00
  24.0000000000   -8.5344577187e-07    0.0000000000e+00
  24.2500000000   -8.5003512936e-07    0.0000000000e+00
  24.5000000000   -8.4766896675e-07    0.0000000000e+00
  24.7500000000   -8.4575705243e-07    0.0000000000e+00
  25.0000000000   -8.4367435120e-07    0.0000000000e+00
  25.2500000000   -8.4086594504e-07    0.0000000000e+00
  25.5000000000   -8.3693380763e-07    0.0000000000e+00
  25.7500000000   -8.3169224734e-07    0.0000000000e+00
  26.0000000000   -8.2518296482e-07    0.0000000000e+00
  26.2500000000   -8.1765068634e-07    0.0000000000e+00
  26.5000000000   -8.0948642119e-07    0.0000000000e+00
  26.7500000000   -8.0115084327e-07    0.0000000000e+00
  27.0000000000   -7.9309246001e-07    0.0000000000e+00
  27.2500000000   -7.8567439787e-07    0.0000000000e+00
  27.5000000000   -7.7912177948e-07    0.0000000000e+00
  27.7500000000   -7.7349660709e-07    0.0000000000e+00
  28.0000000000   -7.6870192296e-07    0.0000000000e+00
  28.2500000000   -7.6451290710e-07    0.0000000000e+00
  28.5000000000   -7.6062758957e-07    0.0000000000e+00
  28.7500000000   -7.5672662852e-07    0.0000000000e+00
  29.0000000000   -7.5253140280e-07    0.0000000000e+00
  29.2500000000   -7.4784983440e-07    0.0000000000e+00
  29.5000000000   -7.4260201328e-07    0.0000000000e+00
  29.7500000000   -7.3682322090e-07    0.0000000000e+00
  30.0000000000   -7.3064483392e-07    0.0000000000e+00
  30.2500000000   -7.2425925440e-07    0.0000000000e+00
  30.5000000000   -7.1787670865e-07    0.0000000000e+00
  30.7500000000   -7.1168330440e-07    0.0000000000e+00
  31.0000000000   -7.0580822754e-07    0.0000000000e+00
  31.2500000000   -7.0030491195e-07    0.0000000000e+00
  31.5000000000   -6.9514873837e-07    0.0000000000e+00
  31.7500000000   -6.9024960955e-07    0.0000000000e+00
  32.0000000000   -6.8547533152e-07    0.0000000000e+00
  32.2500000000   -6.8068081000e-07    0.0000000000e+00
  32.5000000000   -6.7573728638e-07    0.0000000000e+00
  32.7500000000   -6.7055631366e-07    0.0000000000e+00
  33.0000000000   -6.6510489633e-07    0.0000000000e+00
  33.2500000000   -6.5940984955e-07    0.0000000000e+00
  33.5000000000   -6.5355028441e-07    0.0000000000e+00
  33.7500000000   -6.4764092433e-07    0.0000000000e+00
  34.0000000000   -6.4180835374e-07    0.0000000000e+00
  34.2500000000   -6.3616513110e-07    0.0000000000e+00
  34.5000000000   -6.3078669403e-07    0.0000000000e+00
  34.7500000000   -6.2569545580e-07    0.0000000000e+00
  35.0000000000   -6.2085597522e-07    0.0000000000e+00
  35.2500000000   -6.1618197853e-07    0.0000000000e+00
  35.5000000000   -6.1155465969e-07    0.0000000000e+00
  35.7500000000   -6.0684756405e-07    0.0000000000e+00
  36.0000000000   -6.0195317391e-07    0.0000000000e+00
  36.2500000000   -5.9680449656e-07    0.0000000000e+00
  36.5000000000   -5.9138673978e-07    0.0000000000e+00
  36.7500000000   -5.8573665140e-07    0.0000000000e+00
  37.0000000000   -5.7993027570e-07    0.0000000000e+00
  37.2500000000   -5.7406340869e-07    0.0000000000e+00
  37.5000000000   -5.6823069996e-07    0.0000000000e+00
  37.7500000000   -5.6250919956e-07    0.0000000000e+00
  38.0000000000   -5.5695063908e-07    0.0000000000e+00
  38.2500000000   -5.5158260082e-07    0.0000000000e+00
  38.5000000000   -5.4641568578e-07    0.0000000000e+00
  38.7500000000   -5.4145144857e-07    0.0000000000e+00
  39.0000000000   -5.3668609905e-07    0.0000000000e+00
  39.2500000000   -5.3210652567e-07    0.0000000000e+00
  39.5000000000   -5.2768057192e-07    0.0000000000e+00
  39.7500000000   -5.2334532040e-07    0.0000000000e+00
  40.0000000000   -5.1900095747e-07    0.0000000000e+00
  40.2500000000   -5.1451608674e-07    0.0000000000e+00
  40.5000000000   -5.0974698204e-07    0.0000000000e+00
  40.7500000000   -5.0456894819e-07    0.0000000000e+00
  41.0000000000   -4.9891088003e-07    0.0000000000e+00
  41.2500000000   -4.9278476155e-07    0.0000000000e+00
  41.5000000000   -4.8629764239e-07    0.0000000000e+00
  41.7500000000   -4.7964220937e-07    0.0000000000e+00
  42.0000000000   -4.7306492498e-07    0.0000000000e+00
  42.2500000000   -4.6681834180e-07    0.0000000000e+00
  42.5000000000   -4.6110981413e-07    0.0000000000e+00
  42.7500000000   -4.5605817983e-07    0.0000000000e+00
