#          time             L^2_Ham             L^2_Mom
   0.0000000000    1.2880030342e-05    9.1517215380e-06
   0.5000000000    2.2266683899e-06    9.2984174540e-06
   1.0000000000    1.3671026694e-06    9.1733382296e-06
   1.5000000000    1.0462977487e-06    9.2828749578e-06
   2.0000000000    8.4601610993e-07    9.4813121206e-06
   2.5000000000    7.1952087796e-07    9.6738980978e-06
   3.0000000000    6.5664632534e-07    9.8075498289e-06
   3.5000000000    6.2801964944e-07    9.8745960066e-06
   4.0000000000    6.1049988232e-07    9.8974402667e-06
   4.5000000000    5.8732869154e-07    9.9012149368e-06
   5.0000000000    5.5742374108e-07    9.9024879067e-06
   5.5000000000    5.2592217963e-07    9.9089815259e-06
   6.0000000000    4.9669433412e-07    9.9228909477e-06
   6.5000000000    4.7320077446e-07    9.9437067047e-06
   7.0000000000    4.5515543942e-07    9.9704631267e-06
   7.5000000000    4.4217264046e-07    1.0002145482e-05
   8.0000000000    4.3279464045e-07    1.0038357731e-05
   8.5000000000    4.2620569113e-07    1.0077072316e-05
   9.0000000000    4.2234014898e-07    1.0119078883e-05
   9.5000000000    4.2060432338e-07    1.0164495362e-05
  10.0000000000    4.2444248503e-07    1.0212320678e-05
  10.5000000000    4.2299286832e-07    1.0260790241e-05
  11.0000000000    4.2720977735e-07    1.0313202616e-05
  11.5000000000    4.3263947732e-07    1.0365972595e-05
  12.0000000000    4.3924229041e-07    1.0422066981e-05
  12.5000000000    4.4795276112e-07    1.0480254236e-05
  13.0000000000    4.6567113833e-07    1.0542220608e-05
  13.5000000000    4.7143447022e-07    1.0603597199e-05
  14.0000000000    4.7820833125e-07    1.0667629298e-05
  14.5000000000    4.8617093726e-07    1.0732252363e-05
  15.0000000000    4.9515144780e-07    1.0800839642e-05
  15.5000000000    5.0602521490e-07    1.0868843444e-05
  16.0000000000    5.1653885313e-07    1.0940584599e-05
  16.5000000000    5.3319332736e-07    1.1011686732e-05
  17.0000000000    5.4892941862e-07    1.1084427717e-05
  17.5000000000    5.5825618853e-07    1.1160314615e-05
  18.0000000000    5.6762243239e-07    1.1236582949e-05
  18.5000000000    5.7687949666e-07    1.1312908141e-05
  19.0000000000    5.8607192781e-07    1.1390997041e-05
  19.5000000000    6.0072205701e-07    1.1471541316e-05
  20.0000000000    6.0951190496e-07    1.1553294018e-05
  20.5000000000    6.1892904206e-07    1.1633859109e-05
  21.0000000000    6.2799209698e-07    1.1715623761e-05
  21.5000000000    6.3930333577e-07    1.1799326109e-05
  22.0000000000    6.5407459054e-07    1.1884255261e-05
  22.5000000000    6.6797805107e-07    1.1969702074e-05
  23.0000000000    6.8183315514e-07    1.2055783254e-05
  23.5000000000    6.9708003022e-07    1.2142717781e-05
  24.0000000000    7.1318112127e-07    1.2230294879e-05
  24.5000000000    7.2891553638e-07    1.2318482305e-05
  25.0000000000    7.4452368809e-07    1.2408885696e-05
  25.5000000000    7.5762163896e-07    1.2500527630e-05
  26.0000000000    7.7191326990e-07    1.2587561505e-05
  26.5000000000    7.8032589575e-07    1.2676855205e-05
  27.0000000000    7.8913274405e-07    1.2768864055e-05
  27.5000000000    7.9740628666e-07    1.2859223366e-05
  28.0000000000    8.0653450808e-07    1.2950298766e-05
  28.5000000000    8.1490146462e-07    1.3042163360e-05
  29.0000000000    8.3502619252e-07    1.3135543038e-05
  29.5000000000    8.5095331413e-07    1.3228028667e-05
  30.0000000000    8.6713667358e-07    1.3319876932e-05
  30.5000000000    8.8682911430e-07    1.3413843177e-05
  31.0000000000    9.0510089803e-07    1.3508444994e-05
  31.5000000000    9.4130713233e-07    1.3598978200e-05
  32.0000000000    9.7405833561e-07    1.3692136828e-05
  32.5000000000    1.0372029441e-06    1.3785170307e-05
