#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.1053195610e-22   -5.5318315278e-24
   0.2500000000    7.9716822502e-23   -5.7190708487e-23
   0.5000000000    1.1067675443e-22   -5.3575941099e-23
   0.7500000000    9.0450623256e-23   -1.6869109223e-23
   1.0000000000    9.3870272430e-23   -2.9869417065e-23
   1.2500000000    7.8646236447e-23   -2.2281998118e-24
   1.5000000000    1.1882700979e-22   -4.6681247196e-23
   1.7500000000    8.9166639717e-23   -1.2002883569e-23
   2.0000000000    9.1047231250e-23    2.1851122524e-23
   2.2500000000    7.5170902964e-23   -4.1222767363e-23
   2.5000000000    1.1702758860e-22   -7.1030615076e-24
   2.7500000000    9.3111958082e-23   -1.5516630220e-23
   3.0000000000    5.7264183077e-23   -4.9073771510e-23
   3.2500000000    5.9559739184e-23   -3.2898313117e-23
   3.5000000000    7.9181795402e-23   -2.9666747995e-23
   3.7500000000    1.0031445536e-22   -3.4678496954e-23
   4.0000000000    1.1979964444e-22   -8.1341753882e-23
   4.2500000000    7.6810360531e-23   -5.6187986794e-23
   4.5000000000    9.2091176197e-23   -1.7560019064e-23
   4.7500000000    8.9805915385e-23   -9.3288975430e-23
   5.0000000000    7.2075009795e-23   -2.8974862549e-23
   5.2500000000    9.4366818268e-23   -8.2859411405e-23
   5.5000000000    1.2680469398e-22   -3.8129683686e-23
   5.7500000000    5.8750785198e-23   -6.9376399439e-23
   6.0000000000    1.0808495141e-22   -5.0774081327e-24
   6.2500000000    1.2951707545e-22   -3.8713387254e-23
   6.5000000000    1.0255999201e-22   -5.5298091652e-23
   6.7500000000    8.6714037987e-23   -4.1723357551e-23
   7.0000000000    1.0908612028e-22   -2.8888342193e-23
   7.2500000000    1.0414612776e-22   -6.1371960288e-23
   7.5000000000    8.3598159813e-23   -4.3275005401e-23
   7.7500000000    9.6111677331e-23   -5.7529439135e-23
   8.0000000000    8.1503688643e-23    3.3490857217e-24
   8.2500000000    9.7223935628e-23    1.4419044231e-23
   8.5000000000    7.9913730526e-23   -3.0205007878e-23
   8.7500000000    1.2617521724e-22   -4.7542026284e-23
   9.0000000000    8.7662000178e-23   -5.7066998401e-23
   9.2500000000    8.7569623295e-23   -3.2353179564e-23
   9.5000000000    9.5293781471e-23   -3.4377696124e-23
   9.7500000000    1.0187693765e-22   -5.7151660132e-23
  10.0000000000    8.2808903881e-23   -3.7459219939e-23
  10.2500000000    6.4596324462e-23    2.6914542775e-23
  10.5000000000    1.3629348989e-22   -2.2597960867e-23
  10.7500000000    9.6609735383e-23   -8.3517067730e-24
  11.0000000000    9.7887910826e-23   -6.5286560520e-23
  11.2500000000    8.4757910296e-23   -2.8361559709e-23
  11.5000000000    8.7049562554e-23   -4.9519471209e-23
  11.7500000000    9.1760853073e-23   -2.5536873492e-23
  12.0000000000    7.8148022892e-23   -6.8039004094e-23
  12.2500000000    1.1426113963e-22    1.7191138879e-23
  12.5000000000    5.0394647645e-23   -6.7563302876e-24
