#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.9661212314e-22    2.0927848253e-22
   0.2500000000    2.0693915366e-22    2.0982115135e-22
   0.5000000000    1.9372071489e-22    1.9319017288e-22
   0.7500000000    2.0671495267e-22    1.9675762032e-22
   1.0000000000    2.0054780061e-22    2.2224200353e-22
   1.2500000000    1.8666768236e-22    2.0520089724e-22
   1.5000000000    1.9115053048e-22    2.0948691014e-22
   1.7500000000    1.8532915288e-22    2.0038936636e-22
   2.0000000000    1.9451627158e-22    1.9799676906e-22
   2.2500000000    1.9980094124e-22    1.8826993102e-22
   2.5000000000    1.9387247493e-22    2.0081318431e-22
   2.7500000000    1.9020575113e-22    1.9207839480e-22
   3.0000000000    2.0653370881e-22    1.9139732271e-22
   3.2500000000    1.9648683277e-22    1.9659836237e-22
   3.5000000000    1.9483261721e-22    2.0223422452e-22
   3.7500000000    1.9824194853e-22    2.0203534546e-22
   4.0000000000    1.8641710092e-22    1.8614040288e-22
   4.2500000000    1.8856346089e-22    1.9390597894e-22
   4.5000000000    1.9738462906e-22    1.7326292458e-22
   4.7500000000    1.9037086556e-22    2.0294025049e-22
   5.0000000000    1.8567752773e-22    1.6922968302e-22
   5.2500000000    2.1138034205e-22    2.1438139111e-22
   5.5000000000    2.0349660565e-22    1.8779498651e-22
   5.7500000000    1.9107793330e-22    1.8448710158e-22
   6.0000000000    2.0528448664e-22    1.8522098364e-22
   6.2500000000    1.9479702778e-22    1.8768602819e-22
   6.5000000000    2.0194606352e-22    1.8892234516e-22
   6.7500000000    1.9457900260e-22    1.8244615488e-22
   7.0000000000    2.0422549240e-22    1.9454238074e-22
   7.2500000000    2.1566342798e-22    1.8596765271e-22
   7.5000000000    2.0364900485e-22    1.8398878362e-22
   7.7500000000    2.0463296958e-22    1.8687565197e-22
   8.0000000000    2.0219685915e-22    1.7166381683e-22
   8.2500000000    1.9840892095e-22    1.8080006043e-22
   8.5000000000    1.8469696102e-22    1.8627628938e-22
   8.7500000000    1.9263803112e-22    1.7850053226e-22
   9.0000000000    1.9287189727e-22    1.9241748190e-22
   9.2500000000    1.9526355605e-22    2.0446594589e-22
   9.5000000000    1.9150638917e-22    1.8137636862e-22
   9.7500000000    1.9583883400e-22    1.7482756755e-22
  10.0000000000    1.9160508059e-22    1.9244589608e-22
  10.2500000000    1.8506474569e-22    2.0792874744e-22
  10.5000000000    1.8906623981e-22    1.7768639675e-22
  10.7500000000    1.8872880755e-22    1.6142679218e-22
  11.0000000000    1.9604889867e-22    1.8622490648e-22
  11.2500000000    1.9355752337e-22    1.8615695005e-22
  11.5000000000    1.8519192408e-22    1.8887204679e-22
  11.7500000000    1.9429630652e-22    1.7366417769e-22
  12.0000000000    1.8603984098e-22    1.7377349492e-22
  12.2500000000    1.7597112465e-22    1.6223624595e-22
  12.5000000000    1.8041916052e-22    1.9094183897e-22
  12.7500000000    1.7618459140e-22    1.8572509738e-22
  13.0000000000    1.8188599972e-22    1.8762600926e-22
  13.2500000000    1.9493810391e-22    2.0199298085e-22
  13.5000000000    1.8125012715e-22    1.7639893748e-22
  13.7500000000    1.7449602125e-22    1.7382970126e-22
  14.0000000000    1.9344543616e-22    1.8152555800e-22
  14.2500000000    1.7833249786e-22    1.7725705387e-22
  14.5000000000    1.7705891018e-22    1.8839652399e-22
  14.7500000000    1.9343627931e-22    1.7489826012e-22
  15.0000000000    1.8284118119e-22    1.9314622765e-22
  15.2500000000    1.8138639103e-22    1.8027613758e-22
  15.5000000000    1.7007060785e-22    1.8477404285e-22
  15.7500000000    1.7589378094e-22    1.8237204381e-22
  16.0000000000    1.7567871737e-22    1.7757540899e-22
  16.2500000000    1.6900153192e-22    1.7376920826e-22
  16.5000000000    1.7784808437e-22    1.7374002664e-22
  16.7500000000    1.7699328307e-22    1.6314882180e-22
  17.0000000000    1.7827981703e-22    1.6752266806e-22
  17.2500000000    1.7138810617e-22    1.7199610639e-22
  17.5000000000    1.8688243081e-22    1.7819755574e-22
  17.7500000000    1.7093649738e-22    1.9080871390e-22
  18.0000000000    1.6901424207e-22    1.9469196482e-22
  18.2500000000    1.6978248363e-22    1.8388095666e-22
  18.5000000000    1.6967863573e-22    1.6380890037e-22
  18.7500000000    1.6436460636e-22    1.7473452781e-22
  19.0000000000    1.6226534756e-22    1.6983955734e-22
  19.2500000000    1.6356300314e-22    1.8043070842e-22
  19.5000000000    1.7093376183e-22    1.7851888967e-22
  19.7500000000    1.8127989062e-22    1.7623570585e-22
  20.0000000000    1.7969734565e-22    1.8043262765e-22
  20.2500000000    1.5390679034e-22    1.7814082486e-22
  20.5000000000    1.6903514980e-22    1.6909220606e-22
  20.7500000000    1.5238034780e-22    1.9166349659e-22
  21.0000000000    1.6223049441e-22    1.6880569830e-22
  21.2500000000    1.6467796056e-22    1.6154094559e-22
  21.5000000000    1.6327480760e-22    1.7351684599e-22
  21.7500000000    1.6405369843e-22    1.7407794855e-22
  22.0000000000    1.7887148098e-22    1.8719235390e-22
  22.2500000000    1.7475289960e-22    1.7091563916e-22
  22.5000000000    1.7577677757e-22    1.7043378998e-22
  22.7500000000    1.7345719711e-22    1.8542266037e-22
  23.0000000000    1.5753400231e-22    1.6721909201e-22
  23.2500000000    1.6779791860e-22    1.8659052934e-22
  23.5000000000    1.6577715181e-22    1.7054246760e-22
  23.7500000000    1.6445837054e-22    1.8920252697e-22
  24.0000000000    1.5633320738e-22    1.7379492255e-22
  24.2500000000    1.6385382487e-22    1.8083626743e-22
  24.5000000000    1.5485067570e-22    1.8979516971e-22
  24.7500000000    1.5940695012e-22    1.7251181304e-22
  25.0000000000    1.7285846560e-22    1.7448776292e-22
  25.2500000000    1.6740491192e-22    1.6341629461e-22
  25.5000000000    1.7086010028e-22    1.6851195680e-22
  25.7500000000    1.7089688500e-22    1.6660106637e-22
  26.0000000000    1.5607980717e-22    1.6480982197e-22
  26.2500000000    1.6191304811e-22    1.8297108529e-22
  26.5000000000    1.6796815090e-22    1.7107754493e-22
  26.7500000000    1.6462246522e-22    1.6981691204e-22
  27.0000000000    1.5821747004e-22    1.7179593216e-22
  27.2500000000    1.5587540125e-22    1.6874252905e-22
  27.5000000000    1.6398177387e-22    1.7169226144e-22
  27.7500000000    1.5537770648e-22    1.6481936223e-22
  28.0000000000    1.6326390324e-22    1.6057255335e-22
  28.2500000000    1.6747018551e-22    1.6719850787e-22
  28.5000000000    1.4947017658e-22    1.7327557352e-22
  28.7500000000    1.6081235785e-22    1.6690893802e-22
  29.0000000000    1.6790889441e-22    1.4913320652e-22
  29.2500000000    1.6348578744e-22    1.6318342196e-22
  29.5000000000    1.5944991915e-22    1.6043541043e-22
  29.7500000000    1.4651010924e-22    1.6137743251e-22
  30.0000000000    1.5197038796e-22    1.6073573796e-22
  30.2500000000    1.4785846608e-22    1.4610178285e-22
  30.5000000000    1.5592285223e-22    1.7054527214e-22
  30.7500000000    1.5465428746e-22    1.6383728487e-22
  31.0000000000    1.5765163696e-22    1.5433797914e-22
  31.2500000000    1.5711810260e-22    1.5360651483e-22
  31.5000000000    1.4573417628e-22    1.4782437149e-22
  31.7500000000    1.5367556340e-22    1.5732280080e-22
  32.0000000000    1.4217681224e-22    1.6339774424e-22
  32.2500000000    1.5329706451e-22    1.4415892530e-22
  32.5000000000    1.4535121509e-22    1.6881728507e-22
  32.7500000000    1.4947576603e-22    1.6500734321e-22
  33.0000000000    1.3815638983e-22    1.6392432752e-22
  33.2500000000    1.3768684217e-22    1.5617321119e-22
  33.5000000000    1.4669519625e-22    1.6683683421e-22
  33.7500000000    1.4810767003e-22    1.6403814968e-22
  34.0000000000    1.4999873406e-22    1.6421642901e-22
  34.2500000000    1.4929496275e-22    1.5651918927e-22
  34.5000000000    1.4145508040e-22    1.5681248669e-22
