#          time             L^2_Ham             L^2_Mom
   0.0000000000    2.6861656327e-07    9.2101170610e-08
   0.5000000000    2.1180580321e-07    9.8852632954e-08
   1.0000000000    2.0386499749e-07    9.8151633323e-08
   1.5000000000    1.9610817807e-07    9.7966524012e-08
   2.0000000000    1.8822912558e-07    9.8227155338e-08
   2.5000000000    1.7958467343e-07    9.8670492769e-08
   3.0000000000    1.7019163620e-07    9.8957277320e-08
   3.5000000000    1.6039528413e-07    9.9440507168e-08
   4.0000000000    1.5107811995e-07    9.9463457831e-08
   4.5000000000    1.4206942921e-07    9.9602253524e-08
   5.0000000000    1.3370305832e-07    9.9692668879e-08
   5.5000000000    1.2581946761e-07    9.9430074725e-08
   6.0000000000    1.1909719474e-07    9.9392849691e-08
   6.5000000000    1.1319292264e-07    9.9292094300e-08
   7.0000000000    1.0773914381e-07    9.9491754015e-08
   7.5000000000    1.0306166111e-07    9.9714055957e-08
   8.0000000000    9.8705785859e-08    1.0011425672e-07
   8.5000000000    9.4807126118e-08    1.0070919105e-07
   9.0000000000    9.1340262921e-08    1.0144337727e-07
   9.5000000000    8.8196367208e-08    1.0235737369e-07
  10.0000000000    8.5304554723e-08    1.0347159412e-07
  10.5000000000    8.2759967787e-08    1.0480851715e-07
  11.0000000000    8.0373010151e-08    1.0640322070e-07
  11.5000000000    7.8200095163e-08    1.0780869403e-07
  12.0000000000    7.6148184575e-08    1.0947242779e-07
  12.5000000000    7.4209777230e-08    1.1129987587e-07
  13.0000000000    7.2413979821e-08    1.1316934899e-07
  13.5000000000    7.0723834872e-08    1.1518697459e-07
  14.0000000000    6.9176525188e-08    1.1732219315e-07
  14.5000000000    6.7734052397e-08    1.2130472221e-07
  15.0000000000    6.6395334393e-08    1.2197451255e-07
  15.5000000000    6.5153715909e-08    1.2428731903e-07
  16.0000000000    6.3984221037e-08    1.2733392858e-07
  16.5000000000    6.2896535477e-08    1.2971888852e-07
  17.0000000000    6.1886492265e-08    1.3250599818e-07
  17.5000000000    6.0953587963e-08    1.3549586175e-07
  18.0000000000    6.0097142206e-08    1.3840212114e-07
  18.5000000000    5.9314215301e-08    1.4159152529e-07
  19.0000000000    5.8577746595e-08    1.4481958302e-07
  19.5000000000    5.7890817280e-08    1.4814966680e-07
  20.0000000000    5.7252328535e-08    1.5161951880e-07
  20.5000000000    5.6664668348e-08    1.6016476324e-07
  21.0000000000    5.6134565649e-08    1.5887147464e-07
  21.5000000000    5.5699170646e-08    1.6279902524e-07
  22.0000000000    5.6014792130e-08    1.6666277401e-07
  22.5000000000    5.6194759514e-08    1.7103622912e-07
  23.0000000000    5.4422152396e-08    1.7456593727e-07
  23.5000000000    5.3904815687e-08    1.7864603652e-07
  24.0000000000    5.3536360597e-08    1.8345864722e-07
  24.5000000000    5.3239333982e-08    1.8733974666e-07
  25.0000000000    5.3041898648e-08    1.9179352455e-07
  25.5000000000    5.3008832610e-08    2.0163420792e-07
  26.0000000000    5.4376658995e-08    2.0103672377e-07
  26.5000000000    5.8992542321e-08    2.0691176432e-07
  27.0000000000    5.7988677937e-08    2.1146961165e-07
  27.5000000000    5.2291861922e-08    2.1661944250e-07
  28.0000000000    5.1433472054e-08    2.1990642110e-07
  28.5000000000    5.1051204007e-08    2.2463884763e-07
  29.0000000000    5.0761724029e-08    2.3220714385e-07
  29.5000000000    5.0548457658e-08    2.3357021898e-07
  30.0000000000    5.0499581952e-08    2.4013038452e-07
  30.5000000000    5.0594902235e-08    2.5203778293e-07
  31.0000000000    5.1348584621e-08    2.5020842254e-07
  31.5000000000    5.5379701662e-08    2.5618983001e-07
  32.0000000000    5.8276882222e-08    2.6180555660e-07
  32.5000000000    5.2676205509e-08    2.6563286670e-07
  33.0000000000    5.0501202048e-08    2.7042703285e-07
  33.5000000000    4.9292753726e-08    2.7499205236e-07
  34.0000000000    4.8925588291e-08    2.8018881945e-07
  34.5000000000    4.8695265355e-08    2.8561325612e-07
  35.0000000000    4.8550651288e-08    2.9106470358e-07
  35.5000000000    4.8423508526e-08    2.9967136351e-07
  36.0000000000    4.8422384029e-08    3.0223820706e-07
  36.5000000000    4.8618879515e-08    3.0768250590e-07
  37.0000000000    4.8970670611e-08    3.1336513340e-07
  37.5000000000    4.9936245064e-08    3.1983294313e-07
  38.0000000000    5.1706617426e-08    3.2498456034e-07
  38.5000000000    5.2546991496e-08    3.3066535687e-07
  39.0000000000    5.1169233952e-08    3.3622896829e-07
  39.5000000000    4.8814991687e-08    3.4197699292e-07
  40.0000000000    4.7602394158e-08    3.4768663692e-07
  40.5000000000    4.7289748911e-08    3.7990070223e-07
  41.0000000000    4.7078750749e-08    3.6025366813e-07
  41.5000000000    4.6923492325e-08    3.6541809638e-07
  42.0000000000    4.6790202546e-08    3.7155895599e-07
  42.5000000000    4.6672163690e-08    3.7734846756e-07
  43.0000000000    4.6620746414e-08    3.8342048645e-07
  43.5000000000    4.6520868596e-08    3.8957518669e-07
  44.0000000000    4.6470606431e-08    3.9571831506e-07
  44.5000000000    4.6451796652e-08    4.0190889873e-07
  45.0000000000    4.6388519110e-08    4.0813156982e-07
  45.5000000000    4.6320252664e-08    4.2118564467e-07
  46.0000000000    4.6256076862e-08    4.2093100270e-07
  46.5000000000    4.6247405656e-08    4.2683234451e-07
