#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    4.3782292543e-23   -1.3206615073e-23
   0.2500000000    3.2390663443e-23   -2.6381042163e-23
   0.5000000000    3.9961236981e-23    9.9952710011e-24
   0.7500000000    2.1192242826e-23   -2.2175157419e-23
   1.0000000000    2.5344023498e-23    3.3094980034e-24
   1.2500000000    2.6225796037e-23    1.0050475152e-23
   1.5000000000    2.7897100291e-23    4.3853222832e-24
   1.7500000000    2.8385899877e-23    3.9193473487e-25
   2.0000000000    3.3833905521e-23   -7.2468290443e-24
   2.2500000000    4.3953261202e-23    3.1369160165e-23
   2.5000000000    1.0890249069e-23   -1.3887516836e-23
   2.7500000000    1.3325826151e-23    8.5753287741e-24
   3.0000000000    8.9741140077e-24    9.0639562779e-24
   3.2500000000    2.9993919293e-23   -1.7866713859e-23
   3.5000000000    4.0464111158e-23   -8.8629887923e-25
   3.7500000000    1.7972381679e-23    5.2557385405e-24
   4.0000000000    3.2948490791e-23   -1.3385113946e-23
   4.2500000000    3.2747666315e-23   -6.8983671883e-24
   4.5000000000    2.7407999656e-23   -2.1510546633e-23
   4.7500000000    2.9643681699e-23    3.1569598744e-24
   5.0000000000    1.6677683317e-23   -2.0167191605e-23
   5.2500000000    5.2511291273e-24    3.0298801176e-24
   5.5000000000    3.5510525863e-23    3.6033090770e-23
   5.7500000000    3.3568557266e-23   -1.2935415116e-23
   6.0000000000    5.0702715788e-23   -2.7628244774e-23
   6.2500000000    1.0688963128e-23   -1.1439945935e-23
   6.5000000000    2.8460750655e-23   -1.2693937156e-23
   6.7500000000    2.7934567819e-23    1.0013832659e-23
   7.0000000000    3.6220801543e-23    1.2372189719e-23
   7.2500000000    1.6073845748e-23   -3.4441252230e-23
   7.5000000000    3.9044053609e-23   -2.3648330354e-23
   7.7500000000    2.7067762313e-23   -1.1479527151e-23
   8.0000000000    2.6219679872e-23    1.9591023594e-23
   8.2500000000    2.7200337288e-23   -5.9311302525e-24
   8.5000000000    3.7085151857e-23   -4.2141815211e-24
   8.7500000000    4.7457172610e-23   -2.8507079055e-24
   9.0000000000    3.3599995710e-23   -1.3417194821e-23
   9.2500000000    3.7994652043e-23    3.0558766936e-23
   9.5000000000    2.5035449344e-23   -1.7187683058e-23
   9.7500000000    2.2151503470e-23    3.5850215907e-24
  10.0000000000    2.7692058775e-23   -8.1236100011e-24
  10.2500000000    3.7901969782e-23   -1.7206718858e-23
  10.5000000000    2.2337448572e-23   -6.9171674497e-24
  10.7500000000    3.3723335654e-23    1.1188585756e-23
  11.0000000000    2.6661596948e-23    4.6211513478e-24
  11.2500000000    2.8730661346e-23    5.5126691951e-24
  11.5000000000    2.8625898801e-23   -1.9634162252e-24
  11.7500000000    4.4336446364e-23    2.4724799224e-23
  12.0000000000    1.9263536768e-23   -1.1439458306e-23
  12.2500000000    4.6612477217e-23   -2.7521233114e-23
  12.5000000000    1.3578942891e-23   -6.2310859002e-24
  12.7500000000    3.9547923916e-23    1.0128535227e-23
  13.0000000000    4.2145179606e-23   -4.5030141133e-24
  13.2500000000    3.4097238459e-23    2.0534201124e-23
  13.5000000000    3.4485767673e-23    4.3446243214e-24
  13.7500000000    3.4915103783e-23   -1.4131024048e-23
  14.0000000000    2.9052229278e-23   -1.9959660616e-23
  14.2500000000    5.6727544078e-23   -1.7689697254e-23
  14.5000000000    3.7784864059e-23    6.7297648584e-25
  14.7500000000    1.3622011679e-23   -1.2110634202e-23
  15.0000000000    2.4529791164e-23   -9.8880117133e-24
  15.2500000000    4.7524158065e-23   -1.8959255631e-23
  15.5000000000    1.7780038663e-23    1.2755336020e-23
  15.7500000000    3.4569778271e-23    9.6942131487e-24
  16.0000000000    3.0096863276e-23   -2.2160709322e-23
  16.2500000000    2.4939433279e-23    1.0400757778e-23
  16.5000000000    1.5833213930e-23    5.8847287219e-24
  16.7500000000    9.6410929128e-24    4.7327586470e-24
  17.0000000000    1.3315275729e-23   -2.3047633553e-23
  17.2500000000    3.0313450212e-23   -2.0262847481e-23
  17.5000000000    3.4616668488e-23   -2.7717608834e-23
  17.7500000000    2.2748400118e-23    2.4824509174e-23
  18.0000000000    4.1136317529e-23   -1.0705306378e-23
  18.2500000000    2.8909514505e-23    4.0991142584e-23
  18.5000000000    3.6511305224e-23    1.9403662791e-24
  18.7500000000    1.0360847998e-23    2.2117349455e-23
  19.0000000000    3.6162894702e-23   -2.8000776487e-23
  19.2500000000    4.8008499836e-23    1.4758210647e-24
  19.5000000000    3.9173417913e-23    2.7441820842e-23
  19.7500000000    2.1635830668e-23   -1.3284829186e-23
  20.0000000000    2.2395965402e-23    1.4383499740e-24
  20.2500000000    1.8551209473e-23    1.5888506245e-23
  20.5000000000    2.1046408764e-23   -7.4829981331e-24
  20.7500000000    4.1806669480e-23   -1.4791949970e-23
  21.0000000000    2.1635795268e-23    2.2945072859e-23
  21.2500000000    2.1329435108e-23   -8.1186246349e-24
  21.5000000000    3.5560386282e-23    1.1781791093e-23
  21.7500000000    2.7342620106e-23   -8.7090112495e-24
  22.0000000000    3.5623429639e-23   -7.2516009311e-24
  22.2500000000    2.1056116522e-23    7.9154014270e-24
  22.5000000000    4.1405028907e-23    7.5898601772e-24
  22.7500000000    2.1587062155e-23    7.6977366244e-24
  23.0000000000    1.7118199341e-23    4.0258956456e-23
  23.2500000000    1.8334526327e-23    8.3568326607e-24
  23.5000000000    3.4195059057e-23   -1.5478553896e-23
  23.7500000000    1.9609378844e-23    1.1474243659e-24
  24.0000000000    2.5734473911e-23   -2.4339268683e-24
  24.2500000000    2.2483097996e-23   -1.5091707596e-23
  24.5000000000    2.2762512942e-23    1.2530400658e-23
  24.7500000000    1.2873645140e-23    1.4670855932e-23
  25.0000000000    5.4932094406e-24    7.7477330078e-24
  25.2500000000    1.1920148703e-23   -8.5094611457e-24
  25.5000000000    2.1380654371e-23   -1.8194064558e-24
  25.7500000000    1.1746635946e-23    1.1242683331e-23
  26.0000000000    2.6823696218e-23    2.9930281326e-24
  26.2500000000    2.7973757034e-23   -4.1643732376e-24
  26.5000000000    2.8343568954e-23    9.3720337426e-24
  26.7500000000    2.5223743316e-23    1.7624651157e-24
  27.0000000000    3.1482018998e-23   -3.3065050258e-23
  27.2500000000    3.7316276291e-23   -3.0732435387e-23
  27.5000000000    9.1760153051e-24   -9.9688804886e-24
  27.7500000000    3.2156495672e-23    2.1035522702e-23
  28.0000000000    2.0448453394e-23   -1.9969916018e-24
  28.2500000000    2.1343291246e-23    6.2354209013e-24
  28.5000000000    3.1709261690e-23    6.0753623775e-24
  28.7500000000    2.5815205946e-23    1.3510140321e-23
  29.0000000000    1.3821164706e-23    1.0941557037e-23
  29.2500000000    5.1669896008e-24   -2.1033666242e-23
  29.5000000000    1.0418454014e-23   -1.5845388982e-23
  29.7500000000    2.8989567061e-23    2.2126070827e-24
  30.0000000000    1.2823749849e-23    1.0689653596e-23
  30.2500000000    1.4208729606e-23    1.4620429038e-23
  30.5000000000    2.4242349985e-23    3.6430110495e-24
  30.7500000000    1.5699432943e-23   -3.2381540099e-23
  31.0000000000    2.4446284954e-23    4.3116245600e-24
  31.2500000000    2.1490706768e-23    1.0055742362e-23
  31.5000000000    1.0100153519e-23    5.1594223628e-24
  31.7500000000    7.5419966528e-24   -2.5128126293e-23
  32.0000000000    2.5079115490e-23   -1.6087894202e-23
  32.2500000000    2.3835360669e-23    7.0566175252e-24
  32.5000000000    1.2078052077e-23    9.3252768905e-24
  32.7500000000    2.1715028875e-23   -2.9152172295e-23
  33.0000000000    6.7213801407e-24   -1.0825047128e-23
  33.2500000000    1.9603166291e-23   -3.0001990263e-24
  33.5000000000    7.8358235733e-24    1.5216290582e-23
  33.7500000000    9.8867548899e-24   -8.5118568608e-24
  34.0000000000    1.4355120737e-23   -2.4842841702e-23
  34.2500000000    2.5628651338e-23   -1.0099490891e-23
  34.5000000000    1.5630242300e-23    1.9515328266e-24
  34.7500000000    1.7655411538e-23   -6.5759414607e-24
  35.0000000000    9.2200233731e-24   -7.4969511357e-25
  35.2500000000    2.8193080254e-23    7.3517114363e-24
  35.5000000000    2.8838778672e-23   -8.8870773377e-24
  35.7500000000    8.5850532840e-24   -1.3719362977e-23
  36.0000000000    2.7038263445e-23    1.4590091386e-23
  36.2500000000    3.4443496736e-23   -1.7576865610e-23
  36.5000000000    1.5965421347e-23   -3.9032246510e-24
  36.7500000000    2.9436823470e-23    9.9862131419e-24
  37.0000000000    9.4356196015e-24   -7.0228916123e-24
  37.2500000000    2.1401454908e-23   -5.2825437006e-24
  37.5000000000   -7.1307914665e-24   -1.1809769765e-23
  37.7500000000    2.2610002118e-23   -8.8900943719e-24
  38.0000000000    1.5806206141e-23   -1.6287781091e-25
  38.2500000000    1.3898403794e-23    9.3107808017e-24
  38.5000000000   -4.1681513564e-24   -5.2101935901e-24
  38.7500000000    2.5328419737e-23   -1.4164212512e-23
  39.0000000000    1.1498659072e-23    3.4217661468e-24
  39.2500000000    1.7305011212e-23    1.6338349803e-23
  39.5000000000    2.9394986309e-23    1.0922256841e-23
  39.7500000000    1.2333961876e-23   -1.7708486962e-23
  40.0000000000   -1.3017158754e-24   -2.4011461578e-23
  40.2500000000    6.2153599042e-24    1.8184733399e-23
  40.5000000000    1.9369402240e-23   -2.4621128938e-23
  40.7500000000    5.1744541917e-24    4.9920854045e-24
  41.0000000000    2.4940163633e-23   -2.5252704386e-23
  41.2500000000    1.1728679484e-23   -1.3515204221e-24
  41.5000000000    1.6130721635e-23    1.1077912820e-23
  41.7500000000    2.8229994305e-23    1.1267301761e-23
  42.0000000000    8.6557461117e-24   -1.6755509921e-23
  42.2500000000    3.8977301188e-24   -1.3552032054e-23
  42.5000000000    5.8548005009e-24   -1.1444053772e-23
  42.7500000000    2.6641654459e-23   -1.6807909478e-23
  43.0000000000    2.1633937777e-23    3.7432615577e-24
  43.2500000000   -7.6130020665e-24    8.4161504112e-24
  43.5000000000    1.3024339931e-23   -1.5244273115e-23
  43.7500000000   -5.4275259020e-25   -5.6200258440e-24
  44.0000000000    1.1840647621e-23   -1.0273524537e-23
  44.2500000000    9.1962169527e-24    4.2840830603e-24
  44.5000000000    9.6506363501e-24   -2.6607015452e-24
  44.7500000000    1.2186123988e-23   -8.3187626405e-24
  45.0000000000    1.4372421707e-23   -1.3625011979e-23
  45.2500000000    2.1077267816e-23   -4.7904652855e-24
  45.5000000000    1.2920599061e-23   -7.3920751434e-24
  45.7500000000    7.3219947413e-24   -3.4076362255e-24
  46.0000000000    2.1782610413e-23   -3.4527168101e-24
  46.2500000000    8.3211752217e-24   -2.6945810414e-24
  46.5000000000    1.1007415154e-23    4.3751749432e-24
  46.7500000000    1.5223789783e-23   -5.7225571214e-24
  47.0000000000    6.6332283060e-24    1.2155556022e-24
  47.2500000000    2.6888210171e-23   -6.5122669112e-24
  47.5000000000    2.1157801801e-23    6.2599049825e-25
  47.7500000000   -7.3612345589e-24    7.2030338572e-24
  48.0000000000    1.6421153855e-23    9.0259773388e-24
  48.2500000000    9.7986309036e-24    2.8515549784e-24
  48.5000000000    1.5194225711e-23   -5.2570645379e-24
  48.7500000000    1.9104930691e-23   -1.6078521830e-23
  49.0000000000    1.2817338394e-23    8.1272307083e-24
  49.2500000000    8.2637709732e-25   -1.3247694689e-23
  49.5000000000    9.6566674624e-25    4.6739513983e-24
  49.7500000000    8.9742119072e-24   -5.2612807630e-24
  50.0000000000    1.6830709792e-23    3.2132360764e-24
  50.2500000000    1.7481461787e-23   -3.2798984856e-24
  50.5000000000    1.7989251134e-23    8.5870449451e-24
  50.7500000000    2.3497942331e-23    1.6674691235e-23
  51.0000000000    1.6540181096e-23   -1.0626948207e-23
  51.2500000000    2.1341124786e-23   -1.0666805184e-23
  51.5000000000    3.1118026766e-23   -7.1825327969e-24
  51.7500000000    1.5290538840e-23   -6.9444181317e-24
  52.0000000000    8.9548589950e-24   -1.1120664653e-24
  52.2500000000    1.4115432037e-23   -2.5632292611e-23
  52.5000000000    6.3391688267e-24   -3.4309001372e-24
  52.7500000000    1.0575705239e-23   -7.9160371638e-24
  53.0000000000    1.4173149111e-23    9.0209396423e-24
  53.2500000000    1.0279525314e-23   -4.8827745291e-24
  53.5000000000    1.3218655052e-23   -2.8865353618e-24
  53.7500000000    1.5783408011e-23    1.1344852255e-23
  54.0000000000    1.8565291597e-23    8.2758218693e-25
  54.2500000000    1.8840061779e-23    2.3206535568e-24
  54.5000000000    2.2167796959e-23    3.4771422206e-25
  54.7500000000    1.3048563503e-23   -8.1827075313e-24
  55.0000000000    2.6029708030e-23    1.3417774548e-24
  55.2500000000    2.1654757236e-23    3.4680271975e-24
  55.5000000000    1.0228457662e-23    2.6325310794e-24
  55.7500000000    1.2216434535e-23   -5.2069205973e-24
  56.0000000000    1.4244748391e-23   -2.8191889431e-24
  56.2500000000    7.2403004364e-24   -7.0767340652e-24
  56.5000000000    1.3038869489e-23   -4.2481382406e-24
  56.7500000000    1.6647833245e-23   -2.4350305023e-24
  57.0000000000    1.1118515710e-23    1.3614520543e-23
  57.2500000000    1.9553376601e-23   -1.0804554103e-23
  57.5000000000    1.7400031167e-23    2.5197065360e-24
  57.7500000000    1.3120851783e-23    1.9096639789e-23
  58.0000000000    2.2649854227e-23   -8.0365574423e-24
  58.2500000000    2.3759070888e-23    5.2501482135e-24
  58.5000000000    1.8114535585e-23   -6.4164014038e-24
  58.7500000000    2.4920219699e-23   -6.1505225887e-24
  59.0000000000    2.5350103069e-23    1.3968173342e-23
  59.2500000000    2.0055264610e-23   -1.0153086397e-23
  59.5000000000    1.7675311151e-23   -3.0849568015e-24
  59.7500000000    8.7906680654e-24   -5.2635014336e-24
  60.0000000000    1.4591916561e-23   -1.0133430121e-23
  60.2500000000    1.4846371472e-23    5.7461475810e-24
  60.5000000000    1.6743609369e-23   -7.4700447344e-25
  60.7500000000    9.0455823266e-24   -1.7022966921e-23
  61.0000000000    1.2527868953e-23    5.4992227778e-24
  61.2500000000    8.9315798369e-24   -7.9501009838e-24
  61.5000000000    2.7599645855e-23    9.5119635673e-24
  61.7500000000    1.6545532932e-23   -2.2131907326e-24
  62.0000000000    1.0159300303e-23   -7.0768327363e-24
  62.2500000000    1.7855127366e-23   -9.8773207105e-24
  62.5000000000    6.5452260472e-24    8.1591567911e-25
  62.7500000000    1.4231637179e-23    4.0446932362e-24
