#          time             L^2_Ham             L^2_Mom
   0.0000000000    1.7635097056e-06    2.0500272913e-06
   0.5000000000    6.6337618432e-07    2.0324513934e-06
   1.0000000000    5.6941903728e-07    1.9949632730e-06
   1.5000000000    4.8065489179e-07    1.9659138064e-06
   2.0000000000    4.0485636371e-07    1.9503324445e-06
   2.5000000000    3.5609166438e-07    1.9476012949e-06
   3.0000000000    3.2564654250e-07    1.9545413350e-06
   3.5000000000    3.0726675701e-07    1.9667955192e-06
   4.0000000000    2.9655496163e-07    1.9810276519e-06
   4.5000000000    2.8371334596e-07    1.9955060940e-06
   5.0000000000    2.6917481782e-07    2.0096926214e-06
   5.5000000000    2.5496021013e-07    2.0231724269e-06
   6.0000000000    2.4072059547e-07    2.0366249225e-06
   6.5000000000    2.2757202722e-07    2.0503674882e-06
   7.0000000000    2.1505885296e-07    2.0645106864e-06
   7.5000000000    2.0417056910e-07    2.0794629018e-06
   8.0000000000    1.9346221019e-07    2.0954871390e-06
   8.5000000000    1.8456147035e-07    2.1126371805e-06
   9.0000000000    1.7619538840e-07    2.1320480939e-06
   9.5000000000    1.6883778084e-07    2.1514093450e-06
  10.0000000000    1.6232640304e-07    2.1747972383e-06
  10.5000000000    1.5668006823e-07    2.1935977405e-06
  11.0000000000    1.5151785412e-07    2.2163710374e-06
  11.5000000000    1.4754308586e-07    2.2409100206e-06
  12.0000000000    1.4330292621e-07    2.2665701511e-06
  12.5000000000    1.3994124107e-07    2.2931797780e-06
  13.0000000000    1.3742468113e-07    2.3212881734e-06
  13.5000000000    1.3533517791e-07    2.3499421633e-06
  14.0000000000    1.3366858664e-07    2.3800268931e-06
  14.5000000000    1.3285660262e-07    2.4107432690e-06
  15.0000000000    1.3833863909e-07    2.4457331639e-06
  15.5000000000    1.4294428820e-07    2.4761563800e-06
  16.0000000000    1.4060617801e-07    2.5091695660e-06
  16.5000000000    1.4234483816e-07    2.5439416844e-06
  17.0000000000    1.4808567043e-07    2.5796350614e-06
  17.5000000000    1.7138058723e-07    2.6162237970e-06
  18.0000000000    1.7002433634e-07    2.6530578191e-06
  18.5000000000    1.7049091423e-07    2.6906444499e-06
  19.0000000000    1.6671929456e-07    2.7290305540e-06
  19.5000000000    1.8583219329e-07    2.7677896775e-06
  20.0000000000    1.9307531844e-07    2.8063330714e-06
  20.5000000000    1.8869075655e-07    2.8486579296e-06
  21.0000000000    1.9079073687e-07    2.8881246262e-06
  21.5000000000    1.6492296716e-07    2.9257804802e-06
  22.0000000000    1.3836153394e-07    2.9657912921e-06
  22.5000000000    1.3466527460e-07    3.0076418815e-06
  23.0000000000    1.3417584895e-07    3.0493025180e-06
  23.5000000000    1.3390485879e-07    3.0914722787e-06
  24.0000000000    1.3613668853e-07    3.1344283256e-06
  24.5000000000    1.4125077880e-07    3.1781235211e-06
  25.0000000000    1.4685370899e-07    3.2215470435e-06
  25.5000000000    1.5665885573e-07    3.2725609402e-06
  26.0000000000    1.6828678121e-07    3.3104012843e-06
  26.5000000000    1.7932545162e-07    3.3555263147e-06
  27.0000000000    1.8761731986e-07    3.3993703665e-06
  27.5000000000    1.9044616759e-07    3.4450853854e-06
  28.0000000000    1.8617016973e-07    3.4894614517e-06
  28.5000000000    1.9170435759e-07    3.5351429582e-06
  29.0000000000    1.9037906890e-07    3.5808474427e-06
  29.5000000000    1.9187409708e-07    3.6370046646e-06
  30.0000000000    1.9196097765e-07    3.6767081070e-06
  30.5000000000    1.9182234915e-07    3.7286120350e-06
  31.0000000000    1.9170153326e-07    3.7715325352e-06
  31.5000000000    1.9115095513e-07    3.8254511506e-06
  32.0000000000    1.9030469107e-07    3.8599016128e-06
  32.5000000000    1.8912976823e-07    3.9153123017e-06
  33.0000000000    1.8801183250e-07    3.9615513242e-06
  33.5000000000    1.8788396288e-07    4.0058798207e-06
  34.0000000000    1.8777377452e-07    4.0559536656e-06
  34.5000000000    1.8844346528e-07    4.0984843272e-06
  35.0000000000    1.8715829669e-07    4.1422503179e-06
  35.5000000000    1.9028568339e-07    4.1967793750e-06
  36.0000000000    1.9045162822e-07    4.2394026756e-06
  36.5000000000    1.8748231727e-07    4.2832888353e-06
  37.0000000000    1.8425661779e-07    4.3311206301e-06
  37.5000000000    1.8702911871e-07    4.3776748421e-06
  38.0000000000    1.8840015218e-07    4.4254319890e-06
  38.5000000000    1.8803412979e-07    4.4727983902e-06
  39.0000000000    1.8772109300e-07    4.5199796788e-06
  39.5000000000    1.8824847283e-07    4.5753356970e-06
  40.0000000000    1.8928108893e-07    4.6178790570e-06
  40.5000000000    1.9018709105e-07    4.6792148436e-06
  41.0000000000    1.9097629918e-07    4.7276275485e-06
  41.5000000000    1.9204577648e-07    4.7685805402e-06
  42.0000000000    1.9299246000e-07    4.8197970205e-06
  42.5000000000    1.9384769347e-07    4.8523332978e-06
  43.0000000000    1.9486996137e-07    4.8986075800e-06
  43.5000000000    1.9587371841e-07    4.9474390269e-06
  44.0000000000    1.9724533635e-07    4.9929628963e-06
  44.5000000000    1.9834529455e-07    5.0407365652e-06
  45.0000000000    1.9989911651e-07    5.0877658377e-06
  45.5000000000    2.0013821790e-07    5.1398101973e-06
  46.0000000000    2.0170072988e-07    5.1866519174e-06
  46.5000000000    2.0225888390e-07    5.2282471774e-06
  47.0000000000    2.0418064781e-07    5.2750182069e-06
  47.5000000000    2.0513558541e-07    5.3211441114e-06
  48.0000000000    2.0643768642e-07    5.3678472006e-06
  48.5000000000    2.0792890307e-07    5.4146839656e-06
  49.0000000000    2.0969120839e-07    5.4610269897e-06
  49.5000000000    2.1144253961e-07    5.5077896844e-06
  50.0000000000    2.1201816367e-07    5.5972598029e-06
  50.5000000000    2.1234351073e-07    5.6280570741e-06
  51.0000000000    2.1278387052e-07    5.6650641527e-06
  51.5000000000    2.1404913241e-07    5.7238960548e-06
  52.0000000000    2.1490563462e-07    5.7517528381e-06
  52.5000000000    2.1588692066e-07    5.7882256424e-06
  53.0000000000    2.1731201283e-07    5.8304666246e-06
  53.5000000000    2.1822962881e-07    5.8719314474e-06
  54.0000000000    2.1960674373e-07    5.9211516054e-06
  54.5000000000    2.2020399921e-07    5.9647696195e-06
  55.0000000000    2.2189278967e-07    6.0166061101e-06
  55.5000000000    2.2312028498e-07    6.0461964565e-06
  56.0000000000    2.2367632120e-07    6.0919038570e-06
  56.5000000000    2.2513847335e-07    6.1453208552e-06
  57.0000000000    2.2600571385e-07    6.1787794785e-06
  57.5000000000    2.2659112808e-07    6.2216589778e-06
  58.0000000000    2.2909912739e-07    6.2656073209e-06
  58.5000000000    2.3107194964e-07    6.3096364482e-06
  59.0000000000    2.3285171050e-07    6.3545077350e-06
  59.5000000000    2.3172732649e-07    6.4519576972e-06
  60.0000000000    2.3219048551e-07    6.4647144332e-06
  60.5000000000    2.3355198670e-07    6.5354458041e-06
  61.0000000000    2.3546938229e-07    6.5234465144e-06
  61.5000000000    2.3766116843e-07    6.5752268701e-06
  62.0000000000    2.3800831736e-07    6.6170220391e-06
  62.5000000000    2.3836689735e-07    6.6519209002e-06
  63.0000000000    2.4014953386e-07    6.6969218866e-06
  63.5000000000    2.4332803331e-07    6.7363343281e-06
  64.0000000000    2.4276688369e-07    6.7788227972e-06
  64.5000000000    2.4364576937e-07    6.8383531084e-06
  65.0000000000    2.4513332203e-07    6.8562105414e-06
  65.5000000000    2.4658387965e-07    6.9035048332e-06
  66.0000000000    2.4770771899e-07    6.9444757708e-06
  66.5000000000    2.4873698973e-07    6.9954676103e-06
  67.0000000000    2.4992693577e-07    7.0264560221e-06
  67.5000000000    2.5082600208e-07    7.0681586349e-06
  68.0000000000    2.5330352151e-07    7.1101954736e-06
  68.5000000000    2.5295124539e-07    7.1518462606e-06
  69.0000000000    2.5513243213e-07    7.2135445113e-06
  69.5000000000    2.5661137282e-07    7.2248505410e-06
  70.0000000000    2.5719598078e-07    7.3924300519e-06
  70.5000000000    2.5892176891e-07    7.3251983172e-06
  71.0000000000    2.6032834436e-07    7.3464048498e-06
  71.5000000000    2.6075585905e-07    7.4118450911e-06
  72.0000000000    2.6220662485e-07    7.4291842030e-06
  72.5000000000    2.6359325508e-07    7.4723344702e-06
  73.0000000000    2.6465163651e-07    7.5090115451e-06
  73.5000000000    2.6610412839e-07    7.6611015940e-06
  74.0000000000    2.6729423621e-07    7.6294012779e-06
  74.5000000000    2.6873360523e-07    7.6185896574e-06
  75.0000000000    2.7003095712e-07    7.6551440065e-06
  75.5000000000    2.7111040838e-07    7.6957476206e-06
  76.0000000000    2.7223978595e-07    7.7367470289e-06
  76.5000000000    2.7387370228e-07    7.7894903500e-06
  77.0000000000    2.7567634344e-07    7.8157730479e-06
  77.5000000000    2.7745239724e-07    7.8546284612e-06
  78.0000000000    2.8138549087e-07    7.8936435346e-06
  78.5000000000    2.8610519400e-07    7.9643535192e-06
  79.0000000000    2.9141581708e-07    7.9555248191e-06
  79.5000000000    2.9942678448e-07    8.0032884130e-06
  80.0000000000    3.0529427691e-07    8.0400209348e-06
  80.5000000000    3.1151157747e-07    8.0913391963e-06
  81.0000000000    3.1645291032e-07    8.1174215953e-06
  81.5000000000    3.2040704695e-07    8.1632043411e-06
  82.0000000000    3.2189364213e-07    8.1875630884e-06
  82.5000000000    3.2370862988e-07    8.2251308672e-06
  83.0000000000    3.2430061939e-07    8.2628879169e-06
  83.5000000000    3.2396387348e-07    8.3002584469e-06
  84.0000000000    3.2252529872e-07    8.3374471228e-06
  84.5000000000    3.2207998973e-07    8.3744759871e-06
  85.0000000000    3.2148870293e-07    8.5932942717e-06
  85.5000000000    3.2044081872e-07    8.5104313707e-06
  86.0000000000    3.1986301928e-07    8.4698405283e-06
  86.5000000000    3.1990789002e-07    8.5151019918e-06
  87.0000000000    3.2039802471e-07    8.5402629320e-06
  87.5000000000    3.1980696605e-07    8.5792470538e-06
  88.0000000000    3.1938571955e-07    8.6157570503e-06
  88.5000000000    3.2131594545e-07    8.6512259265e-06
  89.0000000000    3.2536179155e-07    8.6868564662e-06
  89.5000000000    3.2945962448e-07    8.7225550212e-06
  90.0000000000    3.3180793089e-07    8.8063036639e-06
  90.5000000000    3.3385364407e-07    8.8114159280e-06
  91.0000000000    3.3841105587e-07    8.8306780250e-06
  91.5000000000    3.4377382488e-07    8.8812203581e-06
  92.0000000000    3.4668830579e-07    8.9041822756e-06
  92.5000000000    3.4905036616e-07    8.9362665157e-06
  93.0000000000    3.5384723004e-07    8.9723556784e-06
  93.5000000000    3.5860253783e-07    9.0058981683e-06
  94.0000000000    3.6019541806e-07    9.0407767086e-06
  94.5000000000    3.6152514619e-07    9.0753630160e-06
  95.0000000000    3.6502918718e-07    9.1095972278e-06
  95.5000000000    3.6790635634e-07    9.1441564759e-06
  96.0000000000    3.6825161059e-07    9.1781472232e-06
  96.5000000000    3.6870415056e-07    9.2285122095e-06
  97.0000000000    3.7076486531e-07    9.2474868504e-06
  97.5000000000    3.7170715113e-07    9.2810138586e-06
  98.0000000000    3.7135582739e-07    9.3149713321e-06
  98.5000000000    3.7142408320e-07    9.3485329976e-06
  99.0000000000    3.7229389538e-07    9.3820106337e-06
  99.5000000000    3.7244469090e-07    9.4153665159e-06
 100.0000000000    3.7220333032e-07    9.4695014323e-06
 100.5000000000    3.7179536888e-07    9.4910360024e-06
 101.0000000000    3.7186780978e-07    9.5473570116e-06
 101.5000000000    3.7182702091e-07    9.5525757116e-06
 102.0000000000    3.7184760211e-07    9.5818905973e-06
 102.5000000000    3.7160335682e-07    9.6150459558e-06
 103.0000000000    3.7153768926e-07    9.6478282916e-06
 103.5000000000    3.7136147710e-07    9.6802595749e-06
 104.0000000000    3.7153404510e-07    9.7126107074e-06
 104.5000000000    3.7142094416e-07    9.7448726992e-06
 105.0000000000    3.7155703150e-07    9.7770463131e-06
 105.5000000000    3.7121708546e-07    9.8091201346e-06
 106.0000000000    3.7129522780e-07    9.8727325947e-06
 106.5000000000    3.7154512361e-07    9.8776394507e-06
 107.0000000000    3.7412606037e-07    1.0007894753e-05
 107.5000000000    3.7252877721e-07    9.9874513622e-06
 108.0000000000    3.7287268546e-07    9.9717356481e-06
 108.5000000000    3.7292816094e-07    1.0016506220e-05
 109.0000000000    3.7300564690e-07    1.0057273625e-05
 109.5000000000    3.7314508506e-07    1.0063212023e-05
 110.0000000000    3.7344592173e-07    1.0117269950e-05
 110.5000000000    3.7401444962e-07    1.0132584102e-05
 111.0000000000    3.7437820555e-07    1.0176140637e-05
 111.5000000000    3.7461460782e-07    1.0193648741e-05
 112.0000000000    3.7500635841e-07    1.0219706564e-05
 112.5000000000    3.7552739157e-07    1.0247989738e-05
 113.0000000000    3.7599811270e-07    1.0278003398e-05
 113.5000000000    3.7648656214e-07    1.0309708247e-05
 114.0000000000    3.7694202490e-07    1.0341655075e-05
 114.5000000000    3.7751199780e-07    1.0371718899e-05
 115.0000000000    3.7808168941e-07    1.0400665438e-05
 115.5000000000    3.7855632958e-07    1.0430132453e-05
 116.0000000000    3.7924266630e-07    1.0479127690e-05
 116.5000000000    3.8001184657e-07    1.0492757966e-05
 117.0000000000    3.8066776120e-07    1.0522227045e-05
 117.5000000000    3.8117556431e-07    1.0551850717e-05
 118.0000000000    3.8201380307e-07    1.0581161230e-05
 118.5000000000    3.8308816639e-07    1.0610710382e-05
 119.0000000000    3.8389178375e-07    1.0640419534e-05
 119.5000000000    3.8452192601e-07    1.0692539212e-05
 120.0000000000    3.8550109183e-07    1.0710115823e-05
 120.5000000000    3.8683738336e-07    1.0763581962e-05
 121.0000000000    3.8774789337e-07    1.0763662968e-05
 121.5000000000    3.8828297078e-07    1.0788199941e-05
 122.0000000000    3.8945910001e-07    1.0817608757e-05
 122.5000000000    3.9100531939e-07    1.0846770969e-05
 123.0000000000    3.9186390250e-07    1.0875540146e-05
 123.5000000000    3.9254698486e-07    1.0904215660e-05
 124.0000000000    3.9372638604e-07    1.0932888827e-05
 124.5000000000    3.9497005795e-07    1.0961525201e-05
 125.0000000000    3.9595586782e-07    1.0990049194e-05
 125.5000000000    3.9702964345e-07    1.1037889446e-05
 126.0000000000    3.9798657866e-07    1.1048791325e-05
 126.5000000000    3.9886476391e-07    1.1076296223e-05
 127.0000000000    3.9997801738e-07    1.1104724820e-05
 127.5000000000    4.0117220088e-07    1.1132888862e-05
 128.0000000000    4.0191507432e-07    1.1160938792e-05
 128.5000000000    4.0273653117e-07    1.1188914870e-05
 129.0000000000    4.0396853341e-07    1.1239479238e-05
 129.5000000000    4.0493857243e-07    1.1256062813e-05
 130.0000000000    4.0574880022e-07    1.1308167854e-05
 130.5000000000    4.0653694284e-07    1.1307011809e-05
 131.0000000000    4.0755429235e-07    1.1329518586e-05
 131.5000000000    4.0848822673e-07    1.1357307305e-05
 132.0000000000    4.0933431407e-07    1.1385046495e-05
 132.5000000000    4.1007293385e-07    1.1412485301e-05
 133.0000000000    4.1099383398e-07    1.1439814199e-05
 133.5000000000    4.1195542394e-07    1.1467065862e-05
