#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    2.1622296770e-22    2.2919087500e-22
   0.2500000000    2.2010037931e-22    2.2709210248e-22
   0.5000000000    2.2620157136e-22    2.1976576478e-22
   0.7500000000    2.3991764435e-22    2.4380421905e-22
   1.0000000000    2.2173212504e-22    2.2566592812e-22
   1.2500000000    2.1917566311e-22    2.2047091866e-22
   1.5000000000    2.0755811084e-22    2.1374425834e-22
   1.7500000000    2.1878813172e-22    2.2545402392e-22
   2.0000000000    2.2731374466e-22    2.4330160536e-22
   2.2500000000    2.0721615278e-22    2.4807644290e-22
   2.5000000000    2.2432670576e-22    2.2859279358e-22
   2.7500000000    2.2481510698e-22    2.2566903978e-22
   3.0000000000    2.1950218064e-22    2.1674267985e-22
   3.2500000000    2.1059063226e-22    2.2684809341e-22
   3.5000000000    2.1983009972e-22    2.1928161097e-22
   3.7500000000    2.1164037807e-22    2.0927068145e-22
   4.0000000000    2.3649325517e-22    2.2890256883e-22
   4.2500000000    2.2212211095e-22    2.0068921788e-22
   4.5000000000    2.2909671114e-22    2.1845151779e-22
   4.7500000000    2.1857133650e-22    2.2115144114e-22
   5.0000000000    2.2009986255e-22    2.0112029718e-22
   5.2500000000    2.0921197606e-22    2.2164401838e-22
   5.5000000000    1.9312534828e-22    2.2290739446e-22
   5.7500000000    2.2603342905e-22    1.7657500778e-22
   6.0000000000    2.0010381320e-22    2.2539619906e-22
   6.2500000000    1.9881750568e-22    2.0733833075e-22
   6.5000000000    2.2165059982e-22    2.1311693905e-22
   6.7500000000    2.0867128109e-22    2.0492136523e-22
   7.0000000000    1.9462525816e-22    2.0445962329e-22
   7.2500000000    1.9450903346e-22    2.0902996481e-22
   7.5000000000    2.0161008631e-22    1.8752587138e-22
   7.7500000000    2.1359964260e-22    2.0219710693e-22
   8.0000000000    2.0274482164e-22    1.9378162053e-22
   8.2500000000    2.0554812433e-22    1.9890150995e-22
   8.5000000000    2.0285120226e-22    2.0988763405e-22
   8.7500000000    2.0136757735e-22    1.9665272424e-22
   9.0000000000    2.0727244281e-22    1.9626028585e-22
   9.2500000000    2.0577329198e-22    1.9424005817e-22
   9.5000000000    1.9063326158e-22    2.0549334026e-22
   9.7500000000    2.0362842425e-22    1.8338360424e-22
  10.0000000000    2.0899966625e-22    1.9781671316e-22
  10.2500000000    2.0331637421e-22    2.1537655288e-22
  10.5000000000    1.9823583684e-22    2.0686536837e-22
  10.7500000000    1.9936679299e-22    1.8771074631e-22
  11.0000000000    2.0261139399e-22    1.9231501965e-22
  11.2500000000    1.7709429679e-22    1.9995803056e-22
  11.5000000000    1.6844671656e-22    2.0673401308e-22
  11.7500000000    1.8529936519e-22    1.8929918058e-22
  12.0000000000    1.7995257369e-22    2.1128591045e-22
  12.2500000000    2.0576816301e-22    1.8730964207e-22
  12.5000000000    1.8933917048e-22    1.9427642213e-22
  12.7500000000    1.8084778638e-22    1.9010224433e-22
  13.0000000000    1.9624256921e-22    1.9522728168e-22
  13.2500000000    1.9233906500e-22    1.8040562483e-22
  13.5000000000    2.0835048905e-22    1.9620711379e-22
  13.7500000000    2.0101172707e-22    1.8121823051e-22
  14.0000000000    1.9238627889e-22    2.2678642015e-22
  14.2500000000    2.0153761995e-22    1.7777210453e-22
  14.5000000000    1.9118292909e-22    1.9689500230e-22
  14.7500000000    1.9954504651e-22    1.9445305874e-22
  15.0000000000    2.0601360857e-22    1.9280726410e-22
  15.2500000000    1.9308222483e-22    1.7823748119e-22
  15.5000000000    2.0407665426e-22    1.8310337965e-22
  15.7500000000    1.9310375775e-22    2.0071130206e-22
  16.0000000000    1.8626981306e-22    1.9215666819e-22
  16.2500000000    1.9842213882e-22    2.0008209354e-22
  16.5000000000    1.9917999116e-22    1.7926482125e-22
  16.7500000000    1.9101867371e-22    1.8836017658e-22
  17.0000000000    2.0152256645e-22    1.8149064503e-22
  17.2500000000    2.0482952252e-22    1.7394440173e-22
  17.5000000000    1.9288082346e-22    1.7704291225e-22
  17.7500000000    1.9590687970e-22    1.7866623495e-22
  18.0000000000    1.8558703419e-22    2.0003668055e-22
  18.2500000000    1.8672784640e-22    1.7898258759e-22
  18.5000000000    1.7841715193e-22    1.7416081042e-22
  18.7500000000    1.8565200585e-22    1.7635398791e-22
  19.0000000000    1.6920138984e-22    1.9381155083e-22
  19.2500000000    2.0036855512e-22    1.6790526197e-22
  19.5000000000    2.0236394267e-22    1.8946891917e-22
  19.7500000000    1.7972492800e-22    1.8087999645e-22
  20.0000000000    1.8801619697e-22    1.8327810218e-22
  20.2500000000    1.9841211493e-22    1.7369260395e-22
  20.5000000000    1.7635380646e-22    1.7577427317e-22
  20.7500000000    1.8584036587e-22    1.8041135054e-22
  21.0000000000    1.8419221594e-22    1.9152494525e-22
  21.2500000000    1.7810088625e-22    1.7370460271e-22
  21.5000000000    1.7150512985e-22    1.8440087576e-22
  21.7500000000    1.8339843308e-22    1.6578599952e-22
  22.0000000000    1.7697744392e-22    1.8402837144e-22
  22.2500000000    1.6796443903e-22    1.6608536544e-22
  22.5000000000    1.8190887775e-22    1.7859478004e-22
  22.7500000000    1.6307078644e-22    1.8662835184e-22
  23.0000000000    1.8308195254e-22    1.8782722496e-22
  23.2500000000    1.7376666400e-22    1.7527664964e-22
  23.5000000000    1.8830652072e-22    1.7971241135e-22
  23.7500000000    1.6997475761e-22    1.7270919340e-22
  24.0000000000    1.7445045765e-22    1.6438642520e-22
  24.2500000000    1.7468646843e-22    1.7660474653e-22
  24.5000000000    1.7132550053e-22    1.7424335677e-22
  24.7500000000    1.5397822555e-22    1.6758106217e-22
  25.0000000000    1.6792554043e-22    1.8188201883e-22
  25.2500000000    1.6630186277e-22    1.7137740127e-22
  25.5000000000    1.6377687674e-22    1.6789842235e-22
  25.7500000000    1.7366243680e-22    1.7263179863e-22
  26.0000000000    1.5959049818e-22    1.7716494063e-22
  26.2500000000    1.5394980037e-22    1.5527277931e-22
  26.5000000000    1.6202787021e-22    1.8264847800e-22
  26.7500000000    1.6835975649e-22    1.8759326775e-22
  27.0000000000    1.8070295709e-22    1.7648443768e-22
  27.2500000000    1.6888112645e-22    1.6439804667e-22
  27.5000000000    1.6567969158e-22    1.7888639370e-22
  27.7500000000    1.7743318888e-22    1.6932343297e-22
  28.0000000000    1.5785457161e-22    1.6565856742e-22
  28.2500000000    1.6260381010e-22    1.6440647897e-22
  28.5000000000    1.6105441367e-22    1.7366583972e-22
  28.7500000000    1.6081904072e-22    1.6338530496e-22
  29.0000000000    1.7267430276e-22    1.7092851788e-22
  29.2500000000    1.7468831512e-22    1.7506489000e-22
  29.5000000000    1.5558383834e-22    1.7046617431e-22
  29.7500000000    1.6428190094e-22    1.6440016763e-22
  30.0000000000    1.5788201734e-22    1.7952954792e-22
  30.2500000000    1.5327212043e-22    1.7122090873e-22
  30.5000000000    1.6392873211e-22    1.7901795673e-22
  30.7500000000    1.6892034932e-22    1.6446349950e-22
  31.0000000000    1.6329876406e-22    1.5768206241e-22
  31.2500000000    1.6321507888e-22    1.7112419575e-22
  31.5000000000    1.5824070436e-22    1.5404899907e-22
  31.7500000000    1.6535614133e-22    1.8336591699e-22
  32.0000000000    1.5481589215e-22    1.5955968272e-22
  32.2500000000    1.6530733173e-22    1.5280715657e-22
  32.5000000000    1.5587462019e-22    1.7488353089e-22
  32.7500000000    1.5133040884e-22    1.6050365194e-22
  33.0000000000    1.5619725910e-22    1.6608408613e-22
  33.2500000000    1.7081667953e-22    1.6553492945e-22
  33.5000000000    1.5742966177e-22    1.6816439191e-22
  33.7500000000    1.6369161975e-22    1.7325774356e-22
  34.0000000000    1.6200340269e-22    1.5800377282e-22
  34.2500000000    1.6434107525e-22    1.6741177826e-22
  34.5000000000    1.5101566714e-22    1.7036469996e-22
  34.7500000000    1.5131488510e-22    1.5510576900e-22
  35.0000000000    1.6207706030e-22    1.6176396066e-22
  35.2500000000    1.5385595889e-22    1.5775716389e-22
  35.5000000000    1.4814107801e-22    1.5489828127e-22
  35.7500000000    1.5850286197e-22    1.4584851697e-22
  36.0000000000    1.5480729869e-22    1.6683303713e-22
  36.2500000000    1.4705753251e-22    1.5533897752e-22
  36.5000000000    1.5423143308e-22    1.6892335073e-22
  36.7500000000    1.5218591114e-22    1.6739488441e-22
  37.0000000000    1.5745718474e-22    1.6933132604e-22
  37.2500000000    1.6146941933e-22    1.4920344751e-22
  37.5000000000    1.5787708415e-22    1.5778049855e-22
  37.7500000000    1.5736721419e-22    1.5228338409e-22
  38.0000000000    1.5094558780e-22    1.7862816592e-22
  38.2500000000    1.5939959201e-22    1.5970315555e-22
  38.5000000000    1.3933908546e-22    1.6802746871e-22
  38.7500000000    1.4849760626e-22    1.6071072667e-22
  39.0000000000    1.5759830066e-22    1.6607046055e-22
  39.2500000000    1.4290770614e-22    1.5086500511e-22
  39.5000000000    1.4637894857e-22    1.6313564720e-22
  39.7500000000    1.5370322250e-22    1.5095501871e-22
  40.0000000000    1.5130169933e-22    1.5332939492e-22
  40.2500000000    1.3760211044e-22    1.5370968981e-22
  40.5000000000    1.3818705665e-22    1.6817950639e-22
  40.7500000000    1.4021084742e-22    1.6167354145e-22
  41.0000000000    1.4770966303e-22    1.4978314384e-22
  41.2500000000    1.5184602318e-22    1.4705880190e-22
  41.5000000000    1.3314627899e-22    1.5515201178e-22
  41.7500000000    1.3631237666e-22    1.5651453928e-22
  42.0000000000    1.5503964504e-22    1.6774360485e-22
  42.2500000000    1.4193912870e-22    1.5881373057e-22
  42.5000000000    1.3668791948e-22    1.5023360819e-22
  42.7500000000    1.3955944472e-22    1.3932400296e-22
  43.0000000000    1.2794692063e-22    1.4341814008e-22
  43.2500000000    1.3409814554e-22    1.5503072621e-22
  43.5000000000    1.4003144484e-22    1.4525161800e-22
  43.7500000000    1.4128829864e-22    1.4725321943e-22
  44.0000000000    1.3670502056e-22    1.4984344638e-22
  44.2500000000    1.3534451958e-22    1.4608469981e-22
  44.5000000000    1.3203868149e-22    1.3984987079e-22
  44.7500000000    1.3270812477e-22    1.4094378995e-22
  45.0000000000    1.3479821800e-22    1.4484827620e-22
  45.2500000000    1.3118665744e-22    1.5164036178e-22
  45.5000000000    1.3220119893e-22    1.3952592985e-22
