#          time             L^2_Ham             L^2_Mom
   0.0000000000    2.3680852632e-06    2.7959318735e-06
   0.5000000000    6.9939208113e-07    2.7493476334e-06
   1.0000000000    5.8060023508e-07    2.7031016591e-06
   1.5000000000    4.7940797710e-07    2.6644544362e-06
   2.0000000000    4.0232646539e-07    2.6501783887e-06
   2.5000000000    3.5506024004e-07    2.6572954083e-06
   3.0000000000    3.3097121149e-07    2.6760954750e-06
   3.5000000000    3.1623499023e-07    2.6983248937e-06
   4.0000000000    3.0570304162e-07    2.7192914737e-06
   4.5000000000    2.9046348311e-07    2.7378817267e-06
   5.0000000000    2.7333524726e-07    2.7544967947e-06
   5.5000000000    2.5776333914e-07    2.7698962770e-06
   6.0000000000    2.4264808188e-07    2.7850206561e-06
   6.5000000000    2.2929443588e-07    2.8004853562e-06
   7.0000000000    2.1695383060e-07    2.8167785712e-06
   7.5000000000    2.0636458296e-07    2.8342251372e-06
   8.0000000000    1.9627970436e-07    2.8540966440e-06
   8.5000000000    1.8781599270e-07    2.8736753066e-06
   9.0000000000    1.8073843927e-07    2.8950677798e-06
   9.5000000000    1.7391201076e-07    2.9181554175e-06
  10.0000000000    1.6864571908e-07    2.9426639541e-06
  10.5000000000    1.6410930941e-07    2.9686102310e-06
  11.0000000000    1.6123965584e-07    2.9958441217e-06
  11.5000000000    1.5700955035e-07    3.0253598415e-06
  12.0000000000    1.5465161605e-07    3.0544269297e-06
  12.5000000000    1.5308644900e-07    3.0860618536e-06
  13.0000000000    1.5206914109e-07    3.1193822577e-06
  13.5000000000    1.5285229170e-07    3.1520724671e-06
  14.0000000000    1.6093885574e-07    3.1868243140e-06
  14.5000000000    1.6263236049e-07    3.2226189580e-06
  15.0000000000    1.6156618208e-07    3.2611167027e-06
  15.5000000000    1.7014926138e-07    3.2983069498e-06
  16.0000000000    1.8203523180e-07    3.3378785658e-06
  16.5000000000    2.0296267810e-07    3.3809962819e-06
  17.0000000000    1.9768169878e-07    3.4185705210e-06
  17.5000000000    1.9450781224e-07    3.4597773140e-06
  18.0000000000    1.9319174346e-07    3.5066496298e-06
  18.5000000000    1.6866693886e-07    3.5459978649e-06
  19.0000000000    1.7150399577e-07    3.5880002072e-06
  19.5000000000    1.9331824209e-07    3.6317255628e-06
  20.0000000000    2.0325101974e-07    3.6769211230e-06
  20.5000000000    2.0191335440e-07    3.7225824365e-06
  21.0000000000    2.0355985680e-07    3.7689197070e-06
  21.5000000000    1.9351010949e-07    3.8137016985e-06
  22.0000000000    1.7285276144e-07    3.8616135245e-06
  22.5000000000    1.7144405842e-07    3.9091160935e-06
  23.0000000000    1.7289325438e-07    3.9571253038e-06
  23.5000000000    1.7567410519e-07    4.0098424202e-06
  24.0000000000    1.8004755984e-07    4.0551287280e-06
  24.5000000000    1.9270092945e-07    4.1049850623e-06
  25.0000000000    2.0419428571e-07    4.1548497373e-06
  25.5000000000    2.2324973174e-07    4.2045725694e-06
  26.0000000000    2.4229467264e-07    4.2554974657e-06
  26.5000000000    2.6158105196e-07    4.3066881445e-06
  27.0000000000    2.7540158961e-07    4.3578278546e-06
  27.5000000000    2.8532141629e-07    4.4099603430e-06
  28.0000000000    2.8808191484e-07    4.4611330395e-06
  28.5000000000    2.9770721147e-07    4.5184817449e-06
  29.0000000000    2.9857267243e-07    4.5684950038e-06
  29.5000000000    3.0038630618e-07    4.6174960770e-06
  30.0000000000    3.0098247043e-07    4.6707405554e-06
  30.5000000000    2.9996651853e-07    4.7233337530e-06
  31.0000000000    2.9827270209e-07    4.7759311659e-06
  31.5000000000    2.9579309477e-07    4.8288065127e-06
  32.0000000000    2.9293295296e-07    4.8819130718e-06
  32.5000000000    2.8978787953e-07    4.9351273436e-06
  33.0000000000    2.8649713066e-07    5.0806417341e-06
  33.5000000000    2.8410999653e-07    5.0427416137e-06
  34.0000000000    2.8201286231e-07    5.0943443438e-06
