#          time             L^2_Ham             L^2_Mom
   0.0000000000    2.3622153126e-07    8.9986450369e-08
   0.5000000000    1.8094952720e-07    9.5653829621e-08
   1.0000000000    1.7334678150e-07    9.5035789629e-08
   1.5000000000    1.6616448248e-07    9.4725379402e-08
   2.0000000000    1.5913948444e-07    9.4732632548e-08
   2.5000000000    1.5132875108e-07    9.4944123091e-08
   3.0000000000    1.4291498995e-07    9.5023774651e-08
   3.5000000000    1.3422470737e-07    9.5245914417e-08
   4.0000000000    1.2605040047e-07    9.5168076668e-08
   4.5000000000    1.1818381783e-07    9.5103014409e-08
   5.0000000000    1.1105922162e-07    9.5102409463e-08
   5.5000000000    1.0438199527e-07    9.4963880438e-08
   6.0000000000    9.8789627082e-08    9.4966610417e-08
   6.5000000000    9.3862316998e-08    9.5037032886e-08
   7.0000000000    8.9381459071e-08    9.5321746822e-08
   7.5000000000    8.5605546330e-08    9.5670604137e-08
   8.0000000000    8.2112080198e-08    9.6207307991e-08
   8.5000000000    7.8887632555e-08    9.6916083294e-08
   9.0000000000    7.6089801193e-08    9.7735617021e-08
   9.5000000000    7.3499509333e-08    9.8847496249e-08
  10.0000000000    7.1140109152e-08    1.0000067575e-07
  10.5000000000    6.9067564038e-08    1.0139888725e-07
  11.0000000000    6.7109406823e-08    1.0289254633e-07
  11.5000000000    6.5337839426e-08    1.0441632611e-07
  12.0000000000    6.3647772557e-08    1.0610043199e-07
  12.5000000000    6.2054878784e-08    1.0806550373e-07
  13.0000000000    6.0585448950e-08    1.0989355996e-07
  13.5000000000    5.9204978257e-08    1.1188234216e-07
  14.0000000000    5.7946379435e-08    1.1408259819e-07
  14.5000000000    5.6783527388e-08    1.1628862803e-07
  15.0000000000    5.5704628783e-08    1.2276895189e-07
  15.5000000000    5.4710812085e-08    1.2112479439e-07
  16.0000000000    5.3772407499e-08    1.2382191266e-07
  16.5000000000    5.2906006412e-08    1.2643213924e-07
  17.0000000000    5.2103588808e-08    1.2924531919e-07
  17.5000000000    5.1367667417e-08    1.3213885060e-07
  18.0000000000    5.0696979396e-08    1.3515118078e-07
  18.5000000000    5.0085312915e-08    1.3828661016e-07
  19.0000000000    4.9518091096e-08    1.4393845154e-07
  19.5000000000    4.8992115804e-08    1.4490149911e-07
  20.0000000000    4.8511507384e-08    1.5287471614e-07
  20.5000000000    4.8086355478e-08    1.5189270277e-07
  21.0000000000    4.7807765847e-08    1.5567148008e-07
  21.5000000000    4.8560363747e-08    1.5943360099e-07
  22.0000000000    4.7611858688e-08    1.6346090380e-07
  22.5000000000    4.6607193261e-08    1.6696063264e-07
  23.0000000000    4.6225802770e-08    1.7085483251e-07
  23.5000000000    4.5926043604e-08    1.7491950318e-07
  24.0000000000    4.5677534834e-08    1.7902943502e-07
  24.5000000000    4.5480072087e-08    1.8323295986e-07
  25.0000000000    4.5378979696e-08    1.9282533150e-07
  25.5000000000    4.5495456419e-08    1.9205865295e-07
  26.0000000000    4.7613605758e-08    1.9710574323e-07
  26.5000000000    5.2263051178e-08    2.0254333491e-07
  27.0000000000    4.8352468479e-08    2.0682911133e-07
  27.5000000000    4.4712585709e-08    2.0997186296e-07
  28.0000000000    4.4154860531e-08    2.1447223423e-07
