#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    3.3071857963e-22   -1.2741846998e-22
   0.2500000000    3.3914011205e-22   -2.9324414235e-23
   0.5000000000    3.1458106924e-22   -6.9993588593e-23
   0.7500000000    3.3154853906e-22   -1.0151919221e-22
   1.0000000000    3.8508564346e-22   -8.4351912719e-23
   1.2500000000    3.4986317310e-22   -1.3071833131e-22
   1.5000000000    3.0460309954e-22   -1.3791015648e-22
   1.7500000000    3.5502546559e-22   -4.3228316412e-23
   2.0000000000    3.6610007871e-22   -1.1191994611e-22
   2.2500000000    3.3543855686e-22   -3.4601945493e-23
   2.5000000000    2.8825950960e-22   -1.0595097016e-22
   2.7500000000    3.1295986665e-22   -1.4131190233e-22
   3.0000000000    3.1835286692e-22   -8.7256942038e-23
   3.2500000000    3.5205575604e-22   -1.1701293664e-22
   3.5000000000    2.5794993767e-22   -1.4806657040e-22
   3.7500000000    2.8748344208e-22   -5.5336681245e-23
   4.0000000000    3.1705486222e-22   -1.5545074697e-22
   4.2500000000    3.0013651494e-22   -1.3166439881e-22
   4.5000000000    2.7738804623e-22   -1.5351257477e-22
   4.7500000000    3.2631186140e-22   -7.3831589002e-23
   5.0000000000    2.2869746798e-22   -7.0473058754e-23
   5.2500000000    2.9164509616e-22   -1.3967511755e-22
   5.5000000000    3.2553095029e-22   -1.5072091561e-22
   5.7500000000    2.3737156504e-22   -5.0265306045e-23
   6.0000000000    3.1413775130e-22   -1.1772359133e-22
   6.2500000000    3.6146707269e-22   -9.6706104852e-23
   6.5000000000    2.6787171129e-22   -1.1361183387e-22
   6.7500000000    2.9725999921e-22   -1.0486946474e-22
   7.0000000000    3.2611098557e-22   -8.2862805713e-23
   7.2500000000    2.8930104963e-22   -8.1041182558e-23
   7.5000000000    3.2416307115e-22   -1.1695861611e-22
   7.7500000000    2.7454747436e-22   -6.5832576025e-23
   8.0000000000    3.3237840186e-22   -6.2537735444e-23
   8.2500000000    3.1861574151e-22   -8.3290277403e-23
