#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -1.1335941128e-22    9.3275853489e-24
   0.2500000000   -1.2521434290e-22   -4.4446614651e-23
   0.5000000000   -1.8434279452e-22   -1.4039121621e-24
   0.7500000000   -1.6771667312e-22   -5.9862921700e-23
   1.0000000000   -1.0274561866e-22   -6.4498660440e-23
   1.2500000000   -1.2964528691e-22   -5.5808830151e-23
   1.5000000000   -1.4540577015e-22   -6.5314191783e-23
   1.7500000000   -1.6111253341e-22   -1.2644136785e-22
   2.0000000000   -4.7456862948e-23   -1.2056984754e-23
   2.2500000000   -1.7353738828e-22   -1.3394461488e-23
   2.5000000000   -1.4823814905e-22   -3.6308201684e-23
   2.7500000000   -1.2411297149e-22   -3.1227024376e-23
   3.0000000000   -1.2824061312e-22    2.2594907272e-23
   3.2500000000   -1.4734664355e-22   -3.8146198531e-23
   3.5000000000   -1.4207395730e-22   -8.2180348727e-24
   3.7500000000   -1.3323975126e-22   -8.5507295825e-24
   4.0000000000   -1.2780558021e-22   -3.1683035722e-23
   4.2500000000   -1.6476353516e-22   -9.7406127689e-23
   4.5000000000   -9.3262674492e-23   -4.3025822002e-23
   4.7500000000   -1.5715304998e-22   -1.4061625347e-22
   5.0000000000   -1.1178100294e-22   -9.9816291740e-23
   5.2500000000   -9.6462608560e-23   -8.3927534345e-23
   5.5000000000   -1.2195415111e-22   -7.8634920557e-23
   5.7500000000   -1.3218830402e-22   -9.1419929414e-23
   6.0000000000   -1.0586407363e-22   -6.5346396827e-23
   6.2500000000   -1.4292899658e-22   -8.8643113565e-23
   6.5000000000   -1.4089242599e-22   -2.4331187496e-23
   6.7500000000   -1.4079774235e-22   -5.4126973027e-23
   7.0000000000   -1.6785651384e-22   -3.5750940873e-23
   7.2500000000   -1.2900555603e-22   -7.3363371935e-23
   7.5000000000   -1.4536218525e-22   -8.1737299507e-23
   7.7500000000   -1.1673202774e-22   -5.8688329384e-23
   8.0000000000   -1.2001097186e-22   -5.0402805177e-23
   8.2500000000   -1.2134115241e-22    1.9303555964e-23
   8.5000000000   -9.1377698670e-23   -1.3552679584e-23
   8.7500000000   -1.6853196113e-22   -1.7842857714e-23
   9.0000000000   -6.8756642093e-23   -5.9300303746e-23
   9.2500000000   -1.1940710311e-22   -9.0179432681e-23
   9.5000000000   -9.3172033721e-23   -6.8644853356e-23
   9.7500000000   -1.1782330623e-22   -7.1810786563e-23
  10.0000000000   -1.2616921325e-22   -1.1675507319e-22
  10.2500000000   -1.4210788445e-22    5.4873390141e-23
  10.5000000000   -1.5680993951e-22   -1.2299266270e-24
  10.7500000000   -1.7489237130e-22   -3.4703622945e-23
  11.0000000000   -1.5827471537e-22   -5.6929476709e-23
  11.2500000000   -1.1813694627e-22   -7.2808106138e-23
  11.5000000000   -1.8771103835e-22    7.9618436489e-24
  11.7500000000   -1.3744330138e-22   -1.1015421452e-22
  12.0000000000   -1.2526288711e-22   -1.8163373724e-23
  12.2500000000   -9.9959055158e-23   -8.1131731461e-23
  12.5000000000   -1.7031016400e-22   -4.8729084477e-24
  12.7500000000   -1.3188948797e-22   -3.6649937714e-23
  13.0000000000   -1.6007381324e-22   -2.0472078732e-23
  13.2500000000   -1.0060873194e-22    3.6391970219e-23
  13.5000000000   -2.0052551030e-22   -7.5088880736e-23
  13.7500000000   -1.2814137373e-22   -5.2966343454e-24
  14.0000000000   -9.5744153396e-23   -4.8878906657e-23
  14.2500000000   -1.5500951105e-22   -1.1787271472e-22
  14.5000000000   -1.0302885323e-22   -8.3988843366e-23
  14.7500000000   -9.8295886565e-23   -2.1760239640e-23
  15.0000000000   -1.0681174684e-22   -5.1915034075e-23
  15.2500000000   -1.4105377443e-22   -8.0218663154e-23
  15.5000000000   -1.5029046524e-22   -1.9810980911e-23
  15.7500000000   -1.4290236087e-22    2.4062580269e-23
  16.0000000000   -1.2803561829e-22   -3.4229718279e-23
  16.2500000000   -1.6234150864e-22   -4.4576205929e-23
  16.5000000000   -1.2850144548e-22   -3.8302023020e-23
  16.7500000000   -1.1232229592e-22   -7.7592308872e-23
  17.0000000000   -5.5033402136e-23   -1.9963170211e-23
  17.2500000000   -5.2825800214e-23    5.7695676316e-24
  17.5000000000   -1.3891773176e-22   -3.2701537308e-24
  17.7500000000   -1.0766475200e-22   -1.1405194616e-22
  18.0000000000   -1.1260617667e-22   -8.5593351434e-23
  18.2500000000   -1.3860994377e-22    7.4118463211e-24
  18.5000000000   -1.2839501091e-22   -5.8803268258e-23
  18.7500000000   -1.4503002708e-22    1.7095161838e-23
  19.0000000000   -1.1023089001e-22   -1.7272311156e-23
  19.2500000000   -1.6131226692e-22   -9.3090243715e-23
  19.5000000000   -9.4749354043e-23   -4.5672570220e-23
  19.7500000000   -8.6711570666e-23   -6.3425147379e-23
  20.0000000000   -1.0673476761e-22   -8.8610087499e-23
  20.2500000000   -1.3309772555e-22    1.0893446826e-23
  20.5000000000   -7.9315251615e-23   -6.4932457515e-23
  20.7500000000   -1.3381261619e-22   -5.8002146447e-23
  21.0000000000   -9.7210195957e-23   -7.8186278986e-23
  21.2500000000   -8.4562824051e-23   -3.9282852709e-23
  21.5000000000   -1.3205425972e-22    6.0567263591e-24
  21.7500000000   -1.1526643816e-22   -2.8234660260e-24
  22.0000000000   -1.7791260302e-22    7.2446281686e-24
  22.2500000000   -1.2357259618e-22   -6.5663566804e-23
  22.5000000000   -9.4908268137e-23   -4.7202422689e-23
  22.7500000000   -1.2182393006e-22   -5.4012520922e-23
  23.0000000000   -1.0773867618e-22   -4.7137307183e-23
  23.2500000000   -1.6450894401e-22    1.4565440473e-23
  23.5000000000   -1.2391376846e-22   -4.7256563537e-23
  23.7500000000   -8.3010166391e-23   -9.2042302339e-23
  24.0000000000   -1.0323666663e-22   -1.8520216752e-23
  24.2500000000   -9.4042453995e-23    1.2818293374e-23
  24.5000000000   -8.8744369144e-23   -1.9952232999e-23
  24.7500000000   -1.5340245915e-22   -5.6471245530e-23
  25.0000000000   -1.1195064001e-22   -5.6564446473e-23
  25.2500000000   -1.3058104440e-22   -2.5996828096e-23
  25.5000000000   -9.4102428896e-23   -3.1159326110e-23
  25.7500000000   -1.3033298093e-22   -1.1049270122e-23
  26.0000000000   -6.5286557447e-23   -6.3194602539e-23
  26.2500000000   -8.0415500391e-23   -9.4384456789e-23
  26.5000000000   -1.3413956476e-22   -2.0967597423e-24
  26.7500000000   -1.2543782820e-22   -1.1435670411e-23
  27.0000000000   -7.9926439472e-23   -3.1641832819e-23
  27.2500000000   -1.1242907075e-22    3.0501262830e-23
  27.5000000000   -1.3564860520e-22   -4.1620499201e-23
  27.7500000000   -1.1560802402e-22   -2.2461511744e-23
  28.0000000000   -1.3025936791e-22   -6.2454712536e-23
  28.2500000000   -1.3664087179e-22   -6.1788617244e-23
  28.5000000000   -1.3928261319e-22   -6.0434286726e-23
  28.7500000000   -8.1125846672e-23   -2.9521068886e-24
  29.0000000000   -1.0971088300e-22   -4.3983385017e-23
  29.2500000000   -1.3248255367e-22   -6.5403628124e-23
  29.5000000000   -1.4262685103e-22   -1.8768245001e-24
  29.7500000000   -9.9614060338e-23   -3.4598414303e-23
  30.0000000000   -9.9629863618e-23   -9.1602618296e-24
  30.2500000000   -8.1246038755e-23   -3.2760702505e-23
  30.5000000000   -1.4029284209e-22   -2.5994658086e-23
  30.7500000000   -9.1079794693e-23   -4.2568931514e-23
  31.0000000000   -1.4107257871e-22   -3.3373934129e-23
  31.2500000000   -6.4719478005e-23   -4.8942498076e-25
  31.5000000000   -1.5521922390e-22   -7.5275793600e-24
  31.7500000000   -1.3775378190e-22   -7.0819358441e-23
  32.0000000000   -1.1282535786e-22    2.1793134295e-23
  32.2500000000   -1.2978247283e-22   -4.1615600046e-23
  32.5000000000   -1.0183833144e-22   -4.6221258359e-23
  32.7500000000   -7.7807199608e-23   -1.5540042593e-23
  33.0000000000   -1.1626876955e-22   -7.2017842563e-23
  33.2500000000   -1.0191632491e-22   -1.2193790062e-23
  33.5000000000   -9.9337240935e-23    7.6191494031e-25
  33.7500000000   -1.0323185256e-22   -2.6019664732e-23
  34.0000000000   -9.9607584391e-23   -1.3521210836e-23
  34.2500000000   -3.1407860677e-23   -2.8881768472e-23
  34.5000000000   -9.6057957669e-23   -4.1892786527e-23
  34.7500000000   -1.2862421711e-22   -3.6307487596e-23
  35.0000000000   -1.0491552142e-22   -4.9099491929e-23
  35.2500000000   -1.0379153538e-22   -1.9323789031e-23
  35.5000000000   -1.0679466074e-22   -4.2662517925e-23
  35.7500000000   -9.4804588597e-23   -3.0969863327e-23
  36.0000000000   -1.0269772693e-22   -6.6586726644e-24
  36.2500000000   -9.5298606983e-23   -1.0687322593e-22
  36.5000000000   -1.0249355835e-22   -6.8015318504e-23
  36.7500000000   -9.3216307108e-23    3.5288517102e-25
  37.0000000000   -1.2959930268e-22   -4.9921696694e-23
  37.2500000000   -1.2002789144e-22   -4.1889499297e-23
  37.5000000000   -8.9904243956e-23   -1.7955231945e-23
  37.7500000000   -1.0361988677e-22   -5.6299961907e-23
  38.0000000000   -7.9979113746e-23   -2.9973336189e-23
  38.2500000000   -9.3806793055e-23   -1.8547374977e-23
  38.5000000000   -8.2497717176e-23    4.6071930612e-24
  38.7500000000   -1.2400975772e-22   -5.8750623021e-23
  39.0000000000   -1.2802410341e-22    1.4710939549e-23
  39.2500000000   -1.0824195298e-22   -3.5153183448e-23
  39.5000000000   -8.6325117438e-23   -6.5978474239e-24
  39.7500000000   -1.4159467595e-22   -6.6726941229e-23
  40.0000000000   -1.1914999177e-22   -4.9930613240e-23
  40.2500000000   -1.2358659308e-22   -5.4522911656e-23
  40.5000000000   -1.1360359628e-22   -5.2808240885e-24
  40.7500000000   -1.1253634008e-22   -2.8449230361e-23
  41.0000000000   -1.0766191424e-22    2.3385180097e-23
  41.2500000000   -1.0981331358e-22   -8.3532480940e-23
  41.5000000000   -8.6941245152e-23   -5.8398088413e-23
  41.7500000000   -7.5647239178e-23   -1.7964356755e-24
  42.0000000000   -9.5790393659e-23    1.8390918901e-24
  42.2500000000   -8.4721425453e-23   -4.7453305392e-23
  42.5000000000   -1.0147830626e-22   -2.7317446885e-23
  42.7500000000   -7.2080320679e-23   -3.8018316234e-23
  43.0000000000   -7.5557967619e-23   -3.0096578676e-23
  43.2500000000   -9.8830889002e-23   -6.3653502038e-23
  43.5000000000   -1.0323306828e-22   -6.1308201825e-23
  43.7500000000   -1.2029394289e-22   -6.5523059629e-23
  44.0000000000   -1.3040630765e-22   -4.1346915314e-23
  44.2500000000   -1.0613290505e-22   -2.2445391927e-23
  44.5000000000   -1.0423702655e-22   -1.3269040573e-23
  44.7500000000   -1.0401107271e-22    1.9458811478e-23
  45.0000000000   -1.2571743323e-22   -5.2604901229e-23
  45.2500000000   -1.0657357617e-22   -1.7101099200e-23
  45.5000000000   -6.5764244656e-23   -6.1321095360e-23
  45.7500000000   -9.8138163066e-23    7.3420918113e-24
  46.0000000000   -9.6049674460e-23   -6.4468314233e-23
  46.2500000000   -8.5345330762e-23   -2.5382531954e-23
  46.5000000000   -1.1172176109e-22   -3.6162885224e-23
  46.7500000000   -1.0454890072e-22   -3.1945087989e-23
  47.0000000000   -1.0007547987e-22   -3.2165618517e-23
  47.2500000000   -1.1015125865e-22   -2.9804185568e-23
  47.5000000000   -9.2305613915e-23   -5.9437389124e-23
  47.7500000000   -1.1349293848e-22   -1.9400041271e-23
  48.0000000000   -9.5203048898e-23   -4.0365022685e-23
  48.2500000000   -1.1430635087e-22   -5.8121754004e-23
  48.5000000000   -9.7221207157e-23   -2.2628847104e-23
  48.7500000000   -7.5905136279e-23   -4.1615503315e-23
  49.0000000000   -1.2090855155e-22   -4.2728569099e-23
  49.2500000000   -7.5341391998e-23   -2.0726897258e-23
  49.5000000000   -1.0976181249e-22    1.2996505195e-23
  49.7500000000   -8.0335461379e-23   -3.8323853016e-23
  50.0000000000   -6.7517763662e-23   -6.8841424668e-24
  50.2500000000   -9.2400686259e-23   -2.0343305045e-24
  50.5000000000   -8.2750213613e-23   -1.0991110768e-23
  50.7500000000   -7.6963454919e-23   -6.0579929317e-24
  51.0000000000   -1.0499860225e-22   -3.3521858100e-23
  51.2500000000   -9.9869622465e-23   -8.5533506157e-23
  51.5000000000   -7.7221512390e-23   -3.0999527772e-23
  51.7500000000   -1.0217468959e-22   -5.0763402723e-23
  52.0000000000   -8.4044245922e-23   -3.3054263801e-23
  52.2500000000   -9.6173211584e-23   -3.2257976124e-23
  52.5000000000   -9.8746724971e-23   -3.7600317188e-24
  52.7500000000   -1.0340248750e-22   -5.5553659580e-23
  53.0000000000   -7.8715312814e-23   -6.2303390948e-23
  53.2500000000   -8.3775920528e-23   -1.3558461783e-23
  53.5000000000   -6.4911804576e-23   -2.8353679144e-23
  53.7500000000   -6.8287207281e-23   -3.6162228248e-23
  54.0000000000   -6.2250013588e-23   -4.8011081924e-23
  54.2500000000   -9.6969270330e-23   -3.4524072578e-23
  54.5000000000   -6.9349650669e-23   -2.5032745490e-23
  54.7500000000   -5.1720818180e-23   -3.1122647364e-23
  55.0000000000   -7.6959919891e-23   -1.1954865182e-23
  55.2500000000   -9.5929087285e-23   -3.5604849005e-23
  55.5000000000   -9.0690377510e-23   -7.5307299480e-23
  55.7500000000   -6.5039636662e-23   -3.5394717672e-23
  56.0000000000   -8.8370510575e-23   -2.9839535893e-23
  56.2500000000   -4.5466620799e-23   -5.7321894511e-23
  56.5000000000   -1.0174444878e-22   -1.9424292645e-23
  56.7500000000   -8.3921785111e-23   -4.0398099708e-23
  57.0000000000   -1.2415145187e-22    2.4930713074e-23
  57.2500000000   -6.3583868340e-23   -2.0338080591e-23
  57.5000000000   -1.0685944365e-22   -2.5427276836e-24
  57.7500000000   -8.0618336702e-23   -7.3640785766e-23
  58.0000000000   -9.6568485084e-23    1.7521962184e-24
  58.2500000000   -9.6292284926e-23   -1.8734537265e-23
  58.5000000000   -9.7718911171e-23   -2.3166736150e-23
  58.7500000000   -9.2288365988e-23    4.5725018271e-23
  59.0000000000   -9.2903174468e-23   -3.5884805778e-23
  59.2500000000   -9.5234950566e-23   -5.1386285100e-24
  59.5000000000   -8.8122580330e-23    2.8153439151e-24
  59.7500000000   -8.2335895470e-23   -1.0600011477e-23
  60.0000000000   -8.6955560898e-23   -2.9797151232e-23
  60.2500000000   -8.7612240169e-23   -1.9377065318e-23
  60.5000000000   -8.3142434710e-23   -2.0289659560e-23
  60.7500000000   -8.8890431477e-23   -1.3711283882e-23
  61.0000000000   -6.3204291744e-23   -1.3479016428e-23
  61.2500000000   -8.7860740846e-23   -5.6989055447e-23
  61.5000000000   -8.1759188461e-23   -1.5736782256e-23
  61.7500000000   -8.9271692069e-23   -1.1139129152e-23
  62.0000000000   -8.0169299083e-23   -4.6703970658e-23
  62.2500000000   -6.5114179845e-23    4.8190339157e-24
  62.5000000000   -7.6723128807e-23   -2.7548965112e-23
  62.7500000000   -5.8810993103e-23   -2.8417628668e-23
  63.0000000000   -5.8048784590e-23   -6.2647629675e-24
  63.2500000000   -4.7629108928e-23   -4.8758704021e-23
  63.5000000000   -6.9483696442e-23    6.7544281374e-24
