#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.3009769823e-22   -3.1910586970e-22
   0.2500000000    1.1857910783e-22   -3.0534173924e-22
   0.5000000000    1.2933572492e-22   -3.0407626008e-22
   0.7500000000    1.4558415184e-22   -3.0169819687e-22
   1.0000000000    1.4767213822e-22   -2.8332976731e-22
   1.2500000000    1.4093115900e-22   -2.8942123028e-22
   1.5000000000    1.5284483791e-22   -2.9936825727e-22
   1.7500000000    1.4443999121e-22   -2.7970469210e-22
   2.0000000000    1.3515896432e-22   -3.0593837657e-22
   2.2500000000    1.5098269485e-22   -2.9948815668e-22
   2.5000000000    1.5276931219e-22   -2.9794303293e-22
   2.7500000000    1.4280240892e-22   -2.9139521584e-22
   3.0000000000    1.4647758671e-22   -2.9135771080e-22
   3.2500000000    1.5777800256e-22   -3.0221873908e-22
   3.5000000000    1.4484780392e-22   -2.8838717811e-22
   3.7500000000    1.5190541232e-22   -2.7877600035e-22
   4.0000000000    1.2704729602e-22   -2.9954142291e-22
   4.2500000000    1.4585942505e-22   -2.8963863887e-22
   4.5000000000    1.5295696583e-22   -2.7278416951e-22
   4.7500000000    1.6627216517e-22   -2.7951537756e-22
   5.0000000000    1.5130860663e-22   -2.7789281421e-22
   5.2500000000    1.4020771932e-22   -2.9463752846e-22
   5.5000000000    1.3799633625e-22   -2.9549934463e-22
   5.7500000000    1.3409671086e-22   -2.8948944682e-22
   6.0000000000    1.4248653041e-22   -2.8138284193e-22
   6.2500000000    1.3520444242e-22   -2.9770437063e-22
   6.5000000000    1.4006040401e-22   -2.8188861520e-22
   6.7500000000    1.4046512238e-22   -2.8319874043e-22
   7.0000000000    1.4745350358e-22   -2.8133277869e-22
   7.2500000000    1.2963296650e-22   -2.9118545098e-22
   7.5000000000    1.3319865016e-22   -2.8501102206e-22
   7.7500000000    1.4619326887e-22   -2.7804728383e-22
   8.0000000000    1.3635260903e-22   -2.7502427283e-22
   8.2500000000    1.3487713032e-22   -3.1353673216e-22
   8.5000000000    1.3382104176e-22   -2.7293144250e-22
   8.7500000000    1.1116160200e-22   -2.7655675121e-22
   9.0000000000    1.3621520985e-22   -2.8798411356e-22
   9.2500000000    1.1922207621e-22   -2.5764770632e-22
   9.5000000000    1.2272984671e-22   -2.7051842309e-22
   9.7500000000    1.2503221837e-22   -2.8110445507e-22
  10.0000000000    1.2226423612e-22   -2.5384343326e-22
  10.2500000000    1.1433665215e-22   -2.8021978271e-22
  10.5000000000    1.3207375979e-22   -2.7319814692e-22
  10.7500000000    1.2646616428e-22   -2.4095649703e-22
  11.0000000000    1.1966318099e-22   -2.6290690914e-22
  11.2500000000    1.2925222279e-22   -2.5834520898e-22
  11.5000000000    1.1666235079e-22   -2.7028409283e-22
  11.7500000000    1.2854769428e-22   -2.6920340884e-22
  12.0000000000    1.2792404836e-22   -2.4722986533e-22
  12.2500000000    1.3530830480e-22   -2.7608859508e-22
  12.5000000000    1.1932774754e-22   -2.6969221035e-22
  12.7500000000    1.1658981378e-22   -2.7057371526e-22
  13.0000000000    1.2824498853e-22   -2.4901580335e-22
  13.2500000000    1.1940356939e-22   -2.6262722113e-22
  13.5000000000    1.3260243882e-22   -2.5393035139e-22
  13.7500000000    1.3020608920e-22   -2.3707298567e-22
