#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -1.2265508477e-29   -9.0589034456e-30
   0.2500000000   -1.6865799361e-29   -9.7694555827e-30
   0.5000000000   -1.4209659318e-29   -1.6473937178e-30
   0.7500000000   -1.4174956865e-29    4.5548288190e-30
   1.0000000000   -1.8669391873e-30    7.4604986616e-30
   1.2500000000    1.2753757976e-29    8.9090768819e-30
   1.5000000000    2.2585256192e-29    2.5559418169e-31
   1.7500000000    1.8058037265e-29    4.1825181121e-30
   2.0000000000    9.2864870495e-30   -3.8831875358e-30
   2.2500000000   -2.5748031238e-30   -7.8770337639e-30
   2.5000000000   -1.0464323558e-29   -6.8939192428e-30
   2.7500000000   -1.8213974507e-29   -4.5859463052e-30
   3.0000000000   -1.9789472488e-29    2.0157884091e-30
   3.2500000000   -7.2536097054e-30   -7.7034394477e-30
   3.5000000000    1.5617437933e-30    2.6217745408e-30
   3.7500000000    7.2389497722e-30   -3.4016150972e-30
   4.0000000000    1.4685607090e-29   -2.3441700050e-30
   4.2500000000    3.8178267189e-30    1.0206993195e-30
   4.5000000000   -5.5366736922e-31   -1.5664251911e-30
   4.7500000000   -3.9538456311e-30    2.0313322957e-31
   5.0000000000   -1.4351441032e-29   -1.2390369602e-29
   5.2500000000   -1.2079345135e-29   -4.9924591488e-30
   5.5000000000   -3.7411671095e-30   -4.1792234855e-30
   5.7500000000   -2.7331645354e-30   -2.2632298746e-33
   6.0000000000   -2.1173527474e-30    1.4732647769e-30
   6.2500000000   -1.0961629296e-30    3.5919904221e-30
   6.5000000000    4.5626900887e-30   -2.4689544934e-30
   6.7500000000    6.1582136150e-30    8.1548789696e-30
   7.0000000000    2.2735794481e-30    2.9005731581e-30
   7.2500000000   -4.9932634720e-30    5.4630851284e-31
   7.5000000000   -4.0202791250e-30   -1.8285522559e-30
   7.7500000000   -2.2695814964e-30    4.1092276581e-30
   8.0000000000   -2.9326754171e-30    2.6680356534e-30
   8.2500000000    6.8191033347e-30    1.3093877866e-31
   8.5000000000    2.6196629415e-29   -2.2965230497e-29
   8.7500000000    4.0786206382e-29    2.9841024251e-29
   9.0000000000    5.2752537461e-29    2.1811147839e-29
   9.2500000000    2.0104927479e-29    9.1230719388e-30
   9.5000000000   -2.5046799388e-29    4.3085749231e-31
   9.7500000000   -2.1372872996e-28   -1.4639188257e-29
