#          time             L^2_Ham             L^2_Mom
   0.0000000000    1.4760325597e-04    0.0000000000e+00
   0.5000000000    4.8392861832e-05    4.9372395622e-05
   1.0000000000    2.9908348858e-05    3.3021028308e-05
   1.5000000000    2.2634468087e-05    1.5912669927e-05
   2.0000000000    1.6476752461e-05    1.3727105760e-05
   2.5000000000    1.4958304193e-05    8.1854525840e-06
   3.0000000000    1.3748779707e-05    6.7621325930e-06
   3.5000000000    1.2886389523e-05    6.0247824132e-06
   4.0000000000    1.2177063902e-05    4.7207119585e-06
   4.5000000000    1.1523614760e-05    4.8739651081e-06
   5.0000000000    1.0835185745e-05    5.6671463978e-06
   5.5000000000    1.0049141008e-05    6.7048492518e-06
   6.0000000000    9.1767731845e-06    8.2744372951e-06
   6.5000000000    8.2901780135e-06    1.0409212748e-05
   7.0000000000    7.5255661261e-06    1.3270776256e-05
   7.5000000000    6.9359944344e-06    1.7204800285e-05
   8.0000000000    6.4900483188e-06    2.2727294216e-05
   8.5000000000    6.2178410147e-06    3.0622944939e-05
   9.0000000000    6.3476614133e-06    4.2114923828e-05
   9.5000000000    7.3495029853e-06    5.9168393173e-05
  10.0000000000    9.6918523209e-06    8.5214480715e-05
  10.5000000000    1.3743667189e-05    1.2661975159e-04
  11.0000000000    1.9885065881e-05    1.9566199961e-04
  11.5000000000    2.8539347261e-05    3.1624939439e-04
  12.0000000000    4.9145612672e-05    5.3331670089e-04
  12.5000000000    1.4812816308e-04    9.2496631739e-04
  13.0000000000    4.7027525954e-04    1.6354724919e-03
  13.5000000000    1.1784328854e-03    2.9875421968e-03
  14.0000000000    2.1790105772e-03    5.2827313857e-03
  14.5000000000    2.8868186664e-03    7.7693956034e-03
  15.0000000000    3.0241690156e-03    9.5867510042e-03
  15.5000000000    2.8716697815e-03    1.0873881966e-02
  16.0000000000    2.6067050703e-03    1.1604432137e-02
  16.5000000000    2.3417354261e-03    1.1858213967e-02
  17.0000000000    2.1258481859e-03    1.1825100303e-02
  17.5000000000    1.9572703004e-03    1.1663790145e-02
  18.0000000000    1.8211238789e-03    1.1467601788e-02
  18.5000000000    1.7073247351e-03    1.1280213714e-02
  19.0000000000    1.6113731756e-03    1.1114059388e-02
  19.5000000000    1.5304658596e-03    1.0964086628e-02
  20.0000000000    1.4614014216e-03    1.0819395106e-02
  20.5000000000    1.4006695234e-03    1.0671320452e-02
  21.0000000000    1.3452614228e-03    1.0516744704e-02
  21.5000000000    1.2932017277e-03    1.0357230353e-02
  22.0000000000    1.2435913077e-03    1.0196567412e-02
  22.5000000000    1.1963146424e-03    1.0038641061e-02
  23.0000000000    1.1516098477e-03    9.8862984815e-03
  23.5000000000    1.1096987248e-03    9.7411219707e-03
  24.0000000000    1.0705643229e-03    9.6034910948e-03
  24.5000000000    1.0339474804e-03    9.4729858397e-03
  25.0000000000    9.9944714226e-04    9.3487420751e-03
  25.5000000000    9.6666898302e-04    9.2298068473e-03
  26.0000000000    9.3534325610e-04    9.1154322093e-03
  26.5000000000    9.0536812722e-04    9.0052431648e-03
  27.0000000000    8.7677432041e-04    8.8991882523e-03
  27.5000000000    8.4965249615e-04    8.7974366604e-03
  28.0000000000    8.2407433516e-04    8.7002328462e-03
  28.5000000000    8.0004242237e-04    8.6077910050e-03
  29.0000000000    7.7748063137e-04    8.5202652353e-03
  29.5000000000    7.5627450459e-04    8.4377641830e-03
  30.0000000000    7.3632034683e-04    8.3603603747e-03
  30.5000000000    7.1756626363e-04    8.2881290263e-03
  31.0000000000    7.0000925987e-04    8.2210662811e-03
  31.5000000000    6.8368232098e-04    8.1591316828e-03
  32.0000000000    6.6860620652e-04    8.1022072653e-03
