#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    7.7816265129e-30    4.4570245307e-30
   0.2500000000    1.0139645587e-29    4.9172379424e-30
   0.5000000000    6.1430353634e-30    2.4087353926e-30
   0.7500000000    8.3555813683e-30   -2.3600174370e-30
   1.0000000000    4.6366734983e-30    4.0075644127e-30
   1.2500000000   -4.1120793704e-31    2.2483201876e-30
   1.5000000000   -3.1658438977e-30    2.3524515620e-30
   1.7500000000   -1.7419022667e-31   -2.4206383878e-31
   2.0000000000   -5.8528833008e-31    9.8978004916e-32
   2.2500000000   -2.9478057167e-30   -1.5433195690e-30
   2.5000000000   -9.5489804371e-31   -1.5341480317e-30
   2.7500000000    2.2268203676e-31   -1.4455445653e-30
   3.0000000000    3.9847237435e-30    5.6468146569e-31
   3.2500000000    2.3544591040e-30    4.3793489902e-30
   3.5000000000   -1.1540780898e-30    8.5605089794e-31
   3.7500000000   -2.2064812122e-30   -1.9846587101e-30
   4.0000000000   -7.4322068112e-31   -1.6052878940e-30
   4.2500000000   -2.6357717908e-30   -1.4440019419e-30
   4.5000000000   -3.0047127800e-30   -2.9108327232e-30
   4.7500000000    4.2927566722e-31    1.9134148731e-30
   5.0000000000   -6.6568036782e-32   -3.9020116870e-31
   5.2500000000    4.2336581281e-31   -6.2146906252e-31
   5.5000000000   -8.1971844642e-31    1.1386387100e-30
   5.7500000000   -1.0702201859e-30   -4.2760176710e-30
   6.0000000000    4.3251916798e-31   -3.8202097338e-32
   6.2500000000    2.6241259166e-30   -7.3129349051e-32
   6.5000000000    1.5930263444e-31    3.9503008709e-30
   6.7500000000    1.1878656082e-31   -2.6562751885e-31
   7.0000000000    1.0597633027e-31    3.3069342887e-31
   7.2500000000   -1.7481031330e-30    2.8008787460e-30
   7.5000000000   -1.0101344466e-30    4.5886910328e-31
   7.7500000000   -5.6107339386e-31   -1.4757143224e-30
   8.0000000000   -2.3187682408e-30    1.4789430014e-30
   8.2500000000    2.1743098275e-30   -1.5139811707e-30
   8.5000000000    1.7371940819e-29   -5.7326241516e-30
   8.7500000000    2.8134966237e-29    9.7318196834e-30
   9.0000000000    3.1022776705e-29    1.7946685718e-29
   9.2500000000    1.0945875622e-29   -6.0188283522e-30
   9.5000000000   -3.5867049733e-29   -2.4943068284e-29
   9.7500000000   -5.0791580268e-29   -5.9002880292e-29
  10.0000000000   -9.0035799325e-29   -6.1399184550e-29
