#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    7.4831346923e-30   -4.5909402114e-30
   0.2500000000    9.1749952318e-30    5.8737808934e-30
   0.5000000000    8.3099948835e-30    2.5641203523e-30
   0.7500000000    4.4641322618e-30   -1.9028975698e-30
   1.0000000000    8.1189820475e-30   -3.3142405536e-30
   1.2500000000    6.1158242396e-30    7.3323229700e-30
   1.5000000000    7.3495363369e-30   -2.2480722750e-30
   1.7500000000    7.5273855507e-30    2.5125740344e-30
   2.0000000000    6.9371992490e-30    8.6320826030e-31
   2.2500000000    8.9465636656e-30   -1.0665801431e-31
   2.5000000000    5.9497131192e-30    6.0780043865e-30
   2.7500000000    1.8245364067e-30   -1.8344414388e-30
   3.0000000000    2.7144305927e-30    2.3917324589e-31
   3.2500000000    2.6029434225e-30   -3.0549789793e-30
   3.5000000000    9.0414093517e-30   -4.9557463021e-30
   3.7500000000    4.8436440816e-30    2.0532098543e-30
   4.0000000000    8.8756103622e-30    3.5972673995e-30
   4.2500000000    8.6821372835e-30    2.5039734486e-30
   4.5000000000    1.1431176587e-29   -3.0872654615e-31
   4.7500000000    1.4870269878e-29    7.9645549723e-30
   5.0000000000    6.9419487170e-30   -1.5301411379e-30
   5.2500000000    9.1192985648e-30    3.0964356874e-30
   5.5000000000    5.4913654040e-30    4.8104836873e-30
   5.7500000000    1.2330352146e-29    1.1411069856e-30
   6.0000000000    5.9114231544e-30    2.4902482105e-30
   6.2500000000    7.6351377564e-30   -1.3122850849e-31
   6.5000000000    3.7664744647e-30    5.4558284671e-30
   6.7500000000    7.9492599672e-30    5.9075580250e-30
   7.0000000000    5.6043309358e-30    5.1314594786e-30
   7.2500000000    5.8001277291e-30    2.3590003422e-30
   7.5000000000    4.5491163847e-30   -2.1567715855e-30
   7.7500000000    2.2766781691e-30    3.5626626259e-30
   8.0000000000    7.1559411848e-30   -4.9073367672e-31
   8.2500000000    1.2845030222e-29    2.8110819357e-31
   8.5000000000    2.2516462146e-29    7.6387143767e-30
   8.7500000000    2.3841548382e-29    9.9948995650e-30
   9.0000000000    3.8979730002e-29   -1.1232586379e-29
   9.2500000000    2.0331922252e-29    6.2456998814e-30
   9.5000000000   -1.6236079198e-29   -1.5931593377e-29
   9.7500000000   -8.8997531875e-29    1.7337303735e-29
  10.0000000000   -1.2100491591e-28   -3.3734256428e-29
  10.2500000000   -1.3701029773e-28    2.9426924587e-29
  10.5000000000   -1.2980608868e-28   -6.8185621206e-29
  10.7500000000    3.4253907091e-29    6.7730040249e-29
  11.0000000000   -3.8975575862e-29    7.6532628931e-29
  11.2500000000    3.3869890399e-28   -1.0152563089e-28
  11.5000000000    4.9319873949e-28    3.4225332701e-28
  11.7500000000    1.2245220614e-27   -2.4088152891e-28
