#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -6.9359547933e-30   -3.6741927276e-30
   0.2500000000   -5.5659665593e-30   -7.9313286111e-30
   0.5000000000   -1.2661219483e-30   -5.8123246026e-30
   0.7500000000   -5.5634537288e-30    1.5759482345e-30
   1.0000000000    1.6710535038e-30   -1.1066806404e-29
   1.2500000000   -2.1060302832e-31   -1.0949950878e-29
   1.5000000000   -4.2539117405e-30   -3.8850233248e-30
   1.7500000000   -3.1137019271e-30    4.9150419863e-30
   2.0000000000   -7.4645663611e-30   -3.6546519798e-30
   2.2500000000   -6.0549608552e-30   -4.5031309353e-30
   2.5000000000   -3.2829655425e-30   -5.8690437576e-30
   2.7500000000    3.5906819551e-30    1.2710363339e-30
   3.0000000000   -2.2898948436e-31    3.3075564783e-31
   3.2500000000   -1.4267429599e-30   -4.0120472146e-31
   3.5000000000   -3.5322205903e-30   -1.0409273112e-29
   3.7500000000   -6.7245016475e-31    6.3533838534e-30
   4.0000000000   -1.3225151169e-29   -2.0887853631e-30
   4.2500000000   -5.3286836084e-30   -5.2794554350e-30
   4.5000000000   -3.5415242220e-30    4.9770179619e-30
   4.7500000000   -2.7667028396e-30   -2.6214161244e-31
   5.0000000000   -4.2792254288e-30    1.0261547871e-30
   5.2500000000   -2.2566814717e-30    7.7272822053e-31
   5.5000000000   -1.1473622621e-29   -2.6333475167e-32
   5.7500000000   -1.0793233873e-29   -3.5892473011e-30
   6.0000000000   -3.9076444108e-30   -1.3075620446e-30
   6.2500000000   -3.9502793929e-30    7.7534827065e-31
   6.5000000000   -6.0947362548e-30    4.2273627480e-30
   6.7500000000   -2.3119203326e-30    1.4399397116e-30
   7.0000000000   -1.7291693534e-30    7.9484335690e-30
   7.2500000000   -2.0646312446e-30    6.0757519178e-32
   7.5000000000   -5.0476904326e-30    6.3415618751e-31
   7.7500000000   -3.6002206881e-30   -3.8323806203e-30
   8.0000000000   -9.9295922415e-30   -4.1686575478e-30
   8.2500000000    6.1292124367e-30    1.7979899282e-30
   8.5000000000    7.7040189687e-30    8.3395537276e-30
   8.7500000000    7.3895453343e-30   -9.2972240589e-30
   9.0000000000    3.3299886178e-30   -2.7350941614e-31
   9.2500000000    5.8027051713e-30   -7.4981960411e-30
   9.5000000000    1.0637123424e-29   -1.8228312536e-29
   9.7500000000   -2.8356858701e-29    4.6048051001e-29
  10.0000000000   -1.4460329131e-28    2.4457458163e-30
  10.2500000000   -5.2666055498e-29   -1.7485497740e-30
  10.5000000000   -1.3167083275e-28    8.2210047198e-29
  10.7500000000    1.8488381633e-29   -7.9800253834e-29
  11.0000000000    1.7217864639e-28    7.7663010855e-30
  11.2500000000    3.1197945102e-28   -2.3397630648e-28
  11.5000000000    4.9811405070e-28   -3.1466405429e-28
  11.7500000000    5.3258369375e-28    2.2436736439e-28
  12.0000000000    1.3214571564e-27   -2.5835449490e-29
  12.2500000000    5.3728963878e-28   -1.9775362508e-28
  12.5000000000    6.1682304435e-28   -6.1646859179e-28
  12.7500000000   -1.0501258202e-27   -2.6595870331e-28
  13.0000000000   -1.4114182427e-27    1.6330458823e-28
  13.2500000000   -1.2399330956e-27   -1.8821060314e-27
  13.5000000000   -2.4483612755e-27    2.1317774100e-28
  13.7500000000   -2.0892977580e-27   -1.3707034411e-27
  14.0000000000   -2.3500860040e-27   -2.0303328540e-28
  14.2500000000   -1.4747749594e-27    2.3487956261e-27
  14.5000000000   -7.5459939054e-28    5.2248911306e-28
  14.7500000000    1.5881740796e-27    1.4579095395e-27
  15.0000000000    2.6251228882e-27    1.1312207944e-27
  15.2500000000    2.6533771376e-27    1.0797297937e-27
  15.5000000000    8.5011366343e-28    1.6973931969e-27
  15.7500000000    1.1189224526e-27    1.2073085631e-27
  16.0000000000    1.0227960825e-27    5.2359430408e-28
  16.2500000000   -8.3821719426e-28    1.3567840042e-27
  16.5000000000   -1.8114412811e-27   -4.3826126675e-27
  16.7500000000   -2.4890272541e-27   -3.3116688840e-27
  17.0000000000   -2.8063601147e-27    1.8835953412e-27
  17.2500000000   -2.7324287047e-27   -1.6129076291e-27
  17.5000000000   -1.0487039689e-27    1.5561221513e-27
  17.7500000000    4.8730342124e-27   -4.7773213165e-28
  18.0000000000    3.2207457501e-27    8.7107548204e-28
  18.2500000000    9.5454852834e-27    1.5687320298e-27
  18.5000000000    8.5024494892e-27    8.9300080560e-27
  18.7500000000    5.1876295853e-27    3.7521866591e-27
  19.0000000000    3.7074231650e-27   -1.5274193879e-27
  19.2500000000   -5.8097269303e-27   -3.3377547313e-28
  19.5000000000   -1.2451888533e-26    1.9849749084e-26
  19.7500000000   -1.1743148998e-26   -2.9001524462e-27
  20.0000000000   -5.4361667837e-26   -4.1408627460e-27
  20.2500000000   -6.0723289429e-27    4.1266136269e-26
  20.5000000000   -6.4979845464e-26   -1.0749901500e-25
  20.7500000000   -1.6122638763e-25   -1.3986933557e-25
  21.0000000000   -2.2205217986e-25   -1.8420272929e-26
  21.2500000000   -2.1521891369e-25    4.9250328118e-26
  21.5000000000   -2.4729650984e-25    5.1058645152e-26
  21.7500000000   -1.4627504360e-25   -1.4715459447e-25
  22.0000000000   -2.4915603654e-25    4.3444658333e-26
  22.2500000000   -1.6445890930e-25   -5.3345036835e-26
  22.5000000000   -1.0875637602e-25   -5.2185704933e-27
  22.7500000000   -7.9971725279e-26   -4.6579956995e-26
  23.0000000000   -7.7840972168e-26   -3.7039028015e-26
  23.2500000000   -6.4456730184e-26   -3.4068859740e-26
  23.5000000000   -1.5588194843e-26   -1.6884638701e-25
  23.7500000000    2.3117251416e-26   -2.8050955784e-26
  24.0000000000    1.4513305327e-26    4.3431757850e-28
  24.2500000000   -1.1737436722e-27   -1.1396707841e-25
  24.5000000000    2.0178836788e-26    5.5404690206e-26
  24.7500000000   -7.9028209337e-26    5.8903870964e-26
  25.0000000000   -1.4456601393e-25    1.4217885732e-26
  25.2500000000   -8.0018900435e-26    2.3751096281e-26
  25.5000000000   -1.3341819587e-25   -5.3966263461e-26
  25.7500000000   -4.5814249115e-26   -1.3569370323e-26
  26.0000000000   -2.3088107123e-25   -8.8435976100e-26
  26.2500000000   -6.6363048318e-26   -8.0438274510e-27
  26.5000000000   -1.2695863253e-25    2.9313645039e-27
  26.7500000000   -8.1846132859e-26   -3.0926936594e-26
  27.0000000000   -8.9430087742e-26   -3.4290599489e-26
  27.2500000000   -3.7382381149e-26    1.7381897731e-26
  27.5000000000   -3.8879301521e-26    8.0055818310e-26
  27.7500000000   -5.0919858193e-26    1.5019292578e-25
  28.0000000000   -6.8942907632e-26   -3.9724774130e-26
  28.2500000000   -5.5936932438e-26    4.4108756550e-26
  28.5000000000   -3.9634768553e-26    6.3379774034e-27
  28.7500000000   -6.8230985558e-26    9.5371245920e-26
  29.0000000000   -6.9827466402e-26    1.9379498552e-26
  29.2500000000   -7.9594487343e-26   -4.0795714962e-26
  29.5000000000   -6.6627088568e-26   -9.6800339030e-26
  29.7500000000   -6.5688942071e-26   -1.4609521584e-26
  30.0000000000   -8.0983930567e-26    1.5677644938e-26
  30.2500000000   -3.0511741959e-26   -8.9300533956e-26
  30.5000000000   -3.1362832780e-26   -7.9715047963e-26
  30.7500000000   -1.3596915430e-25   -1.9598530962e-26
  31.0000000000   -7.3355758651e-26    7.5770316286e-27
  31.2500000000   -1.9162110092e-25   -1.2495974385e-25
  31.5000000000   -8.3302865624e-26   -8.8605272120e-26
  31.7500000000   -1.4285702445e-25   -9.6063258983e-26
  32.0000000000   -1.0941797683e-25   -6.0205225280e-26
  32.2500000000   -8.9055951809e-26    1.2479595523e-26
  32.5000000000   -7.7824235970e-26    4.2690407649e-26
  32.7500000000   -1.0138901474e-25   -4.5085160925e-26
  33.0000000000   -5.8532188568e-27    7.1941092844e-26
  33.2500000000   -4.5470523812e-26    6.9189407796e-27
  33.5000000000   -6.3743616289e-26    4.9628696435e-26
  33.7500000000    1.1215240930e-26    5.7896797093e-26
  34.0000000000   -4.6735329508e-26   -9.1769418723e-26
  34.2500000000   -1.0421485377e-25    1.0890894296e-25
  34.5000000000   -1.1095639641e-25    8.3274927156e-26
  34.7500000000   -5.9288471432e-26   -2.4065072580e-26
  35.0000000000   -8.4784226157e-26   -1.9098237167e-26
  35.2500000000   -5.2820718314e-26   -3.0744285174e-26
  35.5000000000   -6.2313615264e-26    8.1326748797e-27
  35.7500000000   -1.2629442755e-25   -1.4347952314e-26
  36.0000000000   -2.6886607669e-26    2.7002635131e-26
  36.2500000000   -1.8921632621e-26    1.8124215678e-26
  36.5000000000    2.2252559882e-26   -4.4131774593e-26
  36.7500000000   -8.6190176958e-26   -9.5180501664e-26
  37.0000000000   -6.1284070041e-26   -1.7208093813e-25
  37.2500000000   -7.4380256740e-26   -8.9437604960e-26
  37.5000000000   -7.5154286636e-29   -1.7721064716e-26
  37.7500000000   -9.3305719112e-26   -7.8818131470e-26
  38.0000000000   -9.4668867083e-26   -2.5673065353e-27
  38.2500000000   -3.1519556014e-26   -1.7861667960e-26
  38.5000000000   -1.1490434629e-25   -9.3374528159e-26
  38.7500000000   -1.1902092491e-25   -1.4752606006e-26
  39.0000000000   -8.1842191016e-26    3.4170030075e-26
  39.2500000000   -1.2876916637e-25    1.1515068146e-26
  39.5000000000   -7.5233939314e-26    9.8370012730e-26
  39.7500000000   -5.6580390650e-26    6.6934588990e-26
  40.0000000000   -1.6048783881e-26   -3.4061864607e-26
  40.2500000000   -5.7114988926e-26    8.7233960435e-26
  40.5000000000   -1.0728619687e-25   -9.1861965377e-27
  40.7500000000   -1.7585304569e-26   -1.2656223448e-26
  41.0000000000   -1.0249343228e-25   -3.5283605746e-26
  41.2500000000   -5.6410189831e-26    7.6405160758e-27
  41.5000000000   -1.3512541139e-25   -1.9526733864e-26
  41.7500000000   -6.5473642322e-26   -3.8396701543e-26
  42.0000000000   -1.2403149974e-25   -1.9198941392e-27
  42.2500000000   -1.3366346923e-25   -8.5889459324e-27
  42.5000000000   -1.2108037243e-25   -1.2778815763e-25
  42.7500000000   -1.1398368051e-26   -7.1391908126e-26
  43.0000000000   -7.8864543644e-26   -3.5658158400e-26
  43.2500000000   -6.3440113290e-26   -7.9539789708e-27
  43.5000000000   -5.1995713293e-26    4.1015288060e-26
  43.7500000000   -5.5757103399e-26    6.1687250238e-27
  44.0000000000   -3.2601476439e-26    4.8681832835e-26
  44.2500000000   -3.6896742107e-26   -9.3437241031e-27
  44.5000000000    2.6854650021e-26    4.6687930899e-26
  44.7500000000   -3.3231173506e-26    3.0588396740e-26
  45.0000000000   -2.9800714002e-27    2.5472268833e-26
  45.2500000000    2.7118475162e-27   -5.7341906934e-26
  45.5000000000   -2.0746549197e-26   -1.2691065291e-27
  45.7500000000   -5.9920607258e-26    7.5896523193e-27
  46.0000000000   -5.5287831826e-26    1.1146134483e-27
  46.2500000000   -9.6493929476e-26   -6.0314978761e-26
  46.5000000000   -1.0304393024e-25    5.2502592896e-26
  46.7500000000   -9.0663616610e-26    8.4074931073e-27
  47.0000000000   -6.8628887368e-26   -3.3413720444e-26
  47.2500000000   -1.2183968925e-25   -4.2485947621e-26
  47.5000000000   -5.6089610016e-26   -1.8813059305e-26
  47.7500000000   -8.2908992848e-26   -4.2023156516e-26
  48.0000000000   -5.2360526391e-26   -1.2417759586e-26
  48.2500000000   -3.0069622032e-26   -1.1974158917e-26
  48.5000000000   -1.3075498461e-26    1.9680601352e-27
  48.7500000000   -2.5457714719e-26   -1.0534208988e-26
  49.0000000000   -1.0608610026e-28   -2.2701171645e-26
  49.2500000000   -2.5109579378e-28    2.3711096966e-26
  49.5000000000    6.6409888215e-28   -2.5664247298e-26
  49.7500000000   -7.9647556317e-28   -4.9707799424e-26
  50.0000000000    1.1679529322e-26    7.3141551861e-27
  50.2500000000   -4.2805015342e-26   -6.8908812375e-27
  50.5000000000   -6.0048706798e-26   -1.2417784155e-26
  50.7500000000   -8.8901792033e-26    5.6451967751e-27
  51.0000000000   -8.2687936416e-26    1.2314779031e-26
  51.2500000000   -1.6509271116e-25   -1.0425874385e-26
  51.5000000000   -2.7689775848e-26   -1.0702793771e-26
  51.7500000000   -8.0783722700e-26    1.2466248033e-26
  52.0000000000   -9.0347435572e-26   -6.5631807443e-26
  52.2500000000   -1.2220517263e-25   -4.6477816930e-26
  52.5000000000   -4.8524340035e-26   -2.7462526991e-26
  52.7500000000   -7.3838317299e-26   -2.8490490688e-26
  53.0000000000   -5.2434642393e-26   -2.2346621274e-26
  53.2500000000   -2.5019538246e-26   -4.6183150008e-27
  53.5000000000    1.4483090981e-26    1.1857599635e-26
  53.7500000000   -1.6575133193e-26    1.2875594134e-26
  54.0000000000    2.2427425010e-26    2.4778656761e-26
  54.2500000000   -3.8063210548e-26    7.3138215717e-28
  54.5000000000    4.7645340317e-27    3.8426439773e-26
  54.7500000000   -1.6635390653e-26   -3.1871501331e-26
  55.0000000000   -2.8346440804e-26   -3.5817270684e-26
  55.2500000000   -3.5944596774e-26    5.7022675649e-27
  55.5000000000   -4.9021322875e-26   -2.0522010793e-26
  55.7500000000   -6.1183559789e-26    3.5194435800e-27
  56.0000000000   -4.6239314301e-26   -5.5267213493e-27
  56.2500000000   -9.8833295002e-26    5.6454552685e-26
  56.5000000000   -7.0681624270e-26   -2.7969486276e-26
  56.7500000000   -1.3260331362e-25    1.2761817167e-26
  57.0000000000   -8.8677862903e-26   -3.0708267135e-26
  57.2500000000   -1.0215983586e-25   -1.9784387419e-26
  57.5000000000   -7.2713421048e-26   -2.2811638867e-26
  57.7500000000   -6.9567127398e-26   -1.2031950038e-26
  58.0000000000   -4.9106886416e-26    1.0084789606e-26
