#          time             L^2_Ham             L^2_Mom
   0.0000000000    1.6841879373e-06    0.0000000000e+00
   0.5000000000    3.4734063539e-07    1.6635438059e-07
   1.0000000000    2.5716217111e-07    1.2120452707e-07
   1.5000000000    2.0884230151e-07    1.0348612317e-07
   2.0000000000    1.9336287811e-07    9.5149287960e-08
   2.5000000000    1.6874251454e-07    8.9041396206e-08
   3.0000000000    1.5782465260e-07    8.4062135131e-08
   3.5000000000    1.4750536533e-07    7.7957571149e-08
   4.0000000000    1.3405551550e-07    7.5053111512e-08
   4.5000000000    1.2443506493e-07    7.1203569966e-08
   5.0000000000    1.1752128191e-07    6.8351260370e-08
   5.5000000000    1.1057040545e-07    6.6817559943e-08
   6.0000000000    1.0528304871e-07    6.5311741498e-08
   6.5000000000    9.9941104047e-08    6.3659518545e-08
   7.0000000000    9.4870203121e-08    6.2398901202e-08
   7.5000000000    9.0283736400e-08    6.1797663346e-08
   8.0000000000    8.5724062227e-08    6.0481414452e-08
   8.5000000000    8.1920063525e-08    5.9801481725e-08
   9.0000000000    7.8264800790e-08    5.9149713067e-08
   9.5000000000    7.4944641492e-08    5.8830907218e-08
  10.0000000000    7.1786040523e-08    5.8645387091e-08
  10.5000000000    6.9545884988e-08    5.8284377963e-08
  11.0000000000    6.6893538686e-08    5.8245752485e-08
  11.5000000000    6.7160909303e-08    5.9540537127e-08
  12.0000000000    6.4585741324e-08    5.9009046596e-08
  12.5000000000    6.3062950029e-08    6.0232086088e-08
  13.0000000000    7.1812168816e-08    6.3926273351e-08
  13.5000000000    6.1434072163e-08    6.1109736682e-08
  14.0000000000    6.0663351639e-08    6.2341106941e-08
  14.5000000000    6.2576625099e-08    6.4635861833e-08
  15.0000000000    7.3538971057e-08    7.0792800157e-08
  15.5000000000    7.5010241475e-08    7.5881151165e-08
  16.0000000000    7.8935828733e-08    8.1236510896e-08
  16.5000000000    1.1264072989e-07    1.0080582711e-07
  17.0000000000    1.2700287271e-07    1.2345287052e-07
  17.5000000000    1.2189953125e-07    1.2637842943e-07
  18.0000000000    1.1136062398e-07    1.2272174534e-07
  18.5000000000    1.0701570225e-07    1.1914301962e-07
  19.0000000000    1.0957848742e-07    1.1918863994e-07
  19.5000000000    9.0855929932e-08    1.2275918514e-07
  20.0000000000    5.7314036968e-08    8.2283680515e-08
  20.5000000000    5.0236231182e-08    6.8147549043e-08
  21.0000000000    4.9654563649e-08    6.4346432811e-08
  21.5000000000    5.4039530855e-08    6.6654282872e-08
  22.0000000000    6.7753435845e-08    7.7634900070e-08
  22.5000000000    7.6311787303e-08    8.2525468052e-08
  23.0000000000    7.4999844405e-08    8.4608131723e-08
  23.5000000000    7.3426885478e-08    8.4569651926e-08
  24.0000000000    7.3950196669e-08    8.6321135804e-08
  24.5000000000    7.8909547381e-08    9.1176385701e-08
  25.0000000000    7.3390093362e-08    9.2751252447e-08
  25.5000000000    5.9949866929e-08    6.8475880451e-08
  26.0000000000    4.2066613977e-08    5.7017151499e-08
