#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000   -2.1563120838e-29    1.8323652896e-29
   0.2500000000   -1.8732277789e-29    4.0052364383e-30
   0.5000000000   -2.0227636679e-30    2.6525896621e-30
   0.7500000000    1.3506465560e-29   -2.2939009670e-30
   1.0000000000    2.9944050567e-29   -1.1598200357e-29
   1.2500000000    3.6103981451e-29   -6.4649915206e-30
   1.5000000000    4.5203247966e-29    5.1982816343e-31
   1.7500000000    3.7017502629e-29   -5.5716621987e-30
   2.0000000000    2.2317751820e-29   -1.0618423793e-29
   2.2500000000    3.7689503415e-30    2.9373657999e-30
   2.5000000000   -1.5891459888e-30    8.2703747030e-30
   2.7500000000   -1.2905206432e-29    3.5618522618e-30
   3.0000000000   -1.9994791223e-29    6.1290106698e-30
   3.2500000000   -2.3175547106e-29    3.4003310334e-30
   3.5000000000   -2.2569908877e-29    3.7813363110e-30
   3.7500000000   -1.5806761542e-29    9.9587502520e-31
   4.0000000000   -1.4869986292e-29    5.5585844265e-30
   4.2500000000   -3.7014395521e-30   -2.6966790307e-30
   4.5000000000   -5.6773236205e-30    1.8503512720e-30
   4.7500000000    4.8531617660e-30   -6.4318058097e-30
   5.0000000000    1.4707949401e-30    8.0745873462e-30
   5.2500000000   -1.7059724967e-30    3.7816471795e-30
   5.5000000000   -2.8052101881e-30    4.4142051679e-30
   5.7500000000    3.6853826373e-30    4.1380351540e-30
   6.0000000000    4.4353209538e-30   -5.1323920618e-30
   6.2500000000   -1.5577410881e-31    2.9408807872e-30
   6.5000000000    3.2658997752e-30    1.4491663200e-30
   6.7500000000   -6.6455177556e-30   -1.2105369467e-30
   7.0000000000   -6.4037874558e-30   -2.9839648599e-31
   7.2500000000   -4.7491125036e-30    2.8036153470e-30
   7.5000000000   -1.1513197488e-29   -9.9291734874e-31
   7.7500000000   -1.3519542220e-29    6.1361632374e-30
   8.0000000000   -2.9542431771e-31   -5.0081163529e-31
   8.2500000000    1.0433326969e-29    5.8997931124e-31
   8.5000000000    3.6475267386e-29   -2.0726040644e-29
   8.7500000000    4.6430920912e-29   -7.4533661113e-30
   9.0000000000    3.9936682304e-29   -4.1549296254e-29
   9.2500000000    1.9674992693e-29    2.0793085034e-30
   9.5000000000   -3.3451892276e-29   -1.6647945558e-29
   9.7500000000   -1.9231333253e-28    6.5064412409e-29
  10.0000000000   -2.7964281823e-28   -9.9084797329e-29
  10.2500000000   -2.8609784976e-28   -1.3281494651e-28
  10.5000000000   -2.5342772474e-28    2.4696448742e-28
  10.7500000000   -8.2453938647e-29    2.4599925257e-29
  11.0000000000    4.6947653345e-28   -2.9514074485e-29
  11.2500000000    1.1684514578e-27    1.0445956601e-28
  11.5000000000    1.5564862277e-27   -1.1712121067e-27
  11.7500000000    1.7491686526e-27   -6.4011364022e-28
  12.0000000000    2.2106482224e-27   -1.0528700818e-27
