#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    9.7815439026e-30    1.3574097744e-31
   0.2500000000    8.3265831189e-30   -4.3835664018e-30
   0.5000000000    7.2198690271e-30    2.2060699985e-30
   0.7500000000   -2.6780012542e-31   -4.0637389239e-30
   1.0000000000   -2.8303206994e-30    9.4749382979e-31
   1.2500000000   -4.5194176951e-30    1.0016673734e-30
   1.5000000000   -8.8369954966e-30   -1.2899172368e-30
   1.7500000000   -5.6551878623e-30    2.3787282445e-30
   2.0000000000   -2.2706744654e-30   -8.8276328260e-30
   2.2500000000   -5.3685179530e-30   -1.1369664893e-30
   2.5000000000   -7.1805745108e-30    1.5772897363e-31
   2.7500000000   -1.3622279640e-29    7.9780376976e-30
   3.0000000000   -1.1266506481e-29   -3.0741102973e-30
   3.2500000000   -1.5112483068e-29   -1.9744723229e-30
   3.5000000000   -2.4564562577e-30   -1.6109339823e-31
   3.7500000000   -1.8079661445e-30    7.4063091936e-30
   4.0000000000    7.4401732451e-30   -2.7632692374e-30
   4.2500000000    1.8351319252e-30    2.8097095870e-30
   4.5000000000   -1.6729675128e-31   -5.0070079082e-30
   4.7500000000    3.0055737026e-30    1.3543595954e-30
   5.0000000000   -2.4741601786e-30   -1.7404287874e-30
   5.2500000000   -3.4212523534e-30    5.4926418176e-31
   5.5000000000   -1.6611874339e-30    8.0767515987e-32
   5.7500000000   -1.2192995003e-30    5.7312130719e-30
   6.0000000000   -6.3630274854e-30   -2.3724008906e-30
   6.2500000000   -3.5279928070e-30   -3.7436941017e-30
   6.5000000000   -5.5757233323e-30    1.0463088997e-30
   6.7500000000   -8.8407048496e-30    7.8448994565e-31
   7.0000000000   -4.9447137971e-30    2.7490503728e-30
   7.2500000000   -2.9546930425e-30    2.1719000295e-30
   7.5000000000   -6.3214958171e-30    5.9478960709e-31
   7.7500000000   -5.2845784733e-30   -3.7948970428e-30
   8.0000000000   -3.8177803611e-30   -7.1691759159e-31
   8.2500000000   -2.0961730454e-30   -1.2184362802e-30
   8.5000000000    5.5042385749e-30    3.3849897624e-30
   8.7500000000    7.7092541764e-30   -5.3884653720e-30
   9.0000000000    1.4530722835e-29   -3.6614571835e-30
   9.2500000000    6.4736016997e-31   -4.4263392202e-30
   9.5000000000   -1.9868214530e-29    5.4618221863e-30
   9.7500000000   -3.1085502336e-29    1.5086400146e-29
  10.0000000000   -8.5937522283e-29    4.2851984313e-29
  10.2500000000   -9.4452380466e-29    2.5159979255e-29
  10.5000000000   -1.0339897058e-28    2.7658239233e-29
  10.7500000000   -5.9581320949e-29    1.4142197341e-28
  11.0000000000    1.0924813599e-28   -1.9930936527e-28
  11.2500000000    2.1166904113e-28    2.4039478168e-28
  11.5000000000    4.5692995124e-28   -1.4979371128e-30
  11.7500000000    5.7598268020e-28    1.1913777435e-28
  12.0000000000    5.1178263911e-28    1.3901982425e-28
  12.2500000000    3.3614760057e-28   -1.3222535359e-28
  12.5000000000    7.5840831549e-29   -2.2893056629e-28
  12.7500000000   -1.0398431256e-28    1.6281648577e-28
  13.0000000000   -8.8454157165e-28    8.3136350342e-28
  13.2500000000   -2.5467190008e-27    5.5416701576e-28
  13.5000000000   -1.9369026081e-27    4.1840491995e-28
  13.7500000000   -1.7026777140e-27   -7.9314893184e-28
  14.0000000000   -1.3901381779e-27    8.6995691800e-28
  14.2500000000   -8.9793509957e-28    2.8736083001e-28
  14.5000000000    7.6865736632e-28    5.0204124820e-28
  14.7500000000    8.5837982929e-28    1.6501090160e-28
  15.0000000000    2.0652032366e-27   -5.7310635562e-28
  15.2500000000    2.5773093728e-27    2.6523635258e-28
  15.5000000000    1.7875480810e-27    1.8187314361e-28
  15.7500000000    1.2482209632e-27   -1.4640288283e-27
  16.0000000000    7.9186943070e-29    1.2920016742e-27
  16.2500000000   -1.7563826875e-27    1.4741112955e-27
  16.5000000000   -1.8312616090e-27    1.2608023687e-27
  16.7500000000   -3.0519098699e-27    5.0460314135e-28
  17.0000000000   -2.0053558921e-27    6.2229103410e-28
  17.2500000000   -1.1571076929e-27   -3.8731411486e-29
  17.5000000000   -2.7619022931e-28   -2.2109207237e-27
  17.7500000000    3.3461208245e-27   -1.8095164606e-27
  18.0000000000    1.7913217737e-27    1.1705095601e-28
  18.2500000000    9.5817863318e-27   -1.2099458246e-27
  18.5000000000    3.8114018128e-27   -1.1832445621e-27
  18.7500000000    3.7240020257e-27    1.1568274406e-27
  19.0000000000   -1.9192611145e-27   -3.5315381141e-27
  19.2500000000   -4.2250482849e-27   -3.4579635951e-27
  19.5000000000   -8.2780324205e-27   -4.7169453688e-27
  19.7500000000   -4.0009240748e-26    1.6072303157e-27
  20.0000000000   -2.9249791328e-26   -2.9875229216e-27
  20.2500000000   -5.9578185733e-26    4.3555136665e-26
  20.5000000000   -7.2557369285e-26    4.5170623052e-27
  20.7500000000   -1.2966534007e-25   -1.9913565266e-26
  21.0000000000   -1.7923225715e-25    9.8219941673e-26
  21.2500000000   -1.0106318633e-25   -3.2521651066e-26
  21.5000000000   -2.1680044932e-25   -9.4347317835e-26
  21.7500000000   -2.3649944826e-25    3.7330060188e-26
  22.0000000000   -1.4933743485e-25    3.1423429269e-26
  22.2500000000   -1.8620942645e-25    5.4162554133e-26
  22.5000000000   -1.2155231515e-25   -8.1088435938e-26
  22.7500000000   -6.9731378653e-26    1.9886405617e-26
  23.0000000000   -3.3298667362e-26   -8.2018068788e-26
  23.2500000000   -4.6697330238e-26   -1.9357523314e-26
  23.5000000000   -1.8552246850e-26   -1.0179526949e-25
  23.7500000000   -6.5420367092e-27   -2.4824371938e-27
  24.0000000000   -2.5051698498e-28   -4.3768467103e-26
  24.2500000000   -2.4058945092e-26   -7.3318167055e-26
  24.5000000000   -1.7690704236e-26    6.5122162316e-26
  24.7500000000   -2.2247592588e-26    5.2222339704e-26
  25.0000000000   -8.8599634165e-26    9.5161845767e-26
  25.2500000000   -2.4057685839e-26    3.9562086568e-26
  25.5000000000   -9.9501986062e-26    9.7186547916e-26
  25.7500000000   -1.3275134067e-25    7.9578657909e-26
  26.0000000000   -7.6279944671e-26    1.2668803731e-25
  26.2500000000   -1.0570447130e-25    4.9492473613e-26
  26.5000000000   -8.7874156888e-26   -8.8342181210e-26
  26.7500000000   -8.4011030255e-26   -1.5700864548e-26
  27.0000000000   -5.8514282906e-26   -4.4771937839e-26
  27.2500000000   -1.0855558723e-25    6.0552292713e-26
  27.5000000000   -8.6969576994e-26    4.4397023902e-26
  27.7500000000   -6.4797728919e-26   -4.5209918683e-26
  28.0000000000   -2.4433435331e-26   -5.0933187964e-26
  28.2500000000   -9.3511347937e-26    6.5589001826e-26
  28.5000000000   -9.5465604660e-26    4.8981409247e-26
  28.7500000000   -3.4002948273e-26   -1.2760830775e-26
  29.0000000000   -9.5545671205e-26    7.4332337007e-26
  29.2500000000   -3.5733892233e-26    1.6235693002e-26
  29.5000000000   -5.1305414079e-26    5.4972165793e-26
  29.7500000000   -6.6463891308e-26    2.7502073264e-26
  30.0000000000   -6.7410138027e-26    8.6297722545e-26
  30.2500000000   -2.1901844697e-26    1.8671891928e-27
  30.5000000000   -1.0789194617e-25    4.1657477225e-26
  30.7500000000   -7.8912822399e-26   -3.8003907224e-26
  31.0000000000   -3.3579961225e-26   -8.8392678854e-27
  31.2500000000   -2.9066057005e-26    2.7393441555e-26
  31.5000000000    1.3436434899e-26   -5.5776694225e-26
  31.7500000000   -3.9028067268e-26    4.7174680429e-27
  32.0000000000   -1.7626190408e-26   -4.0587995850e-27
