#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    1.3309644225e-30   -1.0846442520e-30
   0.2500000000    4.4034044427e-30   -2.3159841677e-30
   0.5000000000   -1.5715298099e-31    3.3717889464e-31
   0.7500000000    1.3193367887e-30   -9.9796934000e-31
   1.0000000000    3.0385469330e-30    5.5650878873e-31
   1.2500000000    2.3617593450e-30   -3.0775952246e-30
   1.5000000000    7.6843190705e-31   -1.3938846462e-30
   1.7500000000   -2.4344024515e-30   -9.6735571097e-31
   2.0000000000   -2.1886803843e-31    1.2781801108e-30
   2.2500000000   -3.5186179743e-30   -1.6991732418e-30
   2.5000000000   -5.1054663164e-30   -2.1265274363e-30
   2.7500000000   -3.7357461309e-30    3.2089685818e-30
   3.0000000000   -7.3640361473e-31   -3.2842194449e-30
   3.2500000000    8.9038430633e-31    2.2196137132e-30
   3.5000000000    2.2630641157e-30    1.2196015017e-30
   3.7500000000   -2.5669180961e-31    4.8435466891e-31
   4.0000000000   -1.3273644280e-31   -7.9179039069e-31
   4.2500000000    2.5069637864e-31    1.9413232662e-30
   4.5000000000   -6.9851451685e-31   -3.9783245513e-31
   4.7500000000   -2.8156291784e-30   -3.0583896688e-30
   5.0000000000   -1.2235131740e-30   -3.1395640005e-30
   5.2500000000   -1.3874924873e-30   -1.6189315891e-30
   5.5000000000    1.3924639192e-30    1.9679714172e-30
   5.7500000000    1.4681603768e-30   -3.5735027993e-32
   6.0000000000    3.6626396537e-31   -3.0319873365e-31
   6.2500000000    1.4815337967e-30   -2.8487995308e-30
   6.5000000000    1.3079618156e-30   -4.3361446604e-30
   6.7500000000    6.7948596744e-31   -1.2445537406e-30
   7.0000000000   -1.7954070497e-31    2.4012987994e-30
   7.2500000000    1.1937918022e-30    1.5926451280e-30
   7.5000000000   -3.6335751312e-30    5.3793994835e-30
   7.7500000000   -4.3241882811e-30   -7.7462049206e-31
   8.0000000000   -2.0707670753e-30    4.7042837431e-30
   8.2500000000    2.5449629215e-30    1.7217324576e-30
   8.5000000000    4.9629139174e-30    3.9523263210e-31
   8.7500000000    2.6068672734e-29    8.4005747184e-30
   9.0000000000    2.0388752590e-29   -7.6177214319e-30
   9.2500000000    5.0376905776e-30   -3.7096177143e-30
   9.5000000000   -9.2977765500e-30    2.7956786336e-29
   9.7500000000   -4.4366266232e-29    5.5416397403e-29
  10.0000000000   -1.2009268542e-28    3.4324842995e-29
  10.2500000000   -1.6790189066e-28    3.9556672367e-29
  10.5000000000   -1.3810589904e-28   -3.4412690221e-30
  10.7500000000    1.0203904907e-29   -1.1519333607e-28
  11.0000000000    2.0394709328e-28   -1.5702988416e-28
  11.2500000000    4.8338367566e-28   -5.8646034512e-28
  11.5000000000    6.5635232067e-28    6.3038102241e-28
  11.7500000000    8.2289004892e-28    7.7184602100e-28
  12.0000000000    7.5015752742e-28    3.9893701227e-28
  12.2500000000    6.2587083410e-28    8.7734283112e-29
  12.5000000000   -4.2596917996e-28   -3.7449956085e-28
  12.7500000000   -2.4619360865e-28    1.0522670226e-28
  13.0000000000   -1.5764892991e-27   -4.9221875198e-28
  13.2500000000   -1.4739048559e-27    4.4196004059e-28
  13.5000000000   -2.5526068664e-27    1.8024008602e-27
  13.7500000000   -2.2097978208e-27   -1.8330401137e-27
  14.0000000000   -2.5850404399e-27   -1.2403395390e-27
  14.2500000000   -7.1564424101e-28   -6.4165600801e-28
