#          time             L^2_Ham             L^2_Mom
   0.0000000000    2.0452757858e-06    0.0000000000e+00
   0.5000000000    3.6739933234e-07    1.8231091780e-07
   1.0000000000    2.6922674251e-07    1.3028176676e-07
   1.5000000000    2.2375458204e-07    1.0771137048e-07
   2.0000000000    1.9384899281e-07    9.4917529895e-08
   2.5000000000    1.7097840859e-07    8.9353704276e-08
   3.0000000000    1.5934631346e-07    8.1617662659e-08
   3.5000000000    1.4470610495e-07    7.6914632635e-08
   4.0000000000    1.3561002980e-07    7.3258402215e-08
   4.5000000000    1.2438145871e-07    6.8934780660e-08
   5.0000000000    1.1546270454e-07    6.7652508559e-08
   5.5000000000    1.1067520919e-07    6.4999029439e-08
   6.0000000000    1.0532910120e-07    6.3917370444e-08
   6.5000000000    1.0048271660e-07    6.2460185097e-08
   7.0000000000    9.4695466765e-08    6.1527398813e-08
   7.5000000000    9.0414449619e-08    6.0276985052e-08
   8.0000000000    8.6305653563e-08    5.9313888938e-08
   8.5000000000    8.1688846781e-08    5.8756455307e-08
   9.0000000000    7.8867975331e-08    5.7884094264e-08
   9.5000000000    7.5017630737e-08    5.7264034885e-08
  10.0000000000    7.2371198329e-08    5.7264732395e-08
  10.5000000000    6.9753145145e-08    5.7180969449e-08
  11.0000000000    7.0083910250e-08    5.8718261232e-08
  11.5000000000    6.6463050676e-08    5.7683454888e-08
  12.0000000000    6.3574888477e-08    5.7708970472e-08
  12.5000000000    6.4943114462e-08    6.0211830650e-08
  13.0000000000    6.5882700591e-08    6.0688610511e-08
  13.5000000000    6.1727938086e-08    6.0392132606e-08
  14.0000000000    6.6245187906e-08    6.2881682233e-08
  14.5000000000    7.5556434171e-08    6.9884535788e-08
  15.0000000000    7.3987156668e-08    7.2503482153e-08
  15.5000000000    7.2907611678e-08    7.4777395945e-08
  16.0000000000    8.0579532914e-08    8.0932006689e-08
  16.5000000000    1.1651571260e-07    1.0394427477e-07
  17.0000000000    1.1488717642e-07    1.1861892727e-07
  17.5000000000    1.0688493356e-07    1.1629040128e-07
  18.0000000000    1.0075682887e-07    1.1329822675e-07
  18.5000000000    1.0032608786e-07    1.1244905968e-07
  19.0000000000    9.3353139382e-08    1.1021564670e-07
  19.5000000000    6.0441588716e-08    8.1869445887e-08
  20.0000000000    5.0637695442e-08    6.6751259525e-08
  20.5000000000    4.8545494913e-08    6.2795318181e-08
  21.0000000000    4.9805677073e-08    6.2973626739e-08
  21.5000000000    5.9107629821e-08    6.9125469159e-08
  22.0000000000    7.2949591849e-08    7.6607718809e-08
  22.5000000000    7.4242873091e-08    8.2791819307e-08
  23.0000000000    7.3000113788e-08    8.2959536683e-08
  23.5000000000    7.1910499796e-08    8.4046415087e-08
  24.0000000000    7.4655298649e-08    8.8215435267e-08
  24.5000000000    7.4601548658e-08    8.6245009338e-08
  25.0000000000    6.1302755074e-08    7.4770145423e-08
  25.5000000000    5.4180483201e-08    6.8271810973e-08
  26.0000000000    6.2876266950e-08    6.8693553246e-08
  26.5000000000    7.0183474775e-08    7.1150347370e-08
  27.0000000000    6.9538808253e-08    7.3103531364e-08
  27.5000000000    6.6509648432e-08    7.2732417802e-08
  28.0000000000    6.4364923113e-08    7.2407368649e-08
  28.5000000000    6.3213590302e-08    7.3620266771e-08
  29.0000000000    6.0305256552e-08    6.9973104466e-08
  29.5000000000    5.5269286576e-08    5.7575157776e-08
  30.0000000000    4.1814140684e-08    4.9168211623e-08
  30.5000000000    3.4526645321e-08    4.4284477089e-08
  31.0000000000    3.2321260698e-08    4.0310284857e-08
  31.5000000000    3.0800825502e-08    3.8213557684e-08
  32.0000000000    3.0205907543e-08    3.6972641136e-08
  32.5000000000    2.9651809167e-08    3.5797797215e-08
  33.0000000000    2.9262182475e-08    3.5249368845e-08
  33.5000000000    2.9714039929e-08    3.5261390195e-08
  34.0000000000    3.0172814870e-08    3.5684038508e-08
  34.5000000000    3.4548952821e-08    3.4789435866e-08
  35.0000000000    3.5052893073e-08    3.5547686162e-08
  35.5000000000    3.5146647876e-08    3.5378315206e-08
  36.0000000000    3.5379566012e-08    3.4375017961e-08
  36.5000000000    3.4536243198e-08    3.4029055668e-08
  37.0000000000    3.3273100329e-08    3.3620604146e-08
  37.5000000000    3.4021287890e-08    3.0607740130e-08
  38.0000000000    3.0564913560e-08    3.0436535846e-08
  38.5000000000    3.0056471634e-08    2.7892359939e-08
  39.0000000000    2.7157853404e-08    2.4873896969e-08
  39.5000000000    2.2338885802e-08    2.4042279423e-08
  40.0000000000    2.1022410372e-08    2.1037742881e-08
  40.5000000000    1.8794527110e-08    2.0069941599e-08
  41.0000000000    1.7440010938e-08    1.8352759419e-08
  41.5000000000    1.6123466787e-08    1.7511843707e-08
  42.0000000000    1.5125927407e-08    1.6392044631e-08
