#          time         integral Re         integral Im
#          r =           140.000000          140.000000
   0.0000000000    3.9539672457e-30    6.2194460811e-30
   0.2500000000    5.7582687342e-30    2.6487222296e-30
   0.5000000000    8.8003169695e-30    1.1819211538e-29
   0.7500000000    1.0365152052e-29    1.7456970092e-29
   1.0000000000    1.0888545707e-29    2.4389461967e-29
   1.2500000000    1.4328402079e-29    2.8652621016e-29
   1.5000000000    1.0884342236e-29    2.6039752303e-29
   1.7500000000    9.2830364967e-30    1.7700314150e-29
   2.0000000000    9.6797659051e-30    1.9631507642e-29
   2.2500000000    8.1599023235e-30    1.7351468569e-29
   2.5000000000    1.0226232934e-29    8.8572658333e-30
   2.7500000000    9.3656826525e-30    1.5020950194e-29
   3.0000000000    9.3912269315e-30    1.5331683791e-29
   3.2500000000    9.2617595936e-30    1.2594321598e-29
   3.5000000000    6.0598377901e-30    1.1187787787e-29
   3.7500000000    7.8283079265e-30    1.2138140622e-29
   4.0000000000    6.7809452705e-30    1.1061253535e-29
   4.2500000000    5.3764875339e-30    1.6632757493e-29
   4.5000000000    1.0671172917e-29    1.3675731916e-29
   4.7500000000    3.8164389650e-30    9.9599710247e-30
   5.0000000000    3.9871132067e-30    1.0928106282e-29
   5.2500000000    9.6323692534e-30    1.5885859807e-29
   5.5000000000    7.8373888054e-30    1.6966525124e-29
   5.7500000000    9.2624271376e-30    1.5068556167e-29
   6.0000000000    7.9669120109e-30    1.4546450104e-29
   6.2500000000    8.2139325557e-30    1.3398924144e-29
   6.5000000000    1.0229957874e-29    1.9327009220e-29
   6.7500000000    3.0977696917e-30    1.2713190970e-29
   7.0000000000    6.3276010165e-30    9.8942741735e-30
   7.2500000000    5.8164364074e-30    9.6089562565e-30
   7.5000000000    2.1851925302e-30    4.5328252313e-31
   7.7500000000   -3.3633504700e-30   -1.1553150071e-30
   8.0000000000    1.5625003473e-30    9.8447216860e-30
   8.2500000000    1.2565843699e-29    2.9481468190e-29
   8.5000000000    2.0281846168e-29    8.0605987178e-29
   8.7500000000    3.0997062759e-29    1.0760996572e-28
   9.0000000000    5.6463882535e-29    9.8507986156e-29
   9.2500000000    2.9803063899e-29    6.8365918471e-29
   9.5000000000   -3.0023430822e-29   -6.2773126450e-29
   9.7500000000   -1.4604947762e-28   -3.0805455968e-28
  10.0000000000   -2.8270601093e-28   -4.8568213707e-28
  10.2500000000   -2.4816810838e-28   -7.7150152218e-28
  10.5000000000   -2.2748306860e-28   -7.2415459184e-28
  10.7500000000   -1.3755256941e-28   -1.8932417101e-29
  11.0000000000    3.3568789411e-28    7.5197819025e-28
  11.2500000000    6.1519582926e-28    2.1012910243e-27
  11.5000000000    1.6284181785e-27    4.1159994819e-27
  11.7500000000    1.5100297491e-27    4.9247614544e-27
  12.0000000000    1.7142462185e-27    4.2029258729e-27
  12.2500000000    1.5398321906e-27    2.6814931790e-27
  12.5000000000    4.9262734235e-28   -3.0372766229e-28
  12.7500000000   -1.9780906147e-27   -5.0941754139e-27
  13.0000000000   -4.3651424239e-27   -1.0191289640e-26
  13.2500000000   -4.3497067367e-27   -9.4132221524e-27
  13.5000000000   -4.7312694150e-27   -1.1565570928e-26
  13.7500000000   -4.1647220014e-27   -1.1486889730e-26
  14.0000000000   -2.4832214682e-27   -9.5639735779e-27
  14.2500000000   -1.9487297381e-27   -1.5425500177e-27
  14.5000000000    3.3379601703e-27    7.0774071391e-27
  14.7500000000    5.8144608161e-27    1.3706545188e-26
  15.0000000000    4.4451154519e-27    1.3855101393e-26
  15.2500000000    6.4452400094e-27    1.9366711144e-26
  15.5000000000    4.8889945486e-27    1.6353595139e-26
  15.7500000000    2.0531549613e-27    6.0484269100e-27
  16.0000000000    8.5179003117e-28    2.8537488438e-28
  16.2500000000   -3.7675669477e-27   -8.3165943846e-27
  16.5000000000   -6.5766073561e-27   -1.1889881318e-26
  16.7500000000   -3.3029873552e-27   -1.5392606469e-26
  17.0000000000   -6.3446013988e-27   -1.1856565467e-26
  17.2500000000   -2.7362880024e-27   -5.6157488570e-27
  17.5000000000   -1.5459516954e-27   -1.3517601844e-27
  17.7500000000    5.4756427125e-27    6.1294791540e-27
  18.0000000000    9.0133636451e-27    2.5143792835e-26
  18.2500000000    3.7802256937e-27    4.2193874924e-26
  18.5000000000    2.2806232700e-26    4.0626471460e-26
  18.7500000000    1.3774086033e-26    3.4058332915e-26
  19.0000000000    8.7727180865e-27    1.7664962972e-26
  19.2500000000   -1.3491853611e-27   -2.2519671170e-26
  19.5000000000   -3.2472060582e-26   -8.2671027575e-26
  19.7500000000   -7.6005818505e-26   -1.5694924951e-25
  20.0000000000   -8.2914398416e-26   -3.8672808330e-25
  20.2500000000   -2.6137709291e-25   -4.8087006028e-25
  20.5000000000   -2.9485287548e-25   -6.6492635576e-25
  20.7500000000   -2.1272359165e-25   -9.1097157190e-25
  21.0000000000   -4.1092261912e-25   -1.1580105914e-24
  21.2500000000   -4.8877020499e-25   -1.2261293245e-24
  21.5000000000   -5.3474855608e-25   -1.1584924782e-24
  21.7500000000   -3.1086163619e-25   -1.1300107461e-24
  22.0000000000   -3.7921276982e-25   -9.7012262083e-25
  22.2500000000   -2.9873687278e-25   -7.8420091876e-25
  22.5000000000   -3.3307953661e-25   -5.1689132573e-25
  22.7500000000   -2.6761157021e-25   -2.1803192553e-25
  23.0000000000   -1.6700495208e-25   -2.3567846770e-25
  23.2500000000    4.7884471533e-27    9.6090135187e-26
  23.5000000000   -5.4857821303e-26    7.9196311917e-26
  23.7500000000    2.4890599446e-26    1.3373429508e-25
  24.0000000000   -2.8653656608e-26    3.8465386109e-25
  24.2500000000   -5.4997402759e-26    1.6477026379e-25
  24.5000000000   -9.5742999298e-26   -8.6279292925e-26
  24.7500000000   -1.9175681211e-25   -4.1216989179e-25
  25.0000000000   -1.9904397048e-25   -4.5534449553e-25
  25.2500000000   -1.5238129956e-25   -5.8516680065e-25
  25.5000000000   -3.2733833728e-25   -8.1020416103e-25
  25.7500000000   -3.0173122451e-25   -5.6243886106e-25
  26.0000000000   -1.0145249357e-25   -4.9341967237e-25
  26.2500000000   -4.4792271917e-26   -5.1790313520e-25
  26.5000000000   -1.3396548061e-25   -3.4595465571e-25
  26.7500000000   -3.3736917603e-26   -2.2972808104e-25
  27.0000000000    1.8294699085e-27   -2.0353232475e-26
  27.2500000000    9.4821250684e-26   -8.8886351229e-27
  27.5000000000   -4.7868311070e-27    1.8292536950e-25
  27.7500000000   -4.2462640069e-26    1.9172562892e-25
  28.0000000000   -5.9482003645e-26   -5.1315394194e-26
  28.2500000000   -3.6267638899e-26    5.7588875451e-26
  28.5000000000   -2.3579075498e-25   -9.8487479664e-26
  28.7500000000   -1.4575258415e-25   -2.8141064617e-25
  29.0000000000   -1.7971302789e-25   -3.3600987648e-25
  29.2500000000   -2.4148745010e-25   -3.9299643554e-25
  29.5000000000   -1.5346309857e-25   -3.8880581841e-25
  29.7500000000   -1.8111371124e-25   -2.8904626107e-25
  30.0000000000   -1.3078432407e-25   -2.5972431148e-25
  30.2500000000   -1.1433458560e-25   -2.3789111459e-25
  30.5000000000   -6.9432527885e-26   -1.7058387633e-25
  30.7500000000   -3.7524434994e-26   -8.2711915130e-26
  31.0000000000   -5.4225982879e-26   -1.4735603186e-25
  31.2500000000   -2.2565931666e-26   -1.3194211814e-25
  31.5000000000   -5.1326713709e-26   -4.4353571460e-26
  31.7500000000   -5.2524259445e-26   -1.3014370444e-25
  32.0000000000   -8.1581738769e-26   -2.0209885733e-25
  32.2500000000   -5.2309491140e-26   -2.5514418238e-25
  32.5000000000   -1.1351954985e-25   -2.0773186341e-25
  32.7500000000   -8.7512331543e-26   -1.4535015684e-25
  33.0000000000   -1.2127725304e-25   -1.6477597062e-25
  33.2500000000   -7.0754343059e-26   -2.4456071567e-25
  33.5000000000   -9.7108487201e-26   -1.0931318256e-25
  33.7500000000   -8.0190170386e-26   -1.2891974395e-25
  34.0000000000   -2.9609089752e-26   -1.7211314458e-25
  34.2500000000   -5.1410791333e-26   -1.3000262183e-25
  34.5000000000   -6.1792111179e-27   -1.0235888907e-25
  34.7500000000   -4.2353162201e-26   -9.9236400847e-26
  35.0000000000   -2.6915554155e-26   -1.3201732729e-25
  35.2500000000   -6.8539030085e-26   -1.5814112044e-25
  35.5000000000   -6.5257830661e-26   -1.3438209128e-25
  35.7500000000   -7.8881758930e-26   -1.2206176168e-25
  36.0000000000   -5.3041579262e-26   -1.5987393431e-25
  36.2500000000   -6.7727476978e-26   -1.1320816752e-25
  36.5000000000   -8.6159693190e-26   -2.0932105520e-25
  36.7500000000   -7.1271061946e-26   -1.2884098891e-25
  37.0000000000   -8.2147392703e-26   -1.3571813131e-25
  37.2500000000   -7.3451501751e-26   -1.1227903641e-25
  37.5000000000   -8.2530927613e-26   -1.2653677390e-25
  37.7500000000   -3.2567718000e-26   -1.4358413128e-25
  38.0000000000    4.8550783560e-27   -9.5114014631e-26
  38.2500000000   -3.5322403866e-26   -1.2313953684e-25
  38.5000000000   -2.3939159939e-26   -1.2102979625e-25
  38.7500000000   -1.6651693998e-26   -1.1786781132e-25
  39.0000000000   -1.5769747648e-26   -1.0042017378e-25
  39.2500000000   -3.5205008538e-26   -1.1607873155e-25
  39.5000000000   -7.0386676593e-26   -4.5473208054e-26
  39.7500000000   -7.1618467079e-26   -1.3595277262e-25
  40.0000000000   -1.1443694900e-25   -9.9244461845e-26
  40.2500000000   -7.1837271871e-26   -1.5360726946e-25
  40.5000000000   -6.9884582284e-26   -7.6153409067e-26
  40.7500000000   -8.0359685379e-26   -1.0977673929e-25
  41.0000000000   -7.8480159507e-26   -9.2100294387e-26
  41.2500000000   -5.8462775738e-26   -1.0636224764e-25
  41.5000000000   -1.6657075544e-26   -1.2294703770e-25
  41.7500000000   -3.7816224911e-26   -1.1179102045e-25
  42.0000000000   -2.5205598759e-26   -8.5190654342e-26
  42.2500000000   -2.3393199217e-26   -1.0739789256e-25
  42.5000000000   -4.5008596725e-27   -7.9711918572e-26
  42.7500000000   -2.8669402568e-26   -7.1775405536e-26
  43.0000000000   -1.7792549541e-26   -1.0264035057e-25
  43.2500000000   -1.3923468562e-26   -1.1218569611e-25
  43.5000000000   -1.8086995928e-26   -9.6578158946e-26
  43.7500000000   -4.9569613802e-26   -1.0213800278e-25
  44.0000000000   -6.3650859197e-26   -9.0695922024e-26
  44.2500000000   -9.1807698441e-26   -1.1131221643e-25
  44.5000000000   -6.2265062556e-26   -1.0377000923e-25
  44.7500000000   -8.8765898289e-26   -1.0318874700e-25
  45.0000000000   -7.9553168278e-26   -1.2437153850e-25
