#          time             L^2_Ham             L^2_Mom
   0.0000000000    6.4069868243e-07    0.0000000000e+00
   0.5000000000    2.4671067906e-07    9.7982225440e-08
   1.0000000000    2.0881541209e-07    8.7598003386e-08
   1.5000000000    1.7918363372e-07    7.7479226078e-08
   2.0000000000    1.5687403660e-07    7.1871584548e-08
   2.5000000000    1.4228030776e-07    6.9935527683e-08
   3.0000000000    1.3205953065e-07    6.5500057289e-08
   3.5000000000    1.2090850934e-07    6.3019767490e-08
   4.0000000000    1.1476820770e-07    5.9956479064e-08
   4.5000000000    1.0775433190e-07    5.7103081754e-08
   5.0000000000    1.0026437535e-07    5.7629529405e-08
   5.5000000000    9.5625873620e-08    5.5377254943e-08
   6.0000000000    9.0636370223e-08    5.4208898136e-08
   6.5000000000    8.7346002267e-08    5.2692354071e-08
   7.0000000000    8.2495020098e-08    5.1901254548e-08
   7.5000000000    7.9197855635e-08    5.0660872102e-08
   8.0000000000    7.5246532256e-08    4.9799345515e-08
   8.5000000000    7.1898487129e-08    4.8966659105e-08
   9.0000000000    6.8724398313e-08    4.8229297292e-08
   9.5000000000    6.5730203036e-08    4.7662621539e-08
  10.0000000000    6.3019174997e-08    4.7196117310e-08
  10.5000000000    6.0559411091e-08    4.6763725095e-08
  11.0000000000    5.8149735812e-08    4.6385936097e-08
  11.5000000000    5.6081223091e-08    4.6059192314e-08
  12.0000000000    5.4141946037e-08    4.5757716879e-08
  12.5000000000    5.2388452569e-08    4.5559129872e-08
  13.0000000000    5.0913149798e-08    4.5445558398e-08
  13.5000000000    4.9423758603e-08    4.5376783913e-08
  14.0000000000    4.8207183688e-08    4.5420635368e-08
  14.5000000000    4.7271071240e-08    4.5636050442e-08
  15.0000000000    4.6271970004e-08    4.5798726640e-08
  15.5000000000    4.5576321823e-08    4.6212853258e-08
  16.0000000000    4.5163356757e-08    4.6758170307e-08
  16.5000000000    4.5112388178e-08    4.7571159871e-08
  17.0000000000    4.7145588854e-08    4.9104760450e-08
  17.5000000000    5.0502834277e-08    5.2385920993e-08
  18.0000000000    5.0735586929e-08    5.4227766171e-08
  18.5000000000    5.2127447376e-08    5.6432829320e-08
  19.0000000000    5.5044173816e-08    6.1296633164e-08
  19.5000000000    7.1958407861e-08    7.4355906471e-08
  20.0000000000    7.6269037872e-08    8.1668333672e-08
  20.5000000000    7.6947201888e-08    8.4520510841e-08
  21.0000000000    8.4503512280e-08    9.1386518785e-08
  21.5000000000    8.6280814112e-08    9.0772360057e-08
  22.0000000000    9.2783265447e-08    9.2649067725e-08
  22.5000000000    9.2357739529e-08    9.4129338176e-08
  23.0000000000    9.5003842782e-08    9.8714990254e-08
  23.5000000000    7.8531880680e-08    9.7740778396e-08
  24.0000000000    5.5402200262e-08    6.8553496577e-08
  24.5000000000    4.6182588295e-08    5.8420509649e-08
  25.0000000000    4.6026174770e-08    5.6722470454e-08
  25.5000000000    5.1623514636e-08    5.9900416383e-08
  26.0000000000    6.1344020761e-08    6.5723085609e-08
  26.5000000000    6.8083089270e-08    6.7761680927e-08
  27.0000000000    6.8737219227e-08    6.9761531056e-08
  27.5000000000    6.7617200350e-08    7.1346435576e-08
  28.0000000000    5.3842958308e-08    6.6502852334e-08
  28.5000000000    4.7737925002e-08    5.3686056069e-08
  29.0000000000    3.9384782949e-08    4.3784156860e-08
  29.5000000000    3.2533539517e-08    3.9167372512e-08
  30.0000000000    3.1034286651e-08    3.5828909249e-08
  30.5000000000    3.0434444785e-08    3.4339049495e-08
  31.0000000000    2.9410574711e-08    3.3392259064e-08
  31.5000000000    3.1832654874e-08    3.2896601492e-08
  32.0000000000    3.2069502457e-08    3.2229700836e-08
  32.5000000000    2.9941446917e-08    3.2272715512e-08
  33.0000000000    2.8967015076e-08    3.2157377825e-08
  33.5000000000    2.9144496741e-08    3.2111749020e-08
  34.0000000000    2.9655302363e-08    3.4044837820e-08
  34.5000000000    3.5292417130e-08    3.3347873521e-08
  35.0000000000    3.4510508026e-08    3.5605760028e-08
  35.5000000000    3.6915490516e-08    3.4543168072e-08
  36.0000000000    3.5573192906e-08    3.5367074445e-08
  36.5000000000    3.6511442109e-08    3.2186220152e-08
  37.0000000000    3.1510485564e-08    3.2598754095e-08
  37.5000000000    3.3075620582e-08    2.8629822179e-08
  38.0000000000    3.0371820323e-08    2.7326028751e-08
  38.5000000000    2.6776614996e-08    2.5260393467e-08
  39.0000000000    2.4876558178e-08    2.3104549334e-08
  39.5000000000    2.6290450136e-08    2.2594187989e-08
  40.0000000000    1.9970706378e-08    2.0440908869e-08
  40.5000000000    1.9077507044e-08    1.9695776848e-08
  41.0000000000    1.7770090544e-08    1.8496377160e-08
  41.5000000000    1.8688319717e-08    1.8483861487e-08
  42.0000000000    1.8570113864e-08    1.7380993627e-08
  42.5000000000    1.5302441294e-08    1.6203006648e-08
  43.0000000000    1.6258576269e-08    1.6011209319e-08
  43.5000000000    1.7297883575e-08    1.5809819037e-08
  44.0000000000    1.7440028090e-08    1.4935652588e-08
  44.5000000000    1.3418625001e-08    1.3491179482e-08
  45.0000000000    1.3877221716e-08    1.2861439966e-08
  45.5000000000    1.5383904540e-08    1.2949489425e-08
  46.0000000000    1.7597246103e-08    1.4439546868e-08
  46.5000000000    1.1495641390e-08    1.1490392099e-08
  47.0000000000    1.0553117163e-08    1.1156204842e-08
  47.5000000000    1.0259672994e-08    1.0907994629e-08
  48.0000000000    1.0201446250e-08    1.0808094960e-08
  48.5000000000    1.0841846730e-08    1.0533150597e-08
  49.0000000000    1.0691063798e-08    1.0517261062e-08
  49.5000000000    1.2382369614e-08    1.0923479620e-08
  50.0000000000    1.2301953225e-08    1.0363038209e-08
  50.5000000000    1.2031713489e-08    1.0261534466e-08
  51.0000000000    1.4369054763e-08    1.0978711301e-08
  51.5000000000    1.1384696187e-08    1.0561990671e-08
  52.0000000000    1.2402012308e-08    1.0137179232e-08
  52.5000000000    1.0883541823e-08    1.0120398113e-08
  53.0000000000    1.0346622370e-08    1.0008815965e-08
  53.5000000000    9.4485859494e-09    1.0210295155e-08
  54.0000000000    1.0105814971e-08    1.0801877577e-08
  54.5000000000    1.1446933889e-08    1.0665033977e-08
  55.0000000000    1.0092274869e-08    1.0264142184e-08
  55.5000000000    8.1263596950e-09    9.5290076955e-09
  56.0000000000    7.0841884375e-09    8.5314087251e-09
  56.5000000000    6.7386828937e-09    8.2734337124e-09
  57.0000000000    6.5142186140e-09    8.2113098875e-09
  57.5000000000    6.3196268434e-09    8.3800781880e-09
  58.0000000000    6.4893235741e-09    8.4382204713e-09
  58.5000000000    5.7091010337e-09    7.9114812185e-09
  59.0000000000    5.3559692270e-09    7.5703124244e-09
  59.5000000000    5.2164036238e-09    7.3765493798e-09
  60.0000000000    5.3738643836e-09    7.4902508303e-09
  60.5000000000    5.5650165559e-09    7.5848065225e-09
  61.0000000000    6.0469931696e-09    7.9966691729e-09
  61.5000000000    6.2467667707e-09    7.9803198070e-09
  62.0000000000    6.7940832909e-09    8.0094550595e-09
  62.5000000000    7.4237402308e-09    8.0425586842e-09
  63.0000000000    7.4603837813e-09    8.0753085649e-09
  63.5000000000    8.0922880713e-09    8.6293940880e-09
  64.0000000000    8.3962797616e-09    8.6860788684e-09
  64.5000000000    7.8568712557e-09    8.6843575489e-09
  65.0000000000    7.6581876043e-09    8.7416672450e-09
  65.5000000000    6.4769191470e-09    8.3078313494e-09
  66.0000000000    6.0371270158e-09    7.8040566649e-09
  66.5000000000    5.4589902344e-09    7.2062453832e-09
  67.0000000000    5.1049572142e-09    6.8236649518e-09
  67.5000000000    4.8572088889e-09    6.6383091792e-09
  68.0000000000    4.9371016432e-09    6.6760690239e-09
  68.5000000000    5.0678316315e-09    6.7564286297e-09
  69.0000000000    4.8975865951e-09    7.2113909811e-09
  69.5000000000    5.8575920716e-09    6.7332704561e-09
  70.0000000000    5.3787646643e-09    7.1938893682e-09
  70.5000000000    5.0125785012e-09    6.6204622743e-09
  71.0000000000    4.7206518401e-09    6.0588430304e-09
  71.5000000000    4.5974121612e-09    5.4164087406e-09
  72.0000000000    4.3155840658e-09    5.2380471708e-09
  72.5000000000    4.5978524927e-09    5.1632905984e-09
  73.0000000000    4.7535756223e-09    4.8720914846e-09
  73.5000000000    5.1123244851e-09    4.7184936975e-09
  74.0000000000    5.5558415408e-09    4.5456519464e-09
  74.5000000000    5.5721222954e-09    4.4416492436e-09
  75.0000000000    5.4914038321e-09    4.4433824333e-09
  75.5000000000    5.8143333544e-09    4.3263620688e-09
  76.0000000000    6.0565627486e-09    4.2029437257e-09
  76.5000000000    5.8080736329e-09    4.1372053580e-09
  77.0000000000    5.3487771723e-09    4.1117268995e-09
  77.5000000000    5.0111144493e-09    3.9692852593e-09
  78.0000000000    4.3951825385e-09    4.1311430540e-09
  78.5000000000    4.1322133358e-09    3.9528033556e-09
  79.0000000000    3.7606422887e-09    4.1473133272e-09
  79.5000000000    3.7274559982e-09    4.0286250597e-09
  80.0000000000    3.5748285440e-09    4.1831371599e-09
  80.5000000000    3.7711582522e-09    4.0492695324e-09
  81.0000000000    3.6364188413e-09    4.3383173845e-09
  81.5000000000    3.7387205138e-09    4.3747515075e-09
  82.0000000000    3.4251435024e-09    4.9267705785e-09
  82.5000000000    4.1270705077e-09    4.5704526508e-09
  83.0000000000    3.3462797682e-09    5.0276074732e-09
  83.5000000000    4.1924734674e-09    4.2519848945e-09
  84.0000000000    3.1459904896e-09    4.8773345070e-09
  84.5000000000    3.9723669635e-09    4.1028546960e-09
  85.0000000000    3.2563900597e-09    4.9075168361e-09
  85.5000000000    4.2881851182e-09    4.3320023634e-09
  86.0000000000    3.4293110431e-09    4.7952112416e-09
  86.5000000000    3.5003231833e-09    4.0541129208e-09
  87.0000000000    2.8578148555e-09    3.9335310869e-09
  87.5000000000    3.1217127180e-09    3.2752162156e-09
  88.0000000000    2.5104437121e-09    3.2833625583e-09
  88.5000000000    2.5586157115e-09    2.8657365959e-09
  89.0000000000    2.3043377662e-09    2.8040129019e-09
  89.5000000000    2.3223534574e-09    2.6086655350e-09
  90.0000000000    2.1717362662e-09    2.5424525962e-09
  90.5000000000    2.2217778483e-09    2.4332095446e-09
  91.0000000000    2.2229486747e-09    2.4038513943e-09
  91.5000000000    2.2103274644e-09    2.3663704999e-09
  92.0000000000    2.3964738842e-09    2.3279074708e-09
  92.5000000000    2.5185627274e-09    2.2977444223e-09
  93.0000000000    2.4981666294e-09    2.2874198946e-09
  93.5000000000    2.7371075195e-09    2.2737754027e-09
  94.0000000000    2.9287635024e-09    2.2838358328e-09
  94.5000000000    3.1176678116e-09    2.3909803753e-09
  95.0000000000    3.2337331807e-09    2.4330039447e-09
  95.5000000000    3.6495317571e-09    2.4144877555e-09
  96.0000000000    3.4673865556e-09    2.2816603096e-09
  96.5000000000    3.1153086992e-09    2.1794054737e-09
  97.0000000000    3.1249226598e-09    2.1022790876e-09
  97.5000000000    2.9070972445e-09    2.0973635703e-09
  98.0000000000    3.2058733943e-09    2.0871992124e-09
  98.5000000000    3.1489212986e-09    2.1561687609e-09
  99.0000000000    3.3927008660e-09    2.1161769752e-09
  99.5000000000    3.6537831348e-09    2.2127961564e-09
